;;;;Jahres-;maximaler;Zahl der ;Zahl der 
;;;;mittelwert;Stundenwert;Stundenwerte;Stundenwerte
Station;Name/Messnetz;Emissinsquelltyp;Umgebungstyp;in µg/m³;in µg/m³;> 230 µg/m³;> 200 µg/m³
DERP010;Mainz-Parcusstraße;städtisches Gebiet;Verkehr;56;222;0;3
DERP011;Mainz-Rheinallee;städtisches Gebiet;Verkehr;44;208;0;2
DERP012;Mainz-Große Langgasse;städtisches Gebiet;Verkehr;43;159;0;0
DERP013;Westpfalz-Waldmohr;ländliches Gebiet;Hintergrund;13;68;0;0
DERP014;Hunsrück-Leisel;ländliches Gebiet;Hintergrund;10;69;0;0
DERP015;Westeifel Wascheid;ländliches Gebiet;Hintergrund;9;69;0;0
DERP016;Westerwald-Herdorf;ländliches Gebiet;Hintergrund;10;82;0;0
DERP017;Pfälzerwald-Hortenkopf;ländliches Gebiet;Hintergrund;8;65;0;0
DERP018;Speyer-St.-Guido-Stifts-Platz;städtisches Gebiet;Verkehr;34;144;0;0
DERP019;Kaiserslautern-Rathausplatz;städtisches Gebiet;Hintergrund;29;117;0;0
DERP020;Trier-Ostallee;städtisches Gebiet;Verkehr;37;127;0;0
DERP021;Neuwied-Hafenstraße;städtisches Gebiet;Hintergrund;28;117;0;0
DERP022;Bad Kreuznach-Bosenheimer Straße;städtisches Gebiet;Hintergrund;29;116;0;0
DERP023;Worms-Hagenstraße;städtisches Gebiet;Verkehr;37;137;0;0
DERP024;Koblenz-Friedrich-Ebert-Ring;städtisches Gebiet;Verkehr;40;137;0;0
DERP025;Wörth-Marktplatz;städtisches Gebiet;Hintergrund;24;123;0;0
DERP026;Frankenthal-Europaring;städtisches Gebiet;Verkehr;40;136;0;0
DERP027;Neustadt-Strohmarkt;städtisches Gebiet;Verkehr;25;86;0;0
DERP028;Westerwald-Neuhäusel;ländliches Gebiet;Hintergrund;13;89;0;0
DERP032;Neuwied-Heddesdorfer Straße;städtisches Gebiet;Verkehr;39;119;0;0
DERP035;Kaiserslautern-Marienplatz;städtisches Gebiet;Verkehr;29;107;0;0
DERP036;Trier Kaiserstraße;städtisches Gebiet;Verkehr;38;119;0;0
DERP041;Ludwigshafen-Heinigstraße;städtisches Gebiet;Verkehr;50;202;0;1
DERP042;Pirmasens Schäferstr.;städtisches Gebiet;Hintergrund;27;152;0;0
DERP045;Koblenz-Hohenfelder Straße;städtisches Gebiet;Verkehr;48;146;0;0
;Schleswig-Holstein;;;;;;
DESH008;Bornhöved;ländlich regional;Hintergrund;11;59;0;0
DESH011;Brunsbüttel;ländliches Gebiet;Industrie;15;84;0;0
DESH016;Barsbüttel;vorstädtisches Gebiet;Hintergrund;21;103;0;0
DESH022;Flensburg;städtisches Gebiet;Verkehr;39;135;0;0
DESH023;Lübeck-St. Jürgen;städtisches Gebiet;Hintergrund;19;108;0;0
DESH025;Itzehoe Lindenstr.;städtisches Gebiet;Verkehr;58;200;0;0
DESH026;Lübeck Gr. Burgstr.;städtisches Gebiet;Verkehr;44;140;0;0
DESH027;Kiel-Bahnhofstr. Verk.;städtisches Gebiet;Verkehr;58;194;0;0
DESH028;Ratzeburg;städtisches Gebiet;Verkehr;46;164;0;0
DESH029;Kiel - Theodor-Heuss-Ring;städtisches Gebiet;Verkehr;40;111;0;0
DESH030;Norderstedt;städtisches Gebiet;Verkehr;41;159;0;0
DESH031;Eutin-Elisabethstraße;städtisches Gebiet;Verkehr;19;107;0;0
DESH032;Neustadt in Holstein;städtisches Gebiet;Verkehr;26;123;0;0
;Saarland;;;;;;
DESL003;Dillingen City;städtisches Gebiet;Hintergrund;19;98;0;0
DESL010;Saarbrücken-Burbach;städtisches Gebiet;Hintergrund;17;80;0;0
DESL011;Saarbrücken-Eschberg;städtisches Gebiet;Hintergrund;20;84;0;0
DESL012;Saarbrücken-City;städtisches Gebiet;Hintergrund;32;122;0;0
DESL013;Saarlouis-Fraulautern;vorstädtisches Gebiet;Hintergrund;20;105;0;0
DESL017;Völklingen-City Stadionstr.;städtisches Gebiet;Hintergrund;19;91;0;0
DESL018;Sulzbach;städtisches Gebiet;Hintergrund;18;140;0;0
DESL019;Biringen;ländlich regional;Hintergrund;12;102;0;0
DESL020;Saarbrücken-Verkehr;städtisches Gebiet;Verkehr;44;171;0;0
;Sachsen;;;;;;
DESN001;Annaberg-Buchholz;städtisches Gebiet;Hintergrund;25;131;0;0
DESN004;Bautzen;städtisches Gebiet;Hintergrund;22;119;0;0
DESN006;Borna;städtisches Gebiet;Verkehr;28;96;0;0
DESN011;Chemnitz-Mitte;städtisches Gebiet;Hintergrund;26;162;0;0
DESN012;Delitzsch;städtisches Gebiet;Hintergrund;20;79;0;0
DESN017;Freiberg;städtisches Gebiet;Hintergrund;25;126;0;0
DESN019;Glauchau;städtisches Gebiet;Hintergrund;23;87;0;0
DESN020;Görlitz;städtisches Gebiet;Verkehr;28;102;0;0
DESN024;Klingenthal;städtisches Gebiet;Hintergrund;14;74;0;0
DESN025;Leipzig-Mitte;städtisches Gebiet;Verkehr;48;189;0;0
DESN045;Zittau-Ost;vorstädtisches Gebiet;Hintergrund;14;62;0;0
DESN047;Zwickau;städtisches Gebiet;Verkehr;27;111;0;0
DESN050;Hoyerswerda;städtisches Gebiet;Hintergrund;15;138;0;0
DESN051;Radebeul-Wahnsdorf;ländlich stadtnah;Hintergrund;15;75;0;0
DESN052;Zinnwald;ländlich regional;Hintergrund;10;88;0;0
DESN059;Leipzig-West;städtisches Gebiet;Hintergrund;18;84;0;0
DESN060;Chemnitz-Nord;städtisches Gebiet;Verkehr;32;155;0;0
DESN061;Dresden-Nord;städtisches Gebiet;Verkehr;39;127;0;0
DESN074;Schwartenberg;ländlich regional;Hintergrund;10;72;0;0
DESN075;Plauen-Süd;städtisches Gebiet;Verkehr;30;125;0;0
DESN076;Collmberg;ländlich abgelegen;Hintergrund;11;59;0;0
DESN077;Leipzig Lützner Str.;städtisches Gebiet;Verkehr;44;170;0;0
DESN083;Chemnitz-Leipziger Str.;städtisches Gebiet;Verkehr;53;244;1;1
DESN084;Dresden-Bergstr.;städtisches Gebiet;Verkehr;51;184;0;0
DESN085;Dresden-HerzoginGarten;städtisches Gebiet;Hintergrund;25;195;0;0
;Sachsen-Anhalt;;;;;;
DEST002;Burg;vorstädtisches Gebiet;Hintergrund;15;84;0;0
DEST011;Wernigerode/Bahnhof;städtisches Gebiet;Hintergrund;15;82;0;0
DEST015;Bitterfeld/Wolfen;vorstädtisches Gebiet;Industrie;15;79;0;0
DEST029;Bernburg;vorstädtisches Gebiet;Verkehr;22;107;0;0
DEST039;Brocken;ländlich abgelegen;Hintergrund;6;70;0;0
DEST044;Halberstadt;städtisches Gebiet;Hintergrund;16;84;0;0
DEST050;Halle/Nord;städtisches Gebiet;Hintergrund;19;113;0;0
DEST057;Magdeburg/Südost;städtisches Gebiet;Verkehr;21;109;0;0
DEST063;Stendal;städtisches Gebiet;Hintergrund;16;93;0;0
DEST066;Wittenberg/Bahnstrasse;städtisches Gebiet;Hintergrund;12;62;0;0
DEST068;Pouch;ländlich stadtnah;Industrie;11;87;0;0
DEST069;Salzwedel;ländlich stadtnah;Hintergrund;13;71;0;0
DEST072;Halle/Ost;vorstädtisches Gebiet;Hintergrund;18;90;0;0
DEST075;Halle/Merseburger Strasse;städtisches Gebiet;Verkehr;33;132;0;0
DEST076;Magdeburg/Damaschkeplatz;städtisches Gebiet;Verkehr;44;168;0;0
DEST077;Magdeburg/West;städtisches Gebiet;Hintergrund;20;104;0;0
DEST078;Naumburg;städtisches Gebiet;Hintergrund;16;93;0;0
DEST081;Weißenfels/Promenade;städtisches Gebiet;Verkehr;29;124;0;0
DEST089;Zartau/Waldstation;ländlich regional;Hintergrund;7;53;0;0
DEST090;Leuna;vorstädtisches Gebiet;Industrie;16;102;0;0
DEST091;Dessau Albrechtsplatz;städtisches Gebiet;Verkehr;26;107;0;0
DEST092;Wittenberg/Dessauer Strasse;städtisches Gebiet;Verkehr;36;171;0;0
DEST095;Aschersleben;städtisches Gebiet;Verkehr;34;146;0;0
DEST098;Unterharz / Friedrichsbrunn;ländlich regional;Hintergrund;7;52;0;0
DEST099;Magdeburg/Reuterallee;städtisches Gebiet;Verkehr;43;189;0;0
;Thüringen;;;;;;
DETH005;Saalfeld;städtisches Gebiet;Hintergrund;17;93;0;0
DETH009;Gera Friedericistr.;städtisches Gebiet;Hintergrund;17;80;0;0
DETH011;Altenburg Theaterplatz;städtisches Gebiet;Verkehr;20;81;0;0
DETH013;Eisenach Wernebrg.Str;städtisches Gebiet;Hintergrund;18;105;0;0
DETH018;Nordhausen;städtisches Gebiet;Hintergrund;19;86;0;0
DETH020;Erfurt Krämpferstr.;städtisches Gebiet;Verkehr;23;97;0;0
DETH025;Meiningen;städtisches Gebiet;Hintergrund;14;72;0;0
DETH026;Dreißigacker;ländlich regional;Hintergrund;9;62;0;0
DETH027;Neuhaus;ländlich abgelegen;Hintergrund;7;45;0;0
DETH036;Greiz Mollbergstr.;städtisches Gebiet;Hintergrund;17;79;0;0
DETH039;Weimar Sophienstiftsplatz;städtisches Gebiet;Verkehr;31;128;0;0
DETH040;Großer Eisenberg;ländlich abgelegen;Hintergrund;8;44;0;0
DETH041;Jena Dammstr.;städtisches Gebiet;Hintergrund;18;75;0;0
DETH042;Possen;ländlich abgelegen;Hintergrund;8;47;0;0
DETH043;Erfurt Bergstr.;städtisches Gebiet;Verkehr;38;142;0;0
DETH060;Zella-Mehlis;städtisches Gebiet;Hintergrund;16;116;0;0
DETH061;Hummelshain;ländlich abgelegen;Hintergrund;7;42;0;0
DETH072;Suhl F.-König-Str;städtisches Gebiet;Verkehr;33;152;0;0
DETH074;Jena Emil-Wölk-Str.;städtisches Gebiet;Verkehr;31;259;2;2
DETH081;Erfurt Heinrichstr;städtisches Gebiet;Verkehr;36;148;0;0
DETH084;Weimar K.-Liebknecht-Str.;städtisches Gebiet;Verkehr;35;142;0;0
;UBA;;;;;;
DEUB001;Westerland;ländliches Gebiet;Hintergrund;6;66;0;0
DEUB004;Schauinsland;ländlich regional;Hintergrund;3;50;0;0
DEUB005;Waldhof;ländliches Gebiet;Hintergrund;9;53;0;0
DEUB028;Zingst;ländliches Gebiet;Hintergrund;8;55;0;0
DEUB029;Schmücke;ländliches Gebiet;Hintergrund;7;49;0;0
DEUB030;Neuglobsow;ländlich regional;Hintergrund;6;45;0;0
