;;;;Jahres-;maximaler;Zahl der ;Zahl der 
;;;;mittelwert;Stundenwert;Stundenwerte;Stundenwerte
Station;Name/Messnetz;Emissinsquelltyp;Umgebungstyp;in µg/m³;in µg/m³;> 230 µg/m³;> 200 µg/m³
DEBW081;Karlsruhe-Nordwest;vorstädtisches Gebiet;Hintergrund;23;112;0;0
DEBW084;Freiburg-Mitte;städtisches Gebiet;Hintergrund;20;96;0;0
DEBW087;Schwäbische Alb;ländlich regional;Hintergrund;6;57;0;0
DEBW098;Mannheim-Straße;städtisches Gebiet;Verkehr;53;178;0;0
DEBW099;Stuttgart-Mitte-Straße;städtisches Gebiet;Verkehr;75;227;0;8
DEBW103;Odenwald;ländliches Gebiet;Hintergrund;10;82;0;0
DEBW107;Tübingen;vorstädtisches Gebiet;Hintergrund;23;114;0;0
DEBW110;Pfullendorf;vorstädtisches Gebiet;Hintergrund;14;69;0;0
DEBW111;Offenburg;vorstädtisches Gebiet;Hintergrund;23;106;0;0
DEBW112;Gärtringen;vorstädtisches Gebiet;Hintergrund;15;79;0;0
DEBW113;Rastatt-West;vorstädtisches Gebiet;Hintergrund;17;81;0;0
DEBW116;Stuttgart Hohenheimer Straße (S);städtisches Gebiet;Verkehr;98;309;86;288
DEBW117;Ludwigsburg Friedrichstraße (S);städtisches Gebiet;Verkehr;81;307;7;31
DEBW118;Stuttgart Am Neckartor;städtisches Gebiet;Verkehr;106;294;126;450
DEBW119;Stuttgart Siemensstraße (S);städtisches Gebiet;Verkehr;91;285;31;123
DEBW120;Leonberg Grabenstraße (S);städtisches Gebiet;Verkehr;72;258;2;22
DEBW121;Pleidelsheim Beihinger Straße (S);städtisches Gebiet;Verkehr;57;232;1;2
DEBW122;Freiburg Schwarzwaldstraße (V);städtisches Gebiet;Verkehr;68;201;0;1
DEBW124;Heidelberg Karlsruher Straße (S);städtisches Gebiet;Verkehr;43;141;0;0
DEBW127;Freiburg Zähringer Straße (S);städtisches Gebiet;Verkehr;49;167;0;0
DEBW136;Tübingen Mühlstraße (S);städtisches Gebiet;Verkehr;75;265;10;38
DEBW143;Schramberg Oberndorfer Straße (S);vorstädtisches Gebiet;Verkehr;63;207;0;3
DEBW147;Reutlingen Lederstraße Ost (S);städtisches Gebiet;Verkehr;85;235;1;4
;Bayern;;;;;;
DEBY001;Ansbach/Residenzstraße;städtisches Gebiet;Verkehr;35;118;0;0
DEBY002;Arzberg/Egerstraße;städtisches Gebiet;Hintergrund;18;76;0;0
DEBY003;Aschaffenburg/Schweinheimer Straße;städtisches Gebiet;Hintergrund;37;120;0;0
DEBY004;Kleinwallstadt/Hofstetter Straße;vorstädtisches Gebiet;Hintergrund;19;72;0;0
DEBY005;Aschaffenburg/Bussardweg;vorstädtisches Gebiet;Hintergrund;33;124;0;0
DEBY006;Augsburg/Königsplatz;städtisches Gebiet;Verkehr;50;198;0;0
DEBY007;Augsburg/Bourges-Platz;städtisches Gebiet;Hintergrund;30;123;0;0
DEBY009;Bamberg/Löwenbrücke;städtisches Gebiet;Hintergrund;26;100;0;0
DEBY010;Bayreuth/Rathaus;städtisches Gebiet;Verkehr;40;200;0;0
DEBY012;Burghausen/Marktler Straße;vorstädtisches Gebiet;Verkehr;28;138;0;0
DEBY013;Mehring/Sportplatz;ländlich regional;Hintergrund;15;50;0;0
DEBY014;Coburg/Lossaustraße;städtisches Gebiet;Verkehr;31;150;0;0
DEBY020;Hof/Berliner Platz;städtisches Gebiet;Hintergrund;21;142;0;0
DEBY021;Ingolstadt/Rechbergstraße;städtisches Gebiet;Hintergrund;31;127;0;0
