Stationscode;Name / Messnetz;Stationsumgebung;Art der Station;Jahres-mittelwert in µg/m³;Zahl* der Stundenwerte > 200 µg/m³
DEBY099;Augsburg/LfU;vorstädtisches Gebiet;Hintergrund;23;0
DEBY079;Bad Reichenhall/Nonn;vorstädtisches Gebiet;Hintergrund;21;0
DEBY009;Bamberg/Löwenbrücke;städtisches Gebiet;Hintergrund;33;0
DEBY111;Bayreuth/Hohenzollernring;städtisches Gebiet;Verkehr;34;0
DEBY010;Bayreuth/Rathaus;städtisches Gebiet;Verkehr;32;0
DEBY012;Burghausen/Marktler Straße;vorstädtisches Gebiet;Verkehr;30;0
DEBY014;Coburg/Lossaustraße;städtisches Gebiet;Verkehr;31;0
DEBY113;Erlangen/Kraepelinstraße;vorstädtisches Gebiet;Hintergrund;22;0
DEBY116;Erlangen/Pfarrstraße;städtisches Gebiet;Verkehr;36;0
DEBY056;Fürth/Theresienstraße;städtisches Gebiet;Verkehr;31;0
DEBY081;Garmisch-Partenkirchen/Kreuzeckbahnstraße;ländlich stadtnah;Hintergrund;11;0
DEBY020;Hof/LfU;städtisches Gebiet;Hintergrund;28;0
DEBY021;Ingolstadt/Rechbergstraße;städtisches Gebiet;Hintergrund;32;0
DEBY031;Kempten (Allgäu)/Westendstraße;städtisches Gebiet;Hintergrund;25;0
DEBY004;Kleinwallstadt/Hofstetter Straße;vorstädtisches Gebiet;Hintergrund;18;0
DEBY032;Kulmbach/Konrad-Adenauer-Straße;städtisches Gebiet;Hintergrund;26;0
DEBY033;Landshut/Podewilsstraße;städtisches Gebiet;Verkehr;29;0
DEBY035;Lindau (Bodensee)/Holdereggenstraße;städtisches Gebiet;Verkehr;31;0
DEBY013;Mehring/Sportplatz;ländlich regional;Hintergrund;20;0
DEBY089;München/Johanneskirchen;vorstädtisches Gebiet;Hintergrund;28;0
DEBY115;München/Landshuter Allee;städtisches Gebiet;Verkehr;99;192
DEBY039;München/Lothstraße;städtisches Gebiet;Hintergrund;35;2
DEBY043;München/Moosach;städtisches Gebiet;Verkehr;39;2
DEBY114;München/Prinzregentenstraße;städtisches Gebiet;Verkehr;68;8
DEBY037;München/Stachus;städtisches Gebiet;Verkehr;74;8
DEBY047;Naila/Selbitzer Berg;ländlich stadtnah;Hintergrund;18;0
DEBY049;Neustadt a.d. Donau/Eining;ländlich regional;Hintergrund;17;0
DEBY052;Neu-Ulm/Gabelsbergerstraße;städtisches Gebiet;Hintergrund;31;0
DEBY053;Nürnberg/Bahnhof;städtisches Gebiet;Verkehr;40;0
DEBY120;Nürnberg/Von-der-Tann-Straße;städtisches Gebiet;Verkehr;50;0
DEBY054;Nürnberg/Ziegelsteinstraße;städtisches Gebiet;Verkehr;34;0
DEBY121;Oberaudorf/Inntal-Autobahn;vorstädtisches Gebiet;Verkehr;49;0
DEBY118;Passau/Stelzhamerstraße;vorstädtisches Gebiet;Verkehr;31;0
DEBY062;Regen/Bodenmaiser Straße;vorstädtisches Gebiet;Hintergrund;15;0
DEBY063;Regensburg/Rathaus;städtisches Gebiet;Verkehr;48;0
DEBY067;Schwandorf/Wackersdorfer Straße;städtisches Gebiet;Hintergrund;25;0
DEBY068;Schweinfurt/Obertor;städtisches Gebiet;Verkehr;32;0
DEBY072;Tiefenbach/Altenschneeberg;ländlich regional;Hintergrund;13;0
DEBY088;Trostberg/Schwimmbadstraße;vorstädtisches Gebiet;Industrie;22;0
DEBY075;Weiden i.d.OPf./Nikolaistraße;städtisches Gebiet;Verkehr;27;0
DEBY076;Würzburg/Kardinal-Faulhaber-Platz;städtisches Gebiet;Verkehr;34;0
DEBY077;Würzburg/Kopfklinik;vorstädtisches Gebiet;Hintergrund;31;0
DEBY119;Würzburg/Stadtring Süd;städtisches Gebiet;Verkehr;44;1
;Berlin;;;;
DEBE051;B Buch;vorstädtisches Gebiet;Hintergrund;14;0
DEBE056;B Friedrichshagen;ländlich stadtnah;Hintergrund;13;0
DEBE065;B Friedrichshain-Frankfurter Allee;städtisches Gebiet;Verkehr;42;0
DEBE062;B Frohnau, Funkturm (3.5 m);ländlich stadtnah;Hintergrund;13;0
DEBE032;B Grunewald (3.5 m);ländlich stadtnah;Hintergrund;15;0
DEBE067;B Hardenbergplatz;städtisches Gebiet;Verkehr;63;6
DEBE066;B Karlshorst-Rheingoldstr./Königswinterstr.;städtisches Gebiet;Hintergrund;22;0
DEBE069;B Mariendorf, Mariendorfer Damm;städtisches Gebiet;Verkehr;50;0
DEBE027;B Marienfelde-Schichauweg;ländlich stadtnah;Industrie;17;0
DEBE068;B Mitte, Brückenstraße;städtisches Gebiet;Hintergrund;28;0
DEBE064;B Neukölln-Karl-Marx-Str. 76;städtisches Gebiet;Verkehr;53;0
DEBE034;B Neukölln-Nansenstraße;städtisches Gebiet;Hintergrund;28;0
