;;;;Jahres-;maximaler;Zahl der ;Zahl der ;;
;;;;mittelwert;Stundenwert;Stundenwerte;Stundenwerte;;
Station;Name/Messnetz;Umgebungstyp;Emissinsquelltyp;in µg/m³;in µg/m³;> 290 µg/m³;> 200 µg/m³;;
'DEBW023';Weil am Rhein;vorstädtisches Gebiet;Hintergrund;21;81;0;0;;
'DEBW024';Ludwigsburg ;vorstädtisches Gebiet;Hintergrund;32;129;0;0;;
'DEBW025';Esslingen ;städtisches Gebiet;Hintergrund;39;150;0;0;;
'DEBW026';Plochingen ;vorstädtisches Gebiet;Hintergrund;36;139;0;0;;
'DEBW027';Reutlingen ;städtisches Gebiet;Hintergrund;26;122;0;0;;
'DEBW028';Göppingen ;städtisches Gebiet;Hintergrund;24;88;0;0;;
'DEBW029';Aalen ;vorstädtisches Gebiet;Hintergrund;20;94;0;0;;
'DEBW030';Welzheimer Wald;ländliches Gebiet;Hintergrund;10;74;0;0;;
'DEBW031';Schwarzwald Süd;ländlich regional;Hintergrund;5;61;0;0;;
'DEBW032';Pforzheim-Mitte ;städtisches Gebiet;Hintergrund;27;125;0;0;;
'DEBW034';Waiblingen ;vorstädtisches Gebiet;Hintergrund;26;87;0;0;;
'DEBW035';Böblingen;städtisches Gebiet;Hintergrund;29;149;0;0;;
'DEBW036';Tübingen Alter Botanischer Garten;städtisches Gebiet;Hintergrund;27;107;0;0;;
'DEBW037';Freudenstadt ;vorstädtisches Gebiet;Hintergrund;12;68;0;0;;
'DEBW039';Villingen-Schwenningen;vorstädtisches Gebiet;Hintergrund;17;88;0;0;;
'DEBW040';Waldshut ;vorstädtisches Gebiet;Verkehr;23;109;0;0;;
'DEBW041';Rheinfelden ;städtisches Gebiet;Hintergrund;19;71;0;0;;
'DEBW042';Bernhausen ;vorstädtisches Gebiet;Hintergrund;31;120;0;0;;
'DEBW044';Mosbach ;vorstädtisches Gebiet;Hintergrund;24;91;0;0;;
'DEBW046';Biberach ;vorstädtisches Gebiet;Hintergrund;17;80;0;0;;
'DEBW047';Calw;vorstädtisches Gebiet;Hintergrund;20;88;0;0;;
'DEBW048';Ehingen ;städtisches Gebiet;Industrie;16;76;0;0;;
'DEBW050';Heidenheim ;vorstädtisches Gebiet;Hintergrund;21;73;0;0;;
'DEBW052';Konstanz ;städtisches Gebiet;Hintergrund;23;103;0;0;;
'DEBW053';Künzelsau;vorstädtisches Gebiet;Hintergrund;18;83;0;0;;
'DEBW054';Rottweil ;vorstädtisches Gebiet;Hintergrund;21;85;0;0;;
'DEBW056';Schwäbisch Hall;vorstädtisches Gebiet;Hintergrund;22;90;0;0;;
'DEBW059';Tauberbischofsheim ;vorstädtisches Gebiet;Hintergrund;18;101;0;0;;
'DEBW060';Tuttlingen;vorstädtisches Gebiet;Hintergrund;19;78;0;0;;
'DEBW065';Ravensburg;städtisches Gebiet;Hintergrund;23;91;0;0;;
'DEBW073';Neuenburg ;vorstädtisches Gebiet;Industrie;22;111;0;0;;
'DEBW076';Baden-Baden;vorstädtisches Gebiet;Hintergrund;19;98;0;0;;
'DEBW080';Karlsruhe-Straße;städtisches Gebiet;Verkehr;60;178;0;0;;
