Stationscode;Name / Messnetz;Stationsumgebung;Art der Station;Jahres-mittelwert in µg/m³;"Zahl der Stundenwerte 
> 200 µg/m³";Stadt;;;;;
DEBW136;Tübingen Mühlstraße;städtisches Gebiet;Verkehr;39;0;Tübingen;Mühlstraße;;;;
DEBW019;Ulm;städtisches Gebiet;Hintergrund;24;0;Ulm;;;;;
DEBW138;Ulm Zinglerstraße;städtisches Gebiet;Verkehr;38;--- 1);Ulm;Zinglerstraße;;;;
DEBW039;Villingen-Schwenningen;vorstädtisches Gebiet;Hintergrund;14;0;Villingen;Schwenningen;;;;
DEBW023;Weil am Rhein;vorstädtisches Gebiet;Hintergrund;17;0;Weil;am;Rhein;;;
DEBW010;Wiesloch;vorstädtisches Gebiet;Hintergrund;17;0;Wiesloch;;;;;
;Bayern;;;;;Bayern;;;;;
DEBY109;Andechs/Rothenfeld;ländlich regional;Hintergrund;7;0;Andechs/Rothenfeld;;;;;
DEBY001;Ansbach/Residenzstraße;städtisches Gebiet;Verkehr;28;0;Ansbach/Residenzstraße;;;;;
DEBY005;Aschaffenburg/Bussardweg;vorstädtisches Gebiet;Hintergrund;25;0;Aschaffenburg/Bussardweg;;;;;
DEBY007;Augsburg/Bourges-Platz;städtisches Gebiet;Hintergrund;24;0;Augsburg/Bourges;Platz;;;;
DEBY110;Augsburg/Karlstraße;städtisches Gebiet;Verkehr;37;0;Augsburg/Karlstraße;;;;;
DEBY006;Augsburg/Königsplatz;städtisches Gebiet;Verkehr;25;0;Augsburg/Königsplatz;;;;;
DEBY099;Augsburg/LfU;vorstädtisches Gebiet;Hintergrund;16;0;Augsburg/LfU;;;;;
DEBY122;Bad Hindelang/Oberjoch;ländlich regional;Hintergrund;8;0;Bad;Hindelang/Oberjoch;;;;
DEBY079;Bad Reichenhall/Kirchholzstraße;städtisches Gebiet;Hintergrund;11;0;Bad;Reichenhall/Kirchholzstraße;;;;
DEBY009;Bamberg/Löwenbrücke;städtisches Gebiet;Hintergrund;21;0;Bamberg/Löwenbrücke;;;;;
DEBY111;Bayreuth/Hohenzollernring;städtisches Gebiet;Verkehr;27;0;Bayreuth/Hohenzollernring;;;;;
