Stationscode;Name / Messnetz;Stationsumgebung;Art der Station;Jahres-mittelwert in µg/m³;"Zahl der Stundenwerte 
> 200 µg/m³";Stadt;;;;;
DEHE050;Zierenberg;ländliches Gebiet;Hintergrund;7;0;Zierenberg;;;;;
;Mecklenburg-Vorpommern;;;;;Mecklenburg;Vorpommern;;;;
DEMV026;Garz;ländliches Gebiet;Hintergrund;6;0;Garz;;;;;
DEMV017;Göhlen;ländliches Gebiet;Hintergrund;8;0;Göhlen;;;;;
DEMV004;Gülzow;ländliches Gebiet;Hintergrund;7;0;Gülzow;;;;;
DEMV019;Güstrow;städtisches Gebiet;Hintergrund;7;0;Güstrow;;;;;
DEMV024;Leizen;ländliches Gebiet;Hintergrund;6;0;Leizen;;;;;
DEMV012;Löcknitz;ländliches Gebiet;Hintergrund;6;0;Löcknitz;;;;;
DEMV003;Neubrandenburg;städtisches Gebiet;Verkehr;17;0;Neubrandenburg;;;;;
DEMV058;Neubrandenburg Woldegker Straße;städtisches Gebiet;Verkehr;25;0;Neubrandenburg;Woldegker;Straße;;;
DEMV020;Rostock Am Strande;städtisches Gebiet;Verkehr;33;0;Rostock;Am;Strande;;;
DEMV031;Rostock-Hohe Düne;städtisches Gebiet;Industrie;17;0;Rostock;Hohe;Düne;;;
DEMV022;Rostock-Holbeinplatz;städtisches Gebiet;Verkehr;26;0;Rostock;Holbeinplatz;;;;
DEMV007;Rostock-Stuthof;vorstädtisches Gebiet;Hintergrund;9;0;Rostock;Stuthof;;;;
DEMV021;Rostock-Warnemünde;städtisches Gebiet;Hintergrund;12;0;Rostock;Warnemünde;;;;
DEMV023;Schwerin-Obotritenring;städtisches Gebiet;Verkehr;16;0;Schwerin;Obotritenring;;;;
DEMV025;Stralsund-Knieperdamm;städtisches Gebiet;Verkehr;17;0;Stralsund;Knieperdamm;;;;
;Niedersachsen;;;;;Niedersachsen;;;;;
DENI052;Allertal;vorstädtisches Gebiet;Hintergrund;11;0;Allertal;;;;;
DENI063;Altes Land;ländliches Gebiet;Hintergrund;12;0;Altes;Land;;;;
DENI011;Braunschweig;vorstädtisches Gebiet;Hintergrund;12;0;Braunschweig;;;;;
DENI008;Braunschweig Verkehr_alt;städtisches Gebiet;Verkehr;31;--- 1);Braunschweig;Verkehr_alt;;;;
DENI075;Braunschweig-Verkehr;städtisches Gebiet;Verkehr;29;0;Braunschweig;Verkehr;;;;
DENI028;Eichsfeld;vorstädtisches Gebiet;Hintergrund;10;0;Eichsfeld;;;;;
DENI059;Elbmündung;ländliches Gebiet;Hintergrund;11;0;Elbmündung;;;;;
DENI043;Emsland;vorstädtisches Gebiet;Hintergrund;14;0;Emsland;;;;;
DENI042;Göttingen;vorstädtisches Gebiet;Hintergrund;13;0;Göttingen;;;;;
DENI068;Göttingen-Verkehr;städtisches Gebiet;Verkehr;32;0;Göttingen;Verkehr;;;;
DENI074;Hameln-Verkehr;städtisches Gebiet;Verkehr;36;--- 1);Hameln;Verkehr;;;;
DENI054;Hannover;städtisches Gebiet;Hintergrund;16;0;Hannover;;;;;
DENI149;Hannover Bornumer Straße;städtisches Gebiet;Verkehr;39;--- 1);Hannover;Bornumer;Straße;;;
DENI150;Hannover Friedrich-Ebert-Straße;städtisches Gebiet;Verkehr;43;--- 1);Hannover;Friedrich;Ebert;Straße;;
DENI152;Hannover Marienstraße;städtisches Gebiet;Verkehr;40;--- 1);Hannover;Marienstraße;;;;
DENI153;Hannover Vahrenwalder Straße;städtisches Gebiet;Verkehr;36;--- 1);Hannover;Vahrenwalder;Straße;;;
DENI048;Hannover Verkehr;städtisches Gebiet;Verkehr;39;0;Hannover;Verkehr;;;;
DENI061;Hildesheim Kaiserstr.;städtisches Gebiet;Verkehr;32;--- 1);Hildesheim;Kaiserstr.;;;;
DENI066;Hildesheim Verkehr;städtisches Gebiet;Verkehr;34;0;Hildesheim;Verkehr;;;;
DENI031;Jadebusen;ländliches Gebiet;Hintergrund;11;0;Jadebusen;;;;;
DENI062;Lüneburger Heide;vorstädtisches Gebiet;Hintergrund;15;0;Lüneburger;Heide;;;;
DENI016;Oker/Harlingerode;vorstädtisches Gebiet;Hintergrund;9;0;Oker/Harlingerode;;;;;
DENI143;Oldenburg Heiligengeistwall;städtisches Gebiet;Verkehr;39;0;Oldenburg;Heiligengeistwall;;;;
DENI038;Osnabrück;städtisches Gebiet;Hintergrund;16;0;Osnabrück;;;;;
DENI146;Osnabrück Neuer Graben;städtisches Gebiet;Verkehr;44;--- 1);Osnabrück;Neuer;Graben;;;
DENI067;Osnabrück-Verkehr;städtisches Gebiet;Verkehr;38;0;Osnabrück;Verkehr;;;;
DENI058;Ostfries. Inseln;ländliches Gebiet;Hintergrund;8;0;Ostfries.;Inseln;;;;
DENI029;Ostfriesland;vorstädtisches Gebiet;Hintergrund;15;0;Ostfriesland;;;;;
DENI070;Salzgitter-Drütte;ländliches Gebiet;Industrie;14;0;Salzgitter;Drütte;;;;
DENI077;Solling-Süd;ländliches Gebiet;Hintergrund;7;0;Solling;Süd;;;;
DENI053;Südoldenburg;vorstädtisches Gebiet;Industrie;13;0;Südoldenburg;;;;;
DENI060;Wendland;ländliches Gebiet;Hintergrund;10;0;Wendland;;;;;
DENI041;Weserbergland;vorstädtisches Gebiet;Hintergrund;12;0;Weserbergland;;;;;
DENI020;Wolfsburg;vorstädtisches Gebiet;Hintergrund;15;0;Wolfsburg;;;;;
DENI157;Wolfsburg Heßlinger Straße;städtisches Gebiet;Verkehr;29;0;Wolfsburg;Heßlinger;Straße;;;
DENI051;Wurmberg;ländliches Gebiet;Hintergrund;5;0;Wurmberg;;;;;
;Nordrhein-Westfalen;;;;;Nordrhein;Westfalen;;;;
DENW178;Aachen Adalbertsteinweg;städtisches Gebiet;Verkehr;36;--- 1);Aachen;Adalbertsteinweg;;;;
DENW207;Aachen Wilhelmstraße;städtisches Gebiet;Verkehr;37;0;Aachen;Wilhelmstraße;;;;
DENW094;Aachen-Burtscheid;städtisches Gebiet;Hintergrund;10;0;Aachen;Burtscheid;;;;
DENW371;Aachen-Haaren;städtisches Gebiet;Verkehr;34;--- 1);Aachen;Haaren;;;;
DENW200;Bielefeld Detmolder Straße;städtisches Gebiet;Verkehr;29;0;Bielefeld;Detmolder;Straße;;;
DENW383;Bielefeld Herforder Straße;städtisches Gebiet;Verkehr;36;0;Bielefeld;Herforder;Straße;;;
DENW228;Bielefeld Stapenhorststraße 42;städtisches Gebiet;Verkehr;31;--- 1);Bielefeld;Stapenhorststraße;42;;;
DENW361;Bielefeld-Innenstadt;städtisches Gebiet;Verkehr;39;--- 1);Bielefeld;Innenstadt;;;;
DENW067;Bielefeld-Ost;städtisches Gebiet;Hintergrund;21;0;Bielefeld;Ost;;;;
DENW331;Bochum Herner Straße 385;städtisches Gebiet;Verkehr;38;--- 1);Bochum;Herner;Straße;385;;
DENW176;Bonn Bornheimer Straße 35a;städtisches Gebiet;Verkehr;35;--- 1);Bonn;Bornheimer;Straße;35a;;
DENW175;Bonn Reuterstraße;städtisches Gebiet;Verkehr;40;--- 1);Bonn;Reuterstraße;;;;
DENW062;Bonn-Auerberg;vorstädtisches Gebiet;Hintergrund;25;0;Bonn;Auerberg;;;;
DENW081;Borken-Gemen;ländlich stadtnah;Hintergrund;17;0;Borken;Gemen;;;;
DENW364;Bottrop Peterstraße 9;städtisches Gebiet;Verkehr;34;--- 1);Bottrop;Peterstraße;9;;;
DENW021;Bottrop-Welheim;städtisches Gebiet;Industrie;23;0;Bottrop;Welheim;;;;
DENW002;Datteln-Hagem;vorstädtisches Gebiet;Hintergrund;17;0;Datteln;Hagem;;;;
DENW275;Dinslaken Hünxer Straße;städtisches Gebiet;Verkehr;36;--- 1);Dinslaken;Hünxer;Straße;;;
DENW293;Dinslaken Wilhelm-Lantermann-Straße 33;städtisches Gebiet;Verkehr;32;--- 1);Dinslaken;Wilhelm;Lantermann;Straße;33;
DENW185;Dortmund B1 Rheinlanddamm;städtisches Gebiet;Verkehr;40;--- 1);Dortmund;B1;Rheinlanddamm;;;
DENW184;Dortmund B1 Westfalendamm;städtisches Gebiet;Verkehr;36;--- 1);Dortmund;B1;Westfalendamm;;;
DENW136;Dortmund Brackeler Straße;städtisches Gebiet;Verkehr;45;0;Dortmund;Brackeler;Straße;;;
DENW101;Dortmund Steinstraße;städtisches Gebiet;Verkehr;37;0;Dortmund;Steinstraße;;;;
DENW008;Dortmund-Eving;städtisches Gebiet;Hintergrund;24;0;Dortmund;Eving;;;;
DENW376;Duisburg Friedrich-Wilhelm-Straße 25;städtisches Gebiet;Verkehr;38;--- 1);Duisburg;Friedrich;Wilhelm;Straße;25;
DENW112;Duisburg Kardinal-Galen-Straße;städtisches Gebiet;Verkehr;33;0;Duisburg;Kardinal;Galen;Straße;;
DENW377;Duisburg Meiderich Bahnhofstraße;städtisches Gebiet;Verkehr;37;--- 1);Duisburg;Meiderich;Bahnhofstraße;;;
DENW338;Duisburg-Bruckhausen;städtisches Gebiet;Industrie;32;0;Duisburg;Bruckhausen;;;;
DENW034;Duisburg-Walsum;städtisches Gebiet;Industrie;25;0;Duisburg;Walsum;;;;
DENW266;Düren Euskirchener Straße;städtisches Gebiet;Verkehr;40;--- 1);Düren;Euskirchener;Straße;;;
DENW368;Düsseldorf Burgunderstraße;städtisches Gebiet;Verkehr;37;--- 1);Düsseldorf;Burgunderstraße;;;;
DENW082;Düsseldorf Corneliusstraße;städtisches Gebiet;Verkehr;45;0;Düsseldorf;Corneliusstraße;;;;
DENW340;Düsseldorf Ludenberger Straße;städtisches Gebiet;Verkehr;44;--- 1);Düsseldorf;Ludenberger;Straße;;;
DENW354;Düsseldorf Südring;städtisches Gebiet;Verkehr;33;--- 1);Düsseldorf;Südring;;;;
DENW216;Düsseldorf-Bilk;städtisches Gebiet;Verkehr;48;--- 1);Düsseldorf;Bilk;;;;
DENW071;Düsseldorf-Lörick;städtisches Gebiet;Hintergrund;22;0;Düsseldorf;Lörick;;;;
DENW182;Elsdorf-Berrendorf;ländlich stadtnah;Industrie;14;0;Elsdorf;Berrendorf;;;;
DENW294;Emmerich-Elten Schmidtstraße 3;städtisches Gebiet;Verkehr;33;--- 1);Emmerich;Elten;Schmidtstraße;3;;
DENW287;Eschweiler Indestraße;städtisches Gebiet;Verkehr;35;--- 1);Eschweiler;Indestraße;;;;
DENW373;Essen Abteistraße;städtisches Gebiet;Verkehr;34;--- 1);Essen;Abteistraße;;;;
DENW161;Essen Alfredstraße 9/11;städtisches Gebiet;Verkehr;40;--- 1);Essen;Alfredstraße;09. Nov;;;
DENW162;Essen Brückstraße;städtisches Gebiet;Verkehr;37;--- 1);Essen;Brückstraße;;;;
DENW134;Essen Gladbecker Straße;städtisches Gebiet;Verkehr;38;0;Essen;Gladbecker;Straße;;;
DENW171;Essen Hombrucher Straße 21;städtisches Gebiet;Verkehr;33;--- 1);Essen;Hombrucher;Straße;21;;
DENW277;Essen Krayer Straße 213;städtisches Gebiet;Verkehr;41;--- 1);Essen;Krayer;Straße;213;;
DENW215;Essen-Frohnhausen;städtisches Gebiet;Verkehr;43;--- 1);Essen;Frohnhausen;;;;
DENW043;Essen-Ost Steeler Straße;städtisches Gebiet;Verkehr;31;0;Essen;Ost;Steeler;Straße;;
DENW247;Essen-Schuir (LANUV);vorstädtisches Gebiet;Hintergrund;25;0;Essen;Schuir;(LANUV);;;
DENW024;Essen-Vogelheim;städtisches Gebiet;Hintergrund;24;0;Essen;Vogelheim;;;;
DENW351;Gelsenkirchen Grothusstraße;städtisches Gebiet;Verkehr;33;--- 1);Gelsenkirchen;Grothusstraße;;;;
DENW208;Gelsenkirchen Kurt-Schumacher-Straße;städtisches Gebiet;Verkehr;41;0;Gelsenkirchen;Kurt;Schumacher;Straße;;
DENW022;Gelsenkirchen-Bismarck;vorstädtisches Gebiet;Hintergrund;23;0;Gelsenkirchen;Bismarck;;;;
DENW367;Gladbeck Goethestraße;städtisches Gebiet;Verkehr;32;0;Gladbeck;Goethestraße;;;;
DENW299;Gladbeck Grabenstraße 42;städtisches Gebiet;Verkehr;35;--- 1);Gladbeck;Grabenstraße;42;;;
DENW133;Hagen Graf-von-Galen-Ring;städtisches Gebiet;Verkehr;45;0;Hagen;Graf;von;Galen;Ring;
DENW281;Hagen Märkischer Ring 85;städtisches Gebiet;Verkehr;44;--- 1);Hagen;Märkischer;Ring;85;;
DENW222;Halle (Westfalen) Lange Straße;städtisches Gebiet;Verkehr;31;--- 1);Halle;(Westfalen);Lange;Straße;;
DENW195;Hamm Münsterstraße;städtisches Gebiet;Verkehr;33;--- 1);Hamm;Münsterstraße;;;;
DENW029;Hattingen-Blankenstein;vorstädtisches Gebiet;Hintergrund;16;0;Hattingen;Blankenstein;;;;
DENW369;Herne Recklinghauser Straße 4/6;städtisches Gebiet;Verkehr;39;--- 1);Herne;Recklinghauser;Straße;04. Jun;;
DENW058;Hürth;vorstädtisches Gebiet;Industrie;20;0;Hürth;;;;;
DENW267;Hürth Luxemburger Straße 344;städtisches Gebiet;Verkehr;38;--- 1);Hürth;Luxemburger;Straße;344;;
DENW329;Jackerath;ländliches Gebiet;Industrie;16;0;Jackerath;;;;;
DENW337;Jüchen-Hochneukirch;ländlich stadtnah;Industrie;18;0;Jüchen;Hochneukirch;;;;
DENW358;Köln Bergisch Gladbacher Straße;städtisches Gebiet;Verkehr;35;--- 1);Köln;Bergisch;Gladbacher;Straße;;
DENW211;Köln Clevischer Ring;städtisches Gebiet;Verkehr;44;0;Köln;Clevischer;Ring;;;
DENW303;Köln Dellbrücker Hauptstraße;städtisches Gebiet;Verkehr;33;--- 1);Köln;Dellbrücker;Hauptstraße;;;
DENW332;Köln Hauptstraße;städtisches Gebiet;Verkehr;35;--- 1);Köln;Hauptstraße;;;;
DENW148;Köln Justinianstraße;städtisches Gebiet;Verkehr;43;--- 1);Köln;Justinianstraße;;;;
DENW353;Köln Lindweilerweg 144;städtisches Gebiet;Verkehr;34;--- 1);Köln;Lindweilerweg;144;;;
DENW336;Köln Luxemburger Straße;städtisches Gebiet;Verkehr;39;--- 1);Köln;Luxemburger;Straße;;;
DENW151;Köln Neumarkt;städtisches Gebiet;Verkehr;40;--- 1);Köln;Neumarkt;;;;
DENW212;Köln Turiner Straße;städtisches Gebiet;Verkehr;37;0;Köln;Turiner;Straße;;;
DENW053;Köln-Chorweiler;städtisches Gebiet;Hintergrund;23;0;Köln;Chorweiler;;;;
DENW297;Köln-Meschenich Brühler Landstraße;vorstädtisches Gebiet;Verkehr;32;--- 1);Köln;Meschenich;Brühler;Landstraße;;
DENW059;Köln-Rodenkirchen;vorstädtisches Gebiet;Hintergrund;26;0;Köln;Rodenkirchen;;;;
DENW219;Köln-Weiden;städtisches Gebiet;Verkehr;40;--- 1);Köln;Weiden;;;;
DENW116;Krefeld (Hafen);vorstädtisches Gebiet;Industrie;27;0;Krefeld;(Hafen);;;;
DENW251;Krefeld Kölner Straße 209;städtisches Gebiet;Verkehr;32;--- 1);Krefeld;Kölner;Straße;209;;
DENW252;Krefeld Oranierring;städtisches Gebiet;Verkehr;34;--- 1);Krefeld;Oranierring;;;;
DENW232;Langenfeld Schneiderstraße;städtisches Gebiet;Verkehr;34;--- 1);Langenfeld;Schneiderstraße;;;;
DENW355;Leverkusen Gustav-Heinemann-Straße;städtisches Gebiet;Verkehr;38;0;Leverkusen;Gustav;Heinemann;Straße;;
DENW079;Leverkusen-Manfort;vorstädtisches Gebiet;Hintergrund;22;0;Leverkusen;Manfort;;;;
DENW006;Lünen-Niederaden;vorstädtisches Gebiet;Hintergrund;20;0;Lünen;Niederaden;;;;
DENW165;Mönchengladbach Aachener Straße 426/428;städtisches Gebiet;Verkehr;36;--- 1);Mönchengladbach;Aachener;Straße;426/428;;
DENW259;Mönchengladbach Friedrich-Ebert-Straße;städtisches Gebiet;Verkehr;27;0;Mönchengladbach;Friedrich;Ebert;Straße;;
DENW096;Mönchengladbach-Rheydt;vorstädtisches Gebiet;Hintergrund;21;0;Mönchengladbach;Rheydt;;;;
DENW187;Mülheim Aktienstraße;städtisches Gebiet;Verkehr;37;--- 1);Mülheim;Aktienstraße;;;;
DENW305;Mülheim Kölner Straße (B1);vorstädtisches Gebiet;Verkehr;29;--- 1);Mülheim;Kölner;Straße;(B1);;
DENW038;Mülheim-Styrum;städtisches Gebiet;Hintergrund;22;0;Mülheim;Styrum;;;;
DENW269;Münster Bült;städtisches Gebiet;Verkehr;33;--- 1);Münster;Bült;;;;
DENW260;Münster Weseler Straße;städtisches Gebiet;Verkehr;33;0;Münster;Weseler;Straße;;;
DENW095;Münster-Geist;städtisches Gebiet;Hintergrund;16;0;Münster;Geist;;;;
DENW065;Netphen Rothaargebirge;ländlich regional;Hintergrund;3;0;Netphen;Rothaargebirge;;;;
DENW066;Nettetal-Kaldenkirchen;ländlich stadtnah;Hintergrund;19;0;Nettetal;Kaldenkirchen;;;;
DENW290;Neuss Batteriestraße;städtisches Gebiet;Verkehr;39;--- 1);Neuss;Batteriestraße;;;;
DENW172;Neuss Friedrichstraße 29;städtisches Gebiet;Verkehr;36;--- 1);Neuss;Friedrichstraße;29;;;
DENW289;Neuss Krefelder Straße;städtisches Gebiet;Verkehr;39;--- 1);Neuss;Krefelder;Straße;;;
DENW209;Oberhausen Mülheimer Straße 116;städtisches Gebiet;Verkehr;41;--- 1);Oberhausen;Mülheimer;Straße;116;;
DENW188;Oberhausen Mülheimer Straße 117;städtisches Gebiet;Verkehr;43;0;Oberhausen;Mülheimer;Straße;117;;
DENW213;Overath Hauptstraße 55;städtisches Gebiet;Verkehr;39;--- 1);Overath;Hauptstraße;55;;;
DENW157;Paderborn Bahnhofstraße;städtisches Gebiet;Verkehr;40;--- 1);Paderborn;Bahnhofstraße;;;;
DENW158;Paderborn Friedrichstraße 29;städtisches Gebiet;Verkehr;38;--- 1);Paderborn;Friedrichstraße;29;;;
DENW363;Paderborn-Schloss Neuhaus;städtisches Gebiet;Verkehr;34;--- 1);Paderborn;Schloss;Neuhaus;;;
DENW078;Ratingen-Tiefenbroich;vorstädtisches Gebiet;Hintergrund;23;0;Ratingen;Tiefenbroich;;;;
DENW296;Recklinghausen Bochumer Straße;städtisches Gebiet;Verkehr;35;--- 1);Recklinghausen;Bochumer;Straße;;;
DENW166;Remscheid Freiheitstraße;städtisches Gebiet;Verkehr;31;--- 1);Remscheid;Freiheitstraße;;;;
DENW179;Schwerte;städtisches Gebiet;Hintergrund;18;0;Schwerte;;;;;
DENW365;Schwerte Hörder Straße 13;städtisches Gebiet;Verkehr;38;--- 1);Schwerte;Hörder;Straße;13;;
DENW360;Siegen Sandstraße 15;städtisches Gebiet;Verkehr;38;--- 1);Siegen;Sandstraße;15;;;
DENW064;Simmerath (Eifel);ländlich regional;Hintergrund;5;0;Simmerath;(Eifel);;;;
DENW068;Soest-Ost;ländlich stadtnah;Hintergrund;9;0;Soest;Ost;;;;
DENW206;Solingen Konrad-Adenauer-Straße;städtisches Gebiet;Verkehr;34;0;Solingen;Konrad;Adenauer;Straße;;
DENW080;Solingen-Wald;vorstädtisches Gebiet;Hintergrund;18;0;Solingen;Wald;;;;
DENW010;Unna-Königsborn;vorstädtisches Gebiet;Hintergrund;18;0;Unna;Königsborn;;;;
DENW181;Warstein;städtisches Gebiet;Industrie;9;0;Warstein;;;;;
DENW030;Wesel-Feldmark;vorstädtisches Gebiet;Hintergrund;19;0;Wesel;Feldmark;;;;
DENW239;Witten-Zentrum;städtisches Gebiet;Verkehr;38;--- 1);Witten;Zentrum;;;;
DENW189;Wuppertal Gathe;städtisches Gebiet;Verkehr;43;0;Wuppertal;Gathe;;;;
DENW114;Wuppertal-Langerfeld;städtisches Gebiet;Hintergrund;20;0;Wuppertal;Langerfeld;;;;
;Rheinland-Pfalz;;;;;Rheinland;Pfalz;;;;
DERP022;Bad Kreuznach-Bosenheimer Straße;städtisches Gebiet;Hintergrund;22;0;Bad;Kreuznach;Bosenheimer;Straße;;
DERP026;Frankenthal-Europaring;städtisches Gebiet;Verkehr;28;0;Frankenthal;Europaring;;;;
DERP014;Hunsrück-Leisel;ländliches Gebiet;Hintergrund;5;0;Hunsrück;Leisel;;;;
DERP019;Kaiserslautern-Rathausplatz;städtisches Gebiet;Hintergrund;19;0;Kaiserslautern;Rathausplatz;;;;
DERP024;Koblenz-Friedrich-Ebert-Ring;städtisches Gebiet;Verkehr;31;0;Koblenz;Friedrich;Ebert;Ring;;
DERP045;Koblenz-Hohenfelder Straße;städtisches Gebiet;Verkehr;38;0;Koblenz;Hohenfelder;Straße;;;
DERP063;Koblenz-Rheinanlagen;städtisches Gebiet;Hintergrund;21;--- 1);Koblenz;Rheinanlagen;;;;
DERP041;Ludwigshafen-Heinigstraße;städtisches Gebiet;Verkehr;38;0;Ludwigshafen;Heinigstraße;;;;
DERP003;Ludwigshafen-Mundenheim;städtisches Gebiet;Industrie;28;0;Ludwigshafen;Mundenheim;;;;
DERP001;Ludwigshafen-Oppau;städtisches Gebiet;Hintergrund;22;0;Ludwigshafen;Oppau;;;;
DERP007;Mainz-Mombach;städtisches Gebiet;Hintergrund;21;0;Mainz;Mombach;;;;
DERP010;Mainz-Parcusstraße;städtisches Gebiet;Verkehr;42;0;Mainz;Parcusstraße;;;;
DERP011;Mainz-Rheinallee;städtisches Gebiet;Verkehr;34;0;Mainz;Rheinallee;;;;
DERP009;Mainz-Zitadelle;städtisches Gebiet;Hintergrund;30;0;Mainz;Zitadelle;;;;
DERP021;Neuwied-Hafenstraße;städtisches Gebiet;Hintergrund;21;0;Neuwied;Hafenstraße;;;;
DERP046;Neuwied-Hermannstraße;städtisches Gebiet;Verkehr;25;0;Neuwied;Hermannstraße;;;;
DERP017;Pfälzerwald-Hortenkopf;ländliches Gebiet;Hintergrund;5;0;Pfälzerwald;Hortenkopf;;;;
DERP060;Pirmasens-Innenstadt;städtisches Gebiet;Hintergrund;14;0;Pirmasens;Innenstadt;;;;
DERP053;Speyer-Nord;vorstädtisches Gebiet;Hintergrund;28;0;Speyer;Nord;;;;
DERP020;Trier-Ostallee;städtisches Gebiet;Verkehr;27;0;Trier;Ostallee;;;;
DERP047;Trier-Pfalzel;vorstädtisches Gebiet;Industrie;16;0;Trier;Pfalzel;;;;
DERP015;Westeifel Wascheid;ländliches Gebiet;Hintergrund;4;0;Westeifel;Wascheid;;;;
DERP016;Westerwald-Herdorf;ländliches Gebiet;Hintergrund;6;0;Westerwald;Herdorf;;;;
DERP028;Westerwald-Neuhäusel;ländliches Gebiet;Hintergrund;7;0;Westerwald;Neuhäusel;;;;
DERP013;Westpfalz-Waldmohr;ländliches Gebiet;Hintergrund;6;0;Westpfalz;Waldmohr;;;;
DERP023;Worms-Hagenstraße;städtisches Gebiet;Verkehr;26;0;Worms;Hagenstraße;;;;
DERP025;Wörth-Marktplatz;städtisches Gebiet;Hintergrund;17;0;Wörth;Marktplatz;;;;
;Saarland;;;;;Saarland;;;;;
DESL019;Biringen;ländlich regional;Hintergrund;8;0;Biringen;;;;;
DESL003;Dillingen City;städtisches Gebiet;Industrie;16;0;Dillingen;City;;;;
DESL030;Ottweiler;städtisches Gebiet;Verkehr;28;0;Ottweiler;;;;;
DESL010;Saarbrücken-Burbach;städtisches Gebiet;Hintergrund;21;0;Saarbrücken;Burbach;;;;
DESL012;Saarbrücken-City;städtisches Gebiet;Hintergrund;27;0;Saarbrücken;City;;;;
DESL011;Saarbrücken-Eschberg;städtisches Gebiet;Hintergrund;14;0;Saarbrücken;Eschberg;;;;
DESL020;Saarbrücken-Verkehr;städtisches Gebiet;Verkehr;34;0;Saarbrücken;Verkehr;;;;
DESL013;Saarlouis-Fraulautern;vorstädtisches Gebiet;Hintergrund;18;0;Saarlouis;Fraulautern;;;;
DESL017;Völklingen-City Stadionstr.;städtisches Gebiet;Hintergrund;18;0;Völklingen;City;Stadionstr.;;;
;Sachsen;;;;;Sachsen;;;;;
DESN001;Annaberg-Buchholz;städtisches Gebiet;Hintergrund;18;0;Annaberg;Buchholz;;;;
DESN004;Bautzen;städtisches Gebiet;Hintergrund;14;0;Bautzen;;;;;
DESN006;Borna;städtisches Gebiet;Verkehr;17;0;Borna;;;;;
DESN093;Brockau;ländlich regional;Hintergrund;7;0;Brockau;;;;;
DESN104;Chemnitz Hans-Link-Straße;städtisches Gebiet;Hintergrund;12;0;Chemnitz;Hans;Link;Straße;;
DESN083;Chemnitz-Leipziger Str.;städtisches Gebiet;Verkehr;33;0;Chemnitz;Leipziger;Str.;;;
DESN076;Collmberg;ländlich abgelegen;Hintergrund;8;0;Collmberg;;;;;
DESN084;Dresden-Bergstr.;städtisches Gebiet;Verkehr;35;0;Dresden;Bergstr.;;;;
DESN061;Dresden-Nord;städtisches Gebiet;Verkehr;27;0;Dresden;Nord;;;;
DESN092;Dresden-Winckelmannstr.;städtisches Gebiet;Hintergrund;17;0;Dresden;Winckelmannstr.;;;;
DESN017;Freiberg;städtisches Gebiet;Hintergrund;21;0;Freiberg;;;;;
DESN019;Glauchau;städtisches Gebiet;Hintergrund;18;0;Glauchau;;;;;
DESN020;Görlitz;städtisches Gebiet;Verkehr;21;0;Görlitz;;;;;
DESN024;Klingenthal;städtisches Gebiet;Hintergrund;11;0;Klingenthal;;;;;
DESN077;Leipzig Lützner Str.;städtisches Gebiet;Verkehr;34;0;Leipzig;Lützner;Str.;;;
DESN025;Leipzig-Mitte;städtisches Gebiet;Verkehr;34;0;Leipzig;Mitte;;;;
DESN059;Leipzig-West;städtisches Gebiet;Hintergrund;14;0;Leipzig;West;;;;
DESN079;Niesky;ländlich regional;Hintergrund;8;0;Niesky;;;;;
DESN075;Plauen-Süd;städtisches Gebiet;Verkehr;21;0;Plauen;Süd;;;;
DESN051;Radebeul-Wahnsdorf;ländlich stadtnah;Hintergrund;11;0;Radebeul;Wahnsdorf;;;;
DESN074;Schwartenberg;ländlich regional;Hintergrund;7;0;Schwartenberg;;;;;
DESN052;Zinnwald;ländlich regional;Hintergrund;6;0;Zinnwald;;;;;
DESN045;Zittau-Ost;vorstädtisches Gebiet;Hintergrund;11;0;Zittau;Ost;;;;
DESN091;Zwickau-Werdauer Str.;städtisches Gebiet;Verkehr;22;0;Zwickau;Werdauer;Str.;;;
;Sachsen-Anhalt;;;;;Sachsen;Anhalt;;;;
DEST095;Aschersleben;städtisches Gebiet;Verkehr;25;0;Aschersleben;;;;;
DEST029;Bernburg;vorstädtisches Gebiet;Hintergrund;16;0;Bernburg;;;;;
DEST015;Bitterfeld/Wolfen;vorstädtisches Gebiet;Industrie;13;0;Bitterfeld/Wolfen;;;;;
DEST039;Brocken;ländlich abgelegen;Hintergrund;4;0;Brocken;;;;;
DEST002;Burg;vorstädtisches Gebiet;Hintergrund;11;0;Burg;;;;;
DEST091;Dessau Albrechtsplatz;städtisches Gebiet;Verkehr;16;0;Dessau;Albrechtsplatz;;;;
DEST104;Domäne Bobbe;ländliches Gebiet;Hintergrund;7;0;Domäne;Bobbe;;;;
DEST044;Halberstadt;städtisches Gebiet;Hintergrund;11;0;Halberstadt;;;;;
DEST101;Halberstadt/Friedenstrasse;städtisches Gebiet;Verkehr;29;--- 1);Halberstadt/Friedenstrasse;;;;;
DEST050;Halle/Nord;städtisches Gebiet;Hintergrund;16;0;Halle/Nord;;;;;
DEST102;Halle/Paracelsusstr.;städtisches Gebiet;Verkehr;36;0;Halle/Paracelsusstr.;;;;;
DEST090;Leuna;vorstädtisches Gebiet;Industrie;12;0;Leuna;;;;;
DEST103;Magdeburg Schleinufer;städtisches Gebiet;Verkehr;29;0;Magdeburg;Schleinufer;;;;
DEST112;Magdeburg/Guericke-Stra.;städtisches Gebiet;Verkehr;23;0;Magdeburg/Guericke;Stra.;;;;
