Stadt;Insgesamt;Benzin;Diesel;Gas (einschl. bivalent);Hybrid;Elektro;Sonstige;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;Sonstige2;Euro 1 2;Euro 2 2;Euro 3 2;Euro 4 2;Euro 5 2;Euro 6 2;Sonstige3
BADEN-WUERTTEMBERG;;;;;;;;;;;;;;;;;;;;;
RB STUTTGART;;;;;;;;;;;;;;;;;;;;;
08111  STUTTGART,STADT;293961;180388;109556;1978;;;2039;5853;29518;29999;84424;92830;45825;618;210;4498;13068;22218;47740;21266;203
08115  BOEBLINGEN;239154;152011;84204;1511;;;1428;3861;21449;24204;74870;74989;36167;688;297;3826;11495;20481;33838;13739;250
08116  ESSLINGEN;313816;205879;104615;2016;;;1306;6340;33150;35842;106198;98357;27754;1197;534;5556;16239;26371;44140;10903;447
08117  GOEPPINGEN;155072;100648;52563;1308;;;553;2905;16826;18152;54181;49885;10889;593;249;3011;8498;14061;21978;4359;244
08118  LUDWIGSBURG;313897;210857;99483;2321;;;1236;6081;35466;36916;109053;97586;24374;730;243;5053;15270;26348;42142;9871;230
08119  REMS-MURR-KREIS;249542;166844;80004;1936;;;758;5639;30570;30275;86230;72789;19844;907;354;5031;13244;21584;31611;7535;325
08121  HEILBRONN,STADT;63216;41293;21103;588;;;232;1348;7758;8201;22424;17915;4880;119;53;1029;3375;5808;8657;2090;47
08125  HEILBRONN;219279;139226;77608;1758;;;687;4782;26905;26554;74575;62895;20223;1129;332;4371;11902;19480;30699;10158;444
08126  HOHENLOHEKREIS;76564;42245;33401;731;;;187;1733;9810;9771;25811;22258;6138;326;176;1879;4848;8079;13764;4475;113
08127  SCHWAEBISCH-HALL;119386;72003;45694;1389;;;300;2644;16067;16155;42771;33732;6078;627;287;3449;8094;13058;17499;2924;236
08128  MAIN-TAUBER-KREIS;84212;52221;30773;885;;;333;1732;10962;11390;31292;23687;4074;345;166;2078;5325;9028;11970;1998;122
08135  HEIDENHEIM;77810;50395;26383;846;;;186;1410;8524;9579;29248;23743;4406;254;115;1415;4208;7906;10693;1875;95
08136  OSTALBKREIS;190857;119588;69093;1607;;;569;3186;20042;21998;68905;61042;13061;749;351;3786;10635;19006;29050;5758;290
RB ZUSAMMEN;2396766;1533598;834480;18874;;;9814;47514;267047;279036;809982;731708;223713;8282;3367;44982;126201;213428;343781;96951;3046
RB KARLSRUHE ;;;;;;;;;;;;;;;;;;;;;
08211  BADEN-BADEN,STADT;32975;21025;11647;157;;;146;874;3826;3996;10317;10051;3246;170;83;627;1618;2510;5099;1606;80
08212  KARLSRUHE,STADT;135651;87684;45953;1383;;;631;3645;16459;16443;43740;41905;11062;584;238;2370;6209;11000;20196;5528;249
08215  KARLSRUHE;262589;176813;82643;2219;;;914;6586;32711;34511;92861;76782;15271;1162;539;5359;13862;22321;33325;6459;456
08216  RASTATT;142563;95568;45559;1037;;;399;3829;19355;18935;48657;37608;11986;685;357;3406;8268;12233;16532;4299;287
08221  HEIDELBERG,STADT;58389;37275;20424;452;;;238;1802;7138;6821;18477;17889;4908;263;110;1159;2642;4664;9129;2536;101
08222  MANNHEIM,STADT;145300;96590;46873;1197;;;640;4136;18361;16991;45530;41346;14788;677;258;2240;6235;10656;19639;7335;231
08225  NECKAR-ODENWALD-KREIS;87990;55624;31366;774;;;226;1782;10602;11128;32291;26397;4778;343;194;1988;5366;8945;12679;1973;145
08226  RHEIN-NECKAR-KREIS;333726;220907;109188;2520;;;1111;8127;39116;39767;113287;103776;24552;1424;681;5861;15503;25976;48771;11462;601
08231  PFORZHEIM,STADT;57727;38637;18360;497;;;233;1270;6720;7356;19936;17205;4441;164;64;919;2889;5232;7423;1725;58
08235  CALW;96049;60261;34599;895;;;294;1814;10249;11612;33407;29799;7698;361;195;2058;5758;9604;13901;2782;156
08236  ENZKREIS;122957;83003;38491;1116;;;347;2729;14316;15755;43792;37067;7361;458;200;2352;6450;10822;15621;2746;168
08237  FREUDENSTADT;70961;42780;27409;536;;;236;1213;7341;8504;25596;22483;4937;290;133;1597;4340;7706;11366;2084;110
RB ZUSAMMEN;1546877;1016167;512512;12783;;;5415;37807;186194;191819;527891;462308;115028;6581;3052;29936;79140;131669;213681;50535;2642
RB FREIBURG;;;;;;;;;;;;;;;;;;;;;
08311  FREIBURG I.BREISG.STADT;88595;54842;32473;789;;;491;2802;12491;12177;28995;24664;5585;593;275;2224;5200;8315;12970;3001;306
08315  BREISGAU-HOCHSCHWARZWALD;148235;95578;50951;1072;;;634;4299;19745;20426;52775;41294;6758;969;468;3654;8947;14604;19767;2850;460
08316  EMMENDINGEN;93820;62362;30348;781;;;329;2715;13807;13302;34105;24363;3859;589;272;2231;5651;9021;11154;1630;270
08317  ORTENAUKREIS;253834;167262;84287;1689;;;596;7489;36341;36143;90089;67305;12462;1395;810;6712;15624;23682;31155;5402;580
08325  ROTTWEIL;87457;54478;32163;595;;;221;1636;8858;10428;32358;27722;5154;436;189;1831;5162;9162;13330;2195;179
08326  SCHWARZWALD-BAAR-KREIS;122901;79978;41619;879;;;425;2222;12302;14374;44484;39899;7711;626;253;2474;6694;11005;17741;3091;227
08327  TUTTLINGEN;81251;50190;30290;560;;;211;1381;7074;9382;28750;27795;5838;341;201;1609;4626;7997;13151;2505;145
08335  KONSTANZ;150911;106459;42536;1350;;;566;3573;18252;19446;54903;43289;8714;918;427;3334;7586;10569;16866;3181;391
08336  LOERRACH;130547;91433;37815;568;;;731;3353;15675;16799;46440;38429;7655;538;344;2791;6397;9810;15213;2793;195
08337  WALDSHUT;100904;69337;30726;444;;;397;2087;10887;13192;36662;30927;5593;547;201;2034;5132;7998;13006;2064;200
RB ZUSAMMEN;1258455;831919;413208;8727;;;4601;31557;155432;165669;449561;365687;69329;6952;3440;28894;71019;112163;164353;28712;2953
RB TUEBINGEN;;;;;;;;;;;;;;;;;;;;;
08415  REUTLINGEN;169015;107151;59828;1555;;;481;3087;18006;19871;59850;54201;11507;564;256;3368;9327;16683;25053;4705;249
08416  TUEBINGEN;117022;72256;43053;1340;;;373;2281;13196;14342;41452;36161;7857;440;210;2525;6809;11754;17892;3516;183
08417  ZOLLERNALBKREIS;119613;75835;42461;988;;;329;2002;11952;13946;42803;39417;7761;484;195;2541;6534;11871;18022;3002;191
08421  ULM,STADT;62842;37323;24755;540;;;224;1005;5561;6505;21226;21279;6382;156;70;920;2889;6139;11244;3368;61
08425  ALB-DONAU-KREIS;117817;73580;43038;999;;;200;2010;11838;14097;45149;36322;6603;443;178;2302;6897;13502;17119;2747;178
08426  BIBERACH;119683;73323;45123;903;;;334;1923;12488;15109;46160;36207;6070;519;241;2621;7601;13926;17724;2704;196
08435  BODENSEEKREIS;128982;83847;43691;938;;;506;2932;15607;16421;44280;37533;9471;850;415;3496;7728;10968;16546;4016;343
08436  RAVENSBURG;165924;102249;61982;1254;;;439;3193;19279;22119;60982;48816;8621;1000;500;4810;11333;17434;23485;3800;413
08437  SIGMARINGEN;79601;48587;29939;758;;;317;1414;8776;10091;29699;24365;4136;374;183;1987;5029;8865;11798;1843;161
RB ZUSAMMEN;1080499;674151;393870;9275;;;3203;19847;116703;132501;391601;334301;68408;4830;2248;24570;64147;111142;158883;29701;1975
LAND INSGESAMT;6282597;4055835;2154070;49659;;;23033;136725;725376;769025;2179035;1894004;476478;26645;12107;128382;340507;568402;880698;205899;10616
BAYERN;;;;;;;BAYERN;;;;;;;BAYERN;;;;;;;
RB OBERBAYERN;;;;;;;;;;;;;;;;;;;;;
09161  INGOLSTADT,STADT;94398;55010;37606;581;;;1201;1663;7875;7502;22203;23528;26568;3584;198;1728;3980;5885;11339;12888;1484
09162  MUENCHEN,STADT;705476;407863;287868;3993;;;5752;17436;59221;66742;189042;218485;131358;6604;1609;10162;28294;51133;117879;75344;2203
09163  ROSENHEIM,STADT;33143;20528;12235;275;;;105;631;3272;3898;11341;10807;2642;106;94;811;1977;2887;5146;1220;43
09171  ALTOETTING;65487;42633;22120;441;;;293;1134;6554;7932;24159;20979;3804;275;175;1432;3669;5835;9371;1444;114
09172  BERCHTESGADENER LAND;60744;39475;20750;334;;;185;1085;5623;6694;21985;20273;3889;323;169;1354;3461;5260;8810;1492;119
09173  BAD TOELZ-WOLFRATSHAUSEN;75060;44966;29255;592;;;247;1411;7228;9094;26186;25036;4642;456;229;1980;4812;7420;12424;2122;177
09174  DACHAU;84353;54042;29268;761;;;282;1632;8244;10408;30916;26484;5245;405;208;1624;4722;8084;12411;1970;149
09175  EBERSBERG;77697;47662;29198;555;;;282;1289;7073;8637;26924;26469;5880;386;168;1516;4203;7504;12859;2702;151
09176  EICHSTAETT;77254;46641;29835;648;;;130;1585;9178;9035;27102;24556;4466;302;214;2278;5403;7684;12267;1778;109
09177  ERDING;81549;49601;30932;633;;;383;1412;7902;9830;29953;26565;4765;239;185;1806;4908;8611;13170;2043;110
09178  FREISING;100863;59309;40326;881;;;347;1984;10283;12539;34855;32603;6832;564;287;2387;6272;10595;16929;3541;209
09179  FUERSTENFELDBRUCK;115988;75440;39223;907;;;418;2435;11654;13799;41622;37042;7420;556;316;2259;6182;10259;16796;3010;244
09180  GARMISCH-PARTENKIRCHEN;49306;31650;17074;401;;;181;1083;4990;6015;17192;16065;3070;288;208;1393;2852;4061;7087;1303;127
09181  LANDSBERG AM LECH;74593;44761;28757;770;;;305;1475;7481;8971;26352;23986;4846;501;200;1802;4442;7324;12170;2522;205
09182 MIESBACH ;61688;37082;23980;425;;;201;1212;5443;6940;20401;21650;4672;356;159;1408;3689;5595;10623;2298;129
09183 MUEHLDORF A.INN ;68040;43233;23976;523;;;308;1298;7525;8804;25231;20329;3906;328;189;1710;4265;6620;9446;1544;143
09184 MUENCHEN ;219472;123095;93894;1191;;;1292;3793;16053;20540;62516;85516;26848;914;357;3197;9686;16335;47836;15967;326
09185 NEUBURG-SCHROBENHAUSEN ;59801;36765;22390;499;;;147;1281;7389;7872;21769;17319;3260;310;130;1624;4045;6237;8702;1484;105
09186 PFAFFENHOFEN A.D.ILM ;76385;45158;30200;835;;;192;1574;8458;9557;27230;23810;4512;401;218;2099;5020;8210;12419;2020;150
09187 ROSENHEIM ;157979;98248;58022;1137;;;572;3094;15655;19028;57064;50483;9566;992;441;3968;9952;15215;23806;4106;356
09188 STARNBERG ;82887;50354;31645;505;;;383;1769;6973;8859;26381;29345;7231;528;191;1597;4402;7071;14717;3362;187
09189 TRAUNSTEIN ;107899;68128;38587;824;;;360;2126;10820;12994;39517;34147;6268;445;377;2727;6710;10200;15706;2468;184
09190 WEILHEIM-SCHONGAU ;81588;51024;29521;792;;;251;1838;8994;10624;29361;24777;4353;449;290;2314;5317;7789;11504;1912;206
RB ZUSAMMEN ;2611650;1572668;1006662;18503;;;13817;54240;243888;286314;839302;840254;286043;19312;6612;53176;138263;225814;423417;148540;7230
RB NIEDERBAYERN ;;;;;;;;;;;;;;;;;;;;;
09261 LANDSHUT,STADT ;34525;21661;12470;266;;;128;624;3325;4093;12223;10954;2803;144;83;641;1870;3241;5260;1269;62
09262 PASSAU,STADT ;26324;16711;9345;135;;;133;480;2547;2897;8549;9277;2230;103;62;489;1307;1995;4392;1015;57
09263 STRAUBING,STADT ;25879;16726;8905;186;;;62;464;2631;3047;9165;8138;2077;101;34;439;1300;2197;3882;992;33
09271 DEGGENDORF ;72355;44472;26946;813;;;124;1122;7133;8561;27182;23589;4013;272;123;1418;4099;7359;11994;1803;96
09272 FREYUNG-GRAFENAU ;48807;29609;18826;307;;;65;928;5567;5714;18121;15414;2592;148;87;1033;3088;5381;7955;1194;51
09273 KELHEIM ;73556;43202;29291;943;;;120;1205;7373;8945;27168;23608;4244;366;138;1594;4710;8303;12390;1971;133
09274 LANDSHUT ;98986;58422;39217;980;;;367;1796;10780;12850;36649;30088;5479;508;235;2557;6453;10993;16096;2580;202
09275 PASSAU ;117997;77214;39835;690;;;258;2140;13539;13757;44560;36365;6321;457;212;2464;6596;11254;16537;2531;150
09276 REGEN ;46757;28777;17448;364;;;168;726;4395;4916;17424;16309;2486;200;87;904;2560;4846;7851;1107;55
09277 ROTTAL-INN ;76970;48080;28053;611;;;226;1452;9169;9845;28959;22304;4119;400;155;1921;4800;7720;11317;1923;137
09278 STRAUBING-BOGEN ;63404;39177;23450;605;;;172;1116;6324;7856;24566;19684;3009;260;138;1367;3801;6862;9785;1357;88
09279 DINGOLFING-LANDAU ;61498;36209;24551;575;;;163;1164;6566;7827;21940;17227;5883;366;148;1432;3825;6631;9280;3073;108
RB ZUSAMMEN ;747058;460260;278337;6475;;;1986;13217;79349;90308;276506;232957;45256;3325;1502;16259;44409;76782;116739;20815;1172
RB OBERPFALZ ;;;;;;;;;;;;;;;;;;;;;
09361 AMBERG,STADT ;23757;15580;7909;162;;;106;399;2263;2625;8569;7986;1626;91;44;362;1102;2020;3587;740;36
09362 REGENSBURG,STADT ;73388;44483;27793;758;;;354;1279;6396;7556;24007;25747;7320;327;157;1310;3533;6110;12897;3625;120
09363 WEIDEN I.D.OPF.,STADT ;25027;16352;8430;188;;;57;407;2466;2676;8515;8857;1789;77;45;409;1114;1885;4077;851;21
09371 AMBERG-SULZBACH ;66006;42204;23065;546;;;191;1118;7005;7699;25584;20699;3002;260;118;1336;3523;6708;9904;1308;98
09372 CHAM ;82510;52434;29047;909;;;120;1385;8951;9608;31909;25857;3795;353;141;1675;4682;8641;12225;1524;108
09373 NEUMARKT I.D.OPF. ;81249;49632;30693;697;;;227;1273;7433;8919;30019;27594;4788;399;154;1471;4399;8165;14122;2189;127
09374 NEUSTADT A.D.WALDNAAB ;61588;39915;21058;501;;;114;956;6268;6830;23971;19747;3144;280;100;1246;3229;6079;8964;1283;112
09375 REGENSBURG ;117654;73214;42607;1495;;;338;1724;10212;13125;44088;40270;6802;476;221;2303;6516;11583;18921;2822;172
09376 SCHWANDORF ;92935;57029;34482;1250;;;174;1465;8959;10125;35296;30851;5089;401;175;1707;4898;9687;15374;2430;142
09377 TIRSCHENREUTH ;46399;31360;14678;297;;;64;751;4381;4542;18105;15765;2410;170;67;744;2093;4036;6682;968;54
RB ZUSAMMEN ;670513;422203;239762;6803;;;1745;10757;64334;73705;250063;223373;39765;2834;1222;12563;35089;64914;106753;17740;990
RB OBERFRANKEN ;;;;;;;;;;;;;;;;;;;;;
09461 BAMBERG,STADT ;37834;23868;13471;371;;;124;908;4770;4686;12174;11849;2746;223;109;984;2111;3001;5803;1342;82
09462 BAYREUTH,STADT ;37390;24223;12740;292;;;135;746;3616;3957;12593;12812;3171;153;76;601;1714;2821;5897;1542;56
09463 COBURG,STADT ;24677;15420;8954;225;;;78;417;2275;2421;7754;8953;2418;104;33;341;977;1625;4553;1370;30
09464 HOF,STADT ;23625;16741;6628;182;;;74;347;2131;2283;7848;8516;2240;82;29;340;927;1427;3104;762;23
09471 BAMBERG ;95081;61679;32313;882;;;207;1837;11668;12014;35466;28569;4275;470;208;2267;5549;9081;13174;1812;161
09472 BAYREUTH ;67857;44376;22791;551;;;139;1186;7161;7458;25686;21966;3598;323;128;1368;3547;6446;9711;1440;107
09473 COBURG ;55302;38717;15891;571;;;123;965;6196;5951;20586;17804;3049;240;84;1017;2527;4089;6980;1075;73
09474 FORCHHEIM ;73626;47803;25001;612;;;210;1451;8385;9036;27753;22185;3746;393;178;1649;4220;7016;10072;1684;135
09475 HOF ;60763;41433;18633;585;;;112;941;5368;5246;21150;22827;4490;271;96;913;2412;4485;8988;1613;90
09476 KRONACH ;43310;29082;13829;327;;;72;704;4464;4410;16212;14583;2427;184;71;840;2107;3662;6155;916;51
09477 KULMBACH ;47201;30920;15667;473;;;141;946;5114;5189;17068;15577;2665;230;95;958;2377;4110;6805;1199;89
09478 LICHTENFELS ;42095;28581;13136;316;;;62;824;5024;4866;16218;12566;2092;163;68;932;2190;3658;5415;792;55
09479 WUNSIEDEL I.FICHTELGEB. ;44905;31255;13204;331;;;115;684;3952;4325;15724;16729;2886;175;67;631;1774;3132;6448;1061;55
RB ZUSAMMEN ;653666;434098;212258;5718;;;1592;11956;70124;71842;236232;214936;39803;3011;1242;12841;32432;54553;93105;16608;1007
RB MITTELFRANKEN ;;;;;;;;;;;;;;;;;;;;;
09561 ANSBACH,STADT ;23750;14882;8522;264;;;82;426;2686;2943;8347;7290;1745;84;40;549;1335;2086;3515;951;23
09562 ERLANGEN,STADT ;52845;33650;18573;393;;;229;1180;5724;6191;18044;16999;3778;182;146;1085;2879;4490;8003;1798;67
09563 FUERTH,STADT ;59393;40015;18653;454;;;271;1172;6411;7031;20929;18697;4317;234;116;1150;2959;4678;7869;1714;91
09564 NUERNBERG,STADT ;235325;151291;81485;1520;;;1029;5122;25847;28224;77700;75164;19415;1020;572;4729;12185;18662;35190;9428;419
09565 SCHWABACH,STADT ;24321;16326;7723;145;;;127;666;2610;2840;8218;7679;1642;233;76;449;1225;1849;3297;719;65
09571 ANSBACH ;115770;72595;41819;1149;;;207;2453;14821;15587;42992;33137;5054;633;290;3101;7421;12248;16180;2229;228
09572 ERLANGEN-HOECHSTADT ;85986;54421;30573;675;;;317;1710;9092;10085;30522;27203;5773;423;195;1763;4824;7808;12815;2899;155
09573 FUERTH ;72200;49445;22001;512;;;242;1488;7500;8236;26540;23113;4213;332;161;1281;3634;5839;9334;1548;126
09574 NUERNBERGER LAND ;103304;67560;34653;746;;;345;2107;10410;11712;36409;34060;6866;557;252;1945;5147;8747;15278;2946;216
09575 NEUSTADT/AISCH-WINDSHEIM ;61969;37527;23634;602;;;206;1361;8045;8531;23079;17449;2589;341;167;1809;4277;7145;8914;1164;104
09576 ROTH ;80793;50767;29199;582;;;245;1690;8864;9818;28662;26048;4460;403;215;1886;4828;7678;12357;1989;163
09577 WEISSENBURG-GUNZENHAUSEN ;57871;36504;20737;509;;;121;1325;7366;7747;21184;16764;2640;322;193;1549;3768;5770;8106;1154;127
RB ZUSAMMEN ;973527;624983;337572;7551;;;3421;20700;109376;118945;342626;303603;62492;4764;2423;21296;54482;87000;140858;28539;1784
RB UNTERFRANKEN ;;;;;;;;;;;;;;;;;;;;;
09661 ASCHAFFENBURG,STADT ;42639;26520;15467;424;;;228;900;4817;4864;13020;12499;5876;161;67;746;1925;3194;6240;3192;58
09662 SCHWEINFURT,STADT ;26962;16929;9566;325;;;142;589;3348;3537;8994;7878;2209;102;67;568;1502;2127;4025;1191;39
09663 WUERZBURG,STADT ;61920;38851;21952;860;;;257;1456;7084;7562;20239;19248;4907;341;175;1263;3312;5024;9559;2395;138
09671 ASCHAFFENBURG ;111171;72435;37373;1062;;;301;2322;13004;13662;39683;34200;6686;452;193;2053;5561;10209;16090;3031;147
09672 BAD KISSINGEN;66206;41245;23966;848;;;147;1347;8591;8781;25331;18440;2799;325;171;1659;4188;7224;9256;1259;147
09673 RHOEN-GRABFELD;51188;30348;19948;695;;;197;931;6117;6927;19845;14574;2141;278;108;1331;3372;5900;8069;1038;85
09674 HASSBERGE ;54986;32714;21383;793;;;96;976;7256;7370;20905;15624;2109;290;114;1601;3734;6303;8477;993;103
09675 KITZINGEN ;57054;36318;19823;696;;;217;1359;8539;7975;20664;15059;2600;288;151;1589;3673;5629;7450;1145;118
09676 MILTENBERG ;79829;50876;27900;781;;;272;1655;10250;10788;29214;22895;3910;310;165;1767;4785;8034;11172;1783;115
09677 MAIN-SPESSART ;80990;50545;29128;1095;;;222;1591;10119;10671;29613;23646;4176;345;186;1942;4998;8398;11545;1861;129
09678 SCHWEINFURT ;74006;48633;24068;1100;;;205;1580;9805;10164;28386;20079;2979;343;211;1867;4461;7030;9186;1098;146
09679 WUERZBURG ;100282;64758;33781;1377;;;366;1923;11909;12811;36849;29940;5221;485;247;2286;5675;9294;13914;2055;187
RB ZUSAMMEN ;807233;510172;284355;10056;;;2650;16629;100839;105112;292743;234082;45613;3720;1855;18672;47186;78366;114983;21041;1412
RB SCHWABEN ;;;;;;;;;;;;;;;;;;;;;
09761 AUGSBURG,STADT ;129486;85487;41696;1564;;;739;2579;13091;15174;43690;41321;11640;522;213;2039;5994;10225;17892;4957;217
