Stadt;Insgesamt;Benzin;Diesel;Gas (einschl. bivalent);Hybrid;Elektro;Sonstige;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;Sonstige2;Euro 1 2;Euro 2 2;Euro 3 2;Euro 4 2;Euro 5 2;Euro 6 2;Sonstige3
SCHLESWIG-HOLSTEIN;;;;;;;;;;;;;;;;;;;;;
01001  FLENSBURG,STADT;39433;26375;12601;448;;;51;1692;8000;6748;17069;5294;9;187;233;1667;3239;4692;2541;9;97
01002  KIEL,STADT;99724;71185;27538;986;;;140;5231;22409;16522;40318;13421;30;836;679;3857;6995;9385;5991;30;427
01003  LUEBECK,STADT;89654;65879;22799;1133;;;83;5255;20750;14622;36534;10900;30;646;551;3147;5919;7969;4727;30;307
01004  NEUMUENSTER,STADT;37974;27051;10435;604;;;39;1991;9000;6717;15266;4441;9;165;204;1439;2791;3876;1960;9;71
01051  DITHMARSCHEN;72836;48921;23173;775;;;48;4037;18847;13303;28731;6780;21;518;539;4421;6876;8004;2912;21;253
01053  HERZOGTUM LAUENBURG;103087;72911;28719;1557;;;104;5721;22393;18109;43781;11132;19;860;658;4211;8209;10771;4294;19;410
01054  NORDFRIESLAND;92263;61893;29322;1207;;;75;4879;22619;17193;36645;9138;21;492;675;5622;8801;9799;3847;21;241
01055  OSTHOLSTEIN;111955;80842;29808;1438;;;86;6196;25253;18980;47573;11873;19;962;759;4868;8637;10524;4391;19;453
01056  PINNEBERG;158753;115914;41193;1707;;;195;7258;32880;26949;68500;20705;57;564;774;5554;11213;14754;8168;57;262
01057  PLOEN;71815;50319;20745;733;;;72;3774;16965;13041;29627;7167;8;411;530;3620;6256;7296;2611;8;212
01058  RENDSBURG-ECKERNFOERDE;153726;102696;49142;1980;;;145;7569;35168;28231;63565;16539;50;799;1045;8191;14217;17524;7246;50;370
01059  SCHLESWIG-FLENSBURG;112243;72326;38465;1435;;;83;5627;28030;21715;44834;10065;20;606;797;7026;11749;13632;4551;20;298
01060  SEGEBERG;148549;104247;42429;1914;;;170;7059;31868;26758;62990;17545;55;775;851;6009;11898;15232;7681;55;370
