Stadt;Insgesamt;Benzin;Diesel;Gas (einschl. bivalent);Hybrid;Elektro;Sonstige;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;Sonstige2;Euro 1 2;Euro 2 2;Euro 3 2;Euro 4 2;Euro 5 2;Euro 6 2;Sonstige3
SCHLESWIG-HOLSTEIN;;;;;;;;;;;;;;;;;;;;;
03256  NIENBURG(WESER);68 080;49 612;17 263;1 156;153;49;4 984;19 546;12 749;26 216;3 077;9;500;427;3 251;5 774;6 248;1 163;9;208;
03257  SCHAUMBURG;90 505;67 757;21 202;1 493;222;53;6 666;24 094;16 384;36 665;4 526;10;580;455;3 454;6 930;8 356;1 621;10;184;
RB ZUSAMMEN;1 069 520;790 174;262 614;15 401;2 783;1 331;73 222;265 112;186 046;455 193;67 964;208;6 974;4 940;36 885;78 040;109 655;28 298;208;2 625;
RB LUENEBURG;;;;;;;;;;;;;;;;;;;;;
03351  CELLE;96 172;69 068;25 730;1 322;132;52;6 489;24 723;17 644;40 188;5 505;17;739;586;4 126;8 011;10 125;2 384;17;332;
03352  CUXHAVEN;110 895;79 758;28 967;2 096;867;74;6 731;29 168;20 867;46 846;5 175;5;625;698;5 339;9 321;11 257;1 868;5;249;
03353  HARBURG;142 813;100 143;40 842;1 665;381;163;7 990;31 753;26 882;63 677;8 771;24;965;927;6 362;12 782;16 392;3 466;24;407;
03354  LUECHOW-DANNENBERG;27 373;18 864;7 824;662;188;23;2 366;8 512;5 195;9 598;1 129;3;260;258;1 876;2 529;2 510;432;3;127;
03355  LUENEBURG;88 835;61 270;26 464;1 036;159;65;5 493;22 118;17 122;37 482;5 084;12;743;640;4 473;8 369;10 328;2 195;12;341;
03356  OSTERHOLZ;63 445;46 568;15 653;1 175;174;49;4 128;16 600;12 232;26 420;3 032;5;357;357;2 635;5 126;6 099;1 166;5;128;
03357  ROTENBURG(WUEMME);94 560;64 529;28 524;1 457;459;50;6 014;25 573;18 090;38 639;4 717;7;532;589;5 113;9 206;10 938;2 200;7;217;
03358  HEIDEKREIS;76 763;54 255;21 218;1 256;219;34;5 237;19 959;14 479;30 947;3 864;6;595;490;3 596;6 962;8 149;1 594;5;254;
03359  STADE;107 439;77 098;28 980;1 278;310;83;6 175;26 701;20 433;46 188;6 233;17;547;727;5 169;9 075;11 178;2 297;17;232;
03360  UELZEN;50 659;36 385;13 778;470;35;26;3 587;13 261;8 637;21 508;2 814;3;418;414;2 634;4 313;5 030;1 106;3;194;
03361  VERDEN;75 762;54 357;20 336;1 028;201;41;4 625;18 052;14 066;32 693;4 886;3;446;398;2 985;6 332;8 280;2 025;3;139;
RB ZUSAMMEN;934 716;662 295;258 316;13 445;3 125;660;58 835;236 420;175 647;394 186;51 210;102;6 227;6 084;44 308;82 026;100 286;20 733;101;2 620;
RB WESER-EMS;;;;;;;;;;;;;;;;;;;;;
03401  DELMENHORST,STADT;36 635;28 276;7 727;600;155;32;2 310;9 461;6 658;15 246;2 042;5;217;182;1 203;2 568;2 967;656;5;70;
03402  EMDEN,STADT;21 242;15 741;5 075;408;170;18;1 254;5 595;3 622;9 070;1 389;7;131;119;875;1 596;1 851;548;7;54;
03403  OLDENBURG (OLDENB), STADT;77 152;52 766;22 438;1 881;748;67;4 524;18 562;13 959;33 009;5 205;12;501;412;3 469;6 336;9 065;2 676;12;181;
03404  OSNABRUECK,STADT;73 704;51 706;20 933;909;125;156;4 704;16 361;12 653;32 645;6 119;11;335;210;2 262;5 247;9 583;3 407;11;106;
03405  WILHELMSHAVEN,STADT;36 581;28 046;7 811;695;126;29;2 203;8 931;6 658;16 222;2 047;3;177;185;1 307;2 460;3 085;615;3;65;
03451  AMMERLAND;67 660;46 408;19 727;1 486;364;39;3 869;17 677;13 097;28 307;3 393;8;401;436;3 566;6 349;7 502;1 482;8;193;
03452  AURICH;98 914;70 759;25 027;3 084;926;44;6 565;28 189;17 904;40 020;4 660;17;606;670;5 191;7 971;9 055;1 645;17;268;
03453  CLOPPENBURG;81 002;49 502;29 701;1 778;314;21;4 776;22 667;17 036;31 822;3 203;11;457;674;6 536;9 500;10 906;1 670;11;219;
03454  EMSLAND;167 581;102 462;59 937;5 052;420;130;8 390;39 755;34 178;73 924;9 202;23;905;896;9 633;18 572;25 304;4 905;23;399;
03455  FRIESLAND;57 064;40 280;14 936;1 807;281;41;3 611;15 434;10 591;23 602;2 819;7;315;367;2 988;4 636;5 580;1 067;7;126;
03456  GRAFSCHAFT BENTHEIM;71 804;40 846;27 477;3 455;147;26;3 752;16 808;15 831;31 019;3 501;5;339;454;4 080;8 738;11 915;2 015;5;142;
03457  LEER;86 830;59 676;24 298;2 823;331;33;5 500;24 542;16 809;34 970;3 664;11;450;547;4 757;7 760;9 167;1 622;11;176;
03458  OLDENBURG(OLDENBURG);72 111;49 044;21 482;1 540;435;45;4 186;18 458;13 607;30 362;3 869;7;390;472;3 877;6 770;8 376;1 601;7;171;
03459  OSNABRUECK;197 257;140 027;54 048;3 033;301;149;12 736;50 916;36 619;83 592;10 329;27;1 221;903;8 612;16 946;22 338;4 493;27;436;
