Stadt;Insgesamt;Benzin;Diesel;Gas (einschl. bivalent);Hybrid;Elektro;Sonstige;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;Sonstige2;Euro 1 2;Euro 2 2;Euro 3 2;Euro 4 2;Euro 5 2;Euro 6 2;Sonstige3
BADEN-WUERTTEMBERG;;;;;;;;;;;;;;;;;;;;;
RB STUTTGART;;;;;;;;;;;;;;;;;;;;;
08111  STUTTGART,STADT;288622;179164;105178;2459;;;2265;6770;34018;32728;89231;99628;20464;644;226;4858;14132;23744;52901;8797;210
08115  BOEBLINGEN;234585;149493;82309;1804;;;1235;4448;24899;26845;78602;78485;17941;632;332;4395;12727;21729;36686;5940;246
08116  ESSLINGEN;308153;204380;100610;2429;;;1060;7333;38474;39524;110882;95146;10900;1208;605;6460;17895;28015;43275;3481;471
08117  GOEPPINGEN;152573;100207;50580;1676;;;446;3434;19739;20192;56301;46933;3865;600;315;3521;9494;14698;20792;1368;245
08118  LUDWIGSBURG;307690;209616;94808;2725;;;954;7083;40693;40497;113714;92922;8652;727;281;5661;16793;27822;40513;3169;273
08119  REMS-MURR-KREIS;244729;165407;76787;2273;;;603;6590;34914;32888;89114;69176;8096;891;399;5671;14400;22611;30353;2698;355
08121  HEILBRONN,STADT;61790;41345;19647;749;;;194;1612;8948;8864;22860;17127;1724;124;57;1144;3611;5914;8206;627;50
08125  HEILBRONN;215109;138243;74605;1976;;;471;5661;30584;28658;76375;63774;6950;1052;388;4974;12771;20251;32525;3024;458
08126  HOHENLOHEKREIS;74971;42140;31949;807;;;143;2037;11289;10619;25975;22126;1939;325;193;2156;5293;8283;14538;1313;111
08127  SCHWAEBISCH-HALL;116804;71770;43378;1844;;;232;3122;18347;17479;43664;30461;1894;607;333;3936;8799;13474;15564;889;241
08128  MAIN-TAUBER-KREIS;83004;52477;29369;1082;;;251;2070;12768;12443;31944;21479;1249;361;194;2382;5822;9355;10807;597;130
08135  HEIDENHEIM;76525;50274;25207;1059;;;159;1627;9799;10480;30211;22167;1370;253;121;1585;4580;8257;9902;596;92
08136  OSTALBKREIS;187007;119379;65562;2145;;;417;3765;23351;24133;72219;56830;4187;760;397;4329;11671;20078;26810;1752;313
RB ZUSAMMEN;2351562;1523895;799989;23028;;;8430;55552;307823;305350;841092;716254;89231;8184;3841;51072;137988;224231;342872;34251;3195
RB KARLSRUHE ;;;;;;;;;;;;;;;;;;;;;
08211  BADEN-BADEN,STADT;32526;21051;11186;196;;;131;1023;4396;4393;10793;9957;1299;182;97;722;1785;2724;5196;561;78
08212  KARLSRUHE,STADT;134706;87985;44799;1901;;;509;4264;18730;17983;45565;42192;3654;566;270;2646;6897;11737;21127;1707;251
08215  KARLSRUHE;258307;176399;78899;2756;;;730;7785;37464;37586;95789;71025;4901;1195;600;6098;15219;23339;30876;1958;497
08216  RASTATT;140135;95104;43667;1239;;;312;4580;22166;20469;49843;35352;5601;699;422;3865;8967;12717;15661;1538;318
08221  HEIDELBERG,STADT;57885;37654;19550;634;;;196;2117;8196;7313;19259;17753;1770;285;124;1296;2899;4901;9193;941;115
08222  MANNHEIM,STADT;143320;96594;45025;1334;;;493;4905;20776;18201;46747;42733;5602;669;286;2478;6692;11101;21680;2264;229
08225  NECKAR-ODENWALD-KREIS;86554;55626;29906;1007;;;192;2085;12211;12184;33652;23938;1487;358;223;2278;5885;9455;11262;567;162
08226  RHEIN-NECKAR-KREIS;328089;220415;104279;2952;;;860;9633;44747;43473;117537;99167;8536;1442;782;6656;17055;27354;47756;3702;635
08231  PFORZHEIM,STADT;56561;38382;17481;580;;;181;1495;7658;8002;20605;16520;1530;158;73;1014;3171;5431;7128;557;60
08235  CALW;93921;59543;33260;1017;;;226;2090;11742;12764;34681;28107;3144;380;219;2359;6359;10064;13062;888;171
08236  ENZKREIS;120582;82555;36642;1313;;;268;3191;16489;17082;45540;33991;2441;455;220;2638;6996;11452;14181;842;174
08237  FREUDENSTADT;69488;42374;26381;623;;;191;1467;8464;9307;26696;20900;1790;290;154;1905;4783;8195;10523;632;118
RB ZUSAMMEN;1522074;1013682;491075;15552;;;4289;44635;213039;208757;546707;441635;41755;6679;3470;33955;86708;138470;207645;16157;2808
RB FREIBURG;;;;;;;;;;;;;;;;;;;;;
08311  FREIBURG I.BREISG.STADT;88611;55586;31731;1183;;;477;3314;14171;13085;29702;24076;2402;595;294;2425;5684;8695;12952;1200;303
08315  BREISGAU-HOCHSCHWARZWALD;145223;95139;48530;1316;;;496;5000;22546;22078;53591;36915;2237;985;516;4093;9621;15049;17673;879;500
08316  EMMENDINGEN;91736;61979;28722;951;;;263;3166;15725;14327;34311;21383;1152;620;290;2504;6123;9196;9725;476;293
08317  ORTENAUKREIS;249536;166674;80695;2037;;;449;8888;41529;38886;91506;60931;3854;1526;933;7627;16922;24344;28327;1587;647
08325  ROTTWEIL;85823;54082;30962;771;;;172;1893;10259;11580;33736;25369;1730;421;197;2140;5785;9786;12115;645;180
08326  SCHWARZWALD-BAAR-KREIS;120916;79869;39832;1075;;;349;2648;14418;15995;46687;36930;2384;627;285;2918;7523;11626;16232;876;234
08327  TUTTLINGEN;79504;49793;28969;650;;;179;1581;8375;10514;30305;25825;1919;349;217;1916;5221;8527;12125;752;158
08335  KONSTANZ;148130;106266;40072;1724;;;458;4187;21035;21149;56490;39776;2865;941;482;3678;8197;10936;15196;1004;405
08336  LOERRACH;127966;91170;35593;732;;;634;3975;18054;18229;47930;34957;2643;572;390;3079;6954;10173;13553;936;233
08337  WALDSHUT;98727;69362;28626;495;;;314;2440;12768;14492;37847;27736;1947;533;213;2291;5619;8274;11318;615;204
RB ZUSAMMEN;1236172;829920;393732;10934;;;3791;37092;178880;180335;462105;333898;23133;7169;3817;32671;77649;116606;149216;8970;3157
RB TUEBINGEN;;;;;;;;;;;;;;;;;;;;;
08415  REUTLINGEN;166367;106659;57723;1954;;;393;3695;21126;22024;62016;50802;4267;594;312;4002;10420;17524;23371;1642;276
08416  TUEBINGEN;115448;71979;41859;1646;;;295;2644;15275;16031;42730;34231;2875;476;246;2914;7704;12351;17220;1071;207
08417  ZOLLERNALBKREIS;117646;75401;40963;1216;;;263;2326;13873;15488;45107;36611;2587;494;232;2979;7325;12679;16578;860;213
08421  ULM,STADT;61967;37492;23732;762;;;181;1175;6400;7263;22288;21598;2379;146;75;1025;3244;6492;11678;1091;67
08425  ALB-DONAU-KREIS;115583;73167;41231;1186;;;156;2370;13868;15673;46736;32759;2455;450;197;2683;7727;14190;15143;992;191
08426  BIBERACH;116929;72801;42913;1091;;;282;2257;14662;16819;47530;31984;2063;496;276;3083;8414;14541;15359;944;202
08435  BODENSEEKREIS;126675;83315;41973;1147;;;416;3461;17914;17960;45660;35173;3888;848;464;3929;8377;11552;15572;1580;334
08436  RAVENSBURG;162730;101764;59361;1575;;;339;3761;22392;24165;62604;44247;2749;1046;565;5497;12360;18000;21062;1231;449
08437  SIGMARINGEN;78015;48248;28710;901;;;261;1668;10137;11167;30674;22086;1225;379;206;2266;5632;9273;10591;512;164
RB ZUSAMMEN;1061360;670826;378465;11478;;;2586;23357;135647;146590;405345;309491;24488;4929;2573;28378;71203;116602;146574;9923;2103
LAND INSGESAMT;6171168;4038323;2063261;60992;;;19096;160636;835389;841032;2255249;1801278;178607;26961;13701;146076;373548;595909;846307;69301;11263
BAYERN;;;;;;;;;;;;;;;;;;;;;
RB OBERBAYERN;;;;;;;;;;;;;;;;;;;;;
09161  INGOLSTADT,STADT;91937;53528;36927;780;;;886;1907;8988;8269;23196;33609;10993;3529;226;1935;4410;6302;17523;4933;1486
09162  MUENCHEN,STADT;691050;406490;276249;5017;;;4249;19801;68388;73814;200127;255819;50064;6632;1765;11504;31433;55002;146381;26454;2430
09163  ROSENHEIM,STADT;32686;20500;11851;344;;;84;727;3797;4298;11877;10457;985;102;88;927;2223;3098;4996;421;40
09171  ALTOETTING;64372;42552;21117;507;;;257;1350;7586;8785;25344;19136;1271;267;208;1616;4067;6225;8365;438;107
09172  BERCHTESGADENER LAND;59679;39253;19933;414;;;150;1263;6492;7531;23197;18755;1287;319;193;1522;3897;5623;8046;459;115
09173  BAD TOELZ-WOLFRATSHAUSEN;73924;44901;28220;718;;;182;1641;8460;10107;27450;23359;1480;454;258;2266;5329;7911;11472;710;181
09174  DACHAU;82324;53434;27895;921;;;211;1854;9539;11425;32068;24203;1881;396;212;1839;5180;8562;11192;647;167
09175  EBERSBERG;75640;47201;27659;666;;;219;1543;8126;9663;28488;24476;2021;379;186;1726;4713;8080;11791;913;159
09176  EICHSTAETT;75312;46053;28492;781;;;99;1834;10528;9864;28209;22353;1253;274;244;2630;5917;8090;10975;421;99
09177  ERDING;79504;49183;29375;771;;;295;1637;9097;10897;31242;24052;1539;227;214;2042;5456;9117;11712;617;112
09178  FREISING;98661;58955;38475;1058;;;309;2302;11816;13732;36180;30661;2267;588;331;2659;6887;11108;16019;1155;219
09179  FUERSTENFELDBRUCK;113820;74976;37583;1132;;;328;2822;13486;15257;43463;34487;2384;572;342;2603;6778;10944;15640;867;260
09180  GARMISCH-PARTENKIRCHEN;48361;31530;16277;494;;;159;1261;5820;6722;18029;14702;964;289;232;1611;3174;4320;6351;412;133
09181  LANDSBERG AM LECH;72903;44351;27519;950;;;234;1701;8544;9859;27369;22550;1476;477;207;2045;4919;7807;11545;713;198
09182 MIESBACH ;60440;36861;22969;542;;;167;1372;6363;7697;21748;20415;1500;390;177;1617;4114;6061;10081;687;150
09183 MUEHLDORF A.INN ;66437;42961;22691;589;;;254;1515;8726;9614;25966;18510;1223;311;204;1927;4598;6834;8464;477;134
09184 MUENCHEN ;228596;128683;97602;1430;;;1102;4428;18624;23016;67100;100418;10959;903;410;3650;10911;18009;58210;5875;349
09185 NEUBURG-SCHROBENHAUSEN ;58399;36509;21247;633;;;117;1509;8548;8548;22266;15537;1082;333;149;1851;4383;6493;7724;469;111
09186 PFAFFENHOFEN A.D.ILM ;74690;44804;28858;987;;;147;1778;9617;10520;28263;21738;1555;392;238;2362;5509;8607;11267;652;157
09187 ROSENHEIM ;154629;97407;55625;1342;;;462;3541;18004;21090;59419;46542;3115;976;504;4443;10981;16142;21747;1291;356
09188 STARNBERG ;81773;50260;30726;605;;;278;1993;8008;10038;28393;28477;2677;506;209;1828;4969;7790;14363;1269;197
09189 TRAUNSTEIN ;106052;67720;37209;949;;;296;2423;12472;14410;41134;31600;2069;429;406;3110;7416;10844;14248;783;183
09190 WEILHEIM-SCHONGAU ;80168;50863;28319;944;;;178;2068;10442;11742;30449;22502;1404;443;301;2569;5814;8272;10362;605;211
RB ZUSAMMEN ;2571357;1568975;972818;22574;;;10663;62270;281471;316898;880977;864358;105449;19188;7304;60282;153078;241241;448474;51268;7554
RB NIEDERBAYERN ;;;;;;;;;;;;;;;;;;;;;
09261 LANDSHUT,STADT ;33788;21428;11970;347;;;100;724;3859;4515;12682;10546;992;143;93;738;2083;3402;5092;466;60
09262 PASSAU,STADT ;25902;16662;8979;169;;;116;552;2940;3179;9028;9056;806;115;71;547;1447;2180;4296;351;64
09263 STRAUBING,STADT ;25354;16666;8446;200;;;58;573;3070;3337;9494;7817;712;109;39;501;1456;2277;3751;363;33
09271 DEGGENDORF ;71109;44357;25783;943;;;96;1316;8291;9490;28487;21591;1207;271;144;1626;4591;7903;10819;550;96
09272 FREYUNG-GRAFENAU ;47984;29615;17995;347;;;48;1094;6461;6330;19013;13894;736;152;98;1185;3416;5750;7119;328;60
09273 KELHEIM ;71948;42988;27839;1134;;;99;1447;8509;9749;28440;21498;1326;350;180;1817;5116;8728;11188;622;132
09274 LANDSHUT ;96775;58325;37121;1103;;;306;2140;12483;14075;37704;27338;1783;511;269;2885;7055;11359;14479;774;211
09275 PASSAU ;115601;76634;38037;780;;;215;2540;15653;15107;46408;32818;1837;442;241;2792;7346;11953;14747;730;149
09276 REGEN ;45974;28768;16703;405;;;109;852;5079;5597;18516;14786;686;172;93;1019;2881;5285;7012;318;58
09277 ROTTAL-INN ;75834;48038;26977;658;;;188;1710;10623;10721;29871;20493;1356;399;192;2148;5237;8093;10488;607;139
09278 STRAUBING-BOGEN ;62117;39086;22271;642;;;131;1338;7404;8648;25567;17434;916;254;170;1552;4205;7207;8575;429;84
09279 DINGOLFING-LANDAU ;59780;35933;23109;676;;;113;1371;7586;8464;22712;16597;2232;340;178;1634;4110;6877;9255;884;118
RB ZUSAMMEN ;732166;458500;265230;7404;;;1579;15657;91958;99212;287922;213868;14589;3258;1768;18444;48943;81014;106821;6422;1204
RB OBERPFALZ ;;;;;;;;;;;;;;;;;;;;;
09361 AMBERG,STADT ;23473;15622;7597;191;;;79;483;2718;2935;9079;7524;451;90;45;421;1263;2173;3433;206;40
09362 REGENSBURG,STADT ;71447;43970;26393;938;;;262;1479;7458;8470;25321;25341;2360;330;180;1528;3970;6645;12822;1082;127
09363 WEIDEN I.D.OPF.,STADT ;24780;16501;8040;234;;;46;491;2875;2970;8976;8587;569;82;51;457;1227;2024;3962;269;22
09371 AMBERG-SULZBACH ;65153;42355;22029;639;;;169;1319;8195;8519;26704;18662;883;263;148;1525;3902;7127;8769;387;107
09372 CHAM ;81214;52699;27484;1000;;;84;1630;10394;10748;33386;23079;1030;344;157;1898;5174;9080;10604;408;109
09373 NEUMARKT I.D.OPF. ;79722;49514;29274;832;;;173;1488;8741;10025;31601;25257;1450;383;175;1679;4858;8855;12882;630;130
09374 NEUSTADT A.D.WALDNAAB ;60549;39878;20056;599;;;90;1148;7319;7659;25122;17754;910;265;120;1393;3584;6453;7969;387;106
09375 REGENSBURG ;115820;73220;40726;1734;;;264;2056;11997;14824;46871;36605;2107;462;236;2560;7342;12431;17044;874;172
09376 SCHWANDORF ;91427;57209;32743;1459;;;139;1741;10463;11399;37253;28058;1384;403;200;1914;5496;10366;13928;623;146
09377 TIRSCHENREUTH ;46022;31572;14055;334;;;73;874;5202;5185;19276;14345;701;168;78;837;2386;4378;5987;314;46
RB ZUSAMMEN ;659607;422540;228397;7960;;;1379;12709;75362;82734;263589;205212;11845;2790;1390;14212;39202;69532;97400;5180;1005
RB OBERFRANKEN ;;;;;;;;;;;;;;;;;;;;;
09461 BAMBERG,STADT ;37185;23847;12860;526;;;90;1055;5369;5040;12651;11471;914;233;114;1087;2275;3167;5670;421;86
09462 BAYREUTH,STADT ;37098;24416;12230;425;;;125;853;4193;4421;13291;12770;1051;164;79;670;1864;3097;5945;480;56
09463 COBURG,STADT ;24237;15451;8485;297;;;64;498;2670;2633;8233;9015;770;98;40;392;1065;1770;4764;400;29
09464 HOF,STADT ;23507;16919;6360;204;;;59;425;2406;2493;8566;8678;685;82;36;372;1004;1583;3078;243;28
09471 BAMBERG ;93274;61722;30475;1116;;;163;2179;13631;13162;36338;25514;1280;457;226;2575;6057;9435;11434;519;171
09472 BAYREUTH ;66929;44452;21762;716;;;120;1403;8357;8242;26989;20099;1069;309;151;1569;3902;6874;8690;430;103
09473 COBURG ;54463;38844;14969;648;;;89;1146;7128;6589;21639;16288;949;233;87;1121;2743;4344;6245;310;79
09474 FORCHHEIM ;72620;47941;23861;800;;;169;1714;9798;10011;28798;20077;1202;373;200;1885;4609;7408;9029;551;131
09475 HOF ;59794;41215;17865;732;;;82;1069;6099;5894;23119;21644;1262;259;100;1048;2702;5031;8374;485;89
09476 KRONACH ;42914;29168;13343;410;;;58;843;5213;4994;17325;13258;773;192;86;971;2392;3992;5540;278;57
09477 KULMBACH ;46679;30923;15141;612;;;116;1068;5931;5763;17874;14665;751;228;97;1096;2639;4397;6469;319;93
09478 LICHTENFELS ;41457;28564;12508;365;;;47;1007;5879;5389;16780;11254;669;160;83;1048;2404;3835;4791;272;49
09479 WUNSIEDEL I.FICHTELGEB. ;44480;31320;12719;426;;;96;786;4596;4883;17073;15708;837;176;67;727;2041;3468;6017;305;55
RB ZUSAMMEN ;644637;434782;202578;7277;;;1278;14046;81270;79514;248676;200441;12212;2964;1366;14561;35697;58401;86046;5013;1026
RB MITTELFRANKEN ;;;;;;;;;;;;;;;;;;;;;
09561 ANSBACH,STADT ;23169;14740;8086;290;;;65;506;2957;3226;8591;6996;586;84;45;569;1470;2208;3421;322;29
09562 ERLANGEN,STADT ;52231;33717;17935;468;;;194;1431;6675;6802;18839;16209;1359;188;166;1245;3150;4812;7741;629;83
09563 FUERTH,STADT ;58162;39708;17771;600;;;211;1378;7472;7657;21682;17734;1433;212;145;1269;3223;4903;7488;575;90
09564 NUERNBERG,STADT ;232857;151780;78760;1768;;;804;6123;29870;30973;81449;74315;6401;994;631;5314;13396;19926;35760;3001;418
09565 SCHWABACH,STADT ;23940;16314;7366;167;;;104;777;3052;3139;8546;7234;502;253;82;512;1353;1960;3138;201;76
09571 ANSBACH ;113626;72473;39802;1295;;;155;2887;17093;16955;44006;29524;1510;641;329;3477;8125;12679;14188;658;230
09572 ERLANGEN-HOECHSTADT ;84729;54428;29384;785;;;224;2047;10571;11151;31943;25405;2054;406;227;1998;5293;8345;12164;1088;157
09573 FUERTH ;71007;49240;21065;599;;;184;1737;8834;9140;27799;21162;1267;343;172;1473;4014;6240;8458;501;129
09574 NUERNBERGER LAND ;101427;67296;33096;872;;;266;2466;11968;12996;38409;31781;2145;552;290;2189;5711;9422;14230;913;222
09575 NEUSTADT/AISCH-WINDSHEIM ;60807;37301;22731;659;;;150;1605;9146;9248;23595;15477;853;327;189;2028;4690;7393;7875;393;108
09576 ROTH ;79460;50603;28026;663;;;211;1974;10282;10789;29908;23995;1309;430;230;2141;5317;8221;11273;602;158
09577 WEISSENBURG-GUNZENHAUSEN ;57073;36733;19713;653;;;99;1564;8527;8441;21767;15116;852;317;214;1755;4076;5938;7156;380;124
RB ZUSAMMEN ;958488;624333;323735;8819;;;2667;24495;126447;130517;356534;284948;20271;4747;2720;23970;59818;92047;132892;9263;1824
RB UNTERFRANKEN ;;;;;;;;;;;;;;;;;;;;;
09661 ASCHAFFENBURG,STADT ;41069;26113;14391;574;;;124;1056;5583;5271;13451;13581;1485;173;79;859;2108;3424;7126;685;63
09662 SCHWEINFURT,STADT ;26573;16944;9185;397;;;113;695;3965;3811;9241;7776;676;101;72;655;1628;2254;4125;355;44
09663 WUERZBURG,STADT ;61097;38902;21085;1115;;;204;1693;8280;8270;20930;18791;1730;358;192;1443;3624;5338;9479;782;139
09671 ASCHAFFENBURG ;109882;72593;35953;1397;;;229;2770;15036;15137;41360;31824;2193;476;225;2350;6222;10835;15072;1008;156
09672 BAD KISSINGEN;65307;41512;22757;1115;;;117;1602;10055;9678;25937;16271;874;326;198;1928;4611;7524;7896;379;158
09673 RHOEN-GRABFELD;50680;30832;18890;782;;;237;1139;7253;7631;20409;12894;644;359;120;1544;3679;6159;6957;289;97
09674 HASSBERGE ;54364;33135;20342;1015;;;77;1201;8460;8078;21425;13858;608;293;130;1776;4101;6512;7372;271;121
09675 KITZINGEN ;56194;36350;18913;884;;;185;1606;9797;8578;20836;13686;877;307;160;1783;3910;5740;6796;331;138
09676 MILTENBERG ;78588;51001;26546;920;;;218;2040;11869;11672;30019;20683;1177;356;195;2041;5151;8385;10054;498;136
09677 MAIN-SPESSART ;80082;50814;27943;1348;;;170;1925;11859;11708;30536;21604;1316;359;214;2227;5470;8856;10423;559;133
09678 SCHWEINFURT ;72738;48748;22674;1355;;;167;1861;11438;11043;28889;17627;906;359;231;2110;4822;7212;7766;313;155
09679 WUERZBURG ;98856;64803;32329;1667;;;288;2317;14009;14121;38041;27158;1647;481;281;2674;6268;9755;12483;555;198
RB ZUSAMMEN ;795430;511747;271008;12569;;;2129;19905;117604;114998;301074;215753;14133;3948;2097;21390;51594;81994;105549;6025;1538
RB SCHWABEN ;;;;;;;;;;;;;;;;;;;;;
09761 AUGSBURG,STADT ;127262;85033;40002;2290;;;622;3085;15117;16669;45255;41113;4088;542;240;2282;6610;10616;18077;1781;240
09762 KAUFBEUREN,STADT ;22175;14762;7090;311;;;74;480;2523;2955;8592;6793;494;85;59;516;1326;2153;2762;190;41
