Stadt;Insgesamt;Benzin;Diesel;Gas (einschl. bivalent);Hybrid;Elektro;Sonstige;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;Sonstige2;Euro 1 2;Euro 2 2;Euro 3 2;Euro 4 2;Euro 5 2;Euro 6 2;Sonstige3
BADEN-WUERTTEMBERG;;;;;;;;;;;;;;;;;;;;;
RB STUTTGART;;;;;;;;;;;;;;;;;;;;;
08111  STUTTGART,STADT;281351;182981;95234;2265;;;1241;9685;45078;38462;99204;82188;1915;657;323;6133;16773;27933;42292;1250;241
08115  BOEBLINGEN;226401;148009;76176;1660;;;771;6508;33501;32193;85388;63965;1817;672;455;5965;15482;24077;28772;906;267
08116  ESSLINGEN;298867;203710;92674;2223;;;556;10865;51274;46786;117771;65828;727;1313;797;8661;21567;30776;29564;366;543
08117  GOEPPINGEN;147807;100212;46154;1469;;;259;5202;26774;24018;59531;29938;277;707;424;4788;11405;15822;13086;166;295
08118  LUDWIGSBURG;297577;209559;85312;2519;;;545;10644;53386;47462;120134;61527;524;804;451;7483;20012;29834;26548;315;334
08119  REMS-MURR-KREIS;237500;164851;70492;2096;;;353;9569;45703;37793;92765;47353;584;989;519;7376;16826;24123;20665;290;403
08121  HEILBRONN,STADT;60698;42161;17849;708;;;107;2509;12132;10107;23344;11849;119;135;92;1547;4246;6175;5614;72;54
08125  HEILBRONN;208773;139013;67841;1873;;;234;8348;39299;32810;78186;46930;291;1121;529;6554;15114;20754;23947;227;500
08126  HOHENLOHEKREIS;72287;42323;29168;767;;;72;3013;14559;12087;25664;15966;82;364;262;2847;6145;8397;11271;60;129
08127  SCHWAEBISCH-HALL;112668;72166;39017;1722;;;132;4848;23685;19786;43928;18485;117;671;455;5051;10163;13729;9130;83;260
08128  MAIN-TAUBER-KREIS;80749;53204;26529;1057;;;131;3093;16929;14149;32055;13474;59;396;276;3106;6726;9589;6577;44;139
08135  HEIDENHEIM;74344;50630;22770;1030;;;77;2485;13106;12303;31341;14156;81;288;184;2095;5469;8469;6291;58;115
08136  OSTALBKREIS;181845;120194;59756;2173;;;198;5723;31614;28604;76249;36628;288;847;544;5990;14095;21424;16933;199;360
RB ZUSAMMEN;2280867;1529013;728972;21562;;;4676;82492;407040;356560;885560;508287;6881;8964;5311;67596;164023;241102;240690;4036;3640
RB KARLSRUHE ;;;;;;;;;;;;;;;;;;;;;
08211  BADEN-BADEN,STADT;31608;21284;10080;189;;;85;1491;5573;5117;11554;7090;110;226;108;927;2154;3028;3675;66;96
08212  KARLSRUHE,STADT;133429;89095;42688;1821;;;309;6101;24299;21066;49088;30326;241;641;371;3597;8523;13405;16177;146;287
08215  KARLSRUHE;251580;176716;72375;2461;;;410;11532;48692;43369;98755;45104;344;1407;847;8022;17973;24573;19829;235;565
08216  RASTATT;136462;95437;39948;1102;;;150;6755;28218;23072;50444;25104;695;866;556;4926;10218;13080;10421;196;355
08221  HEIDELBERG,STADT;56236;38105;17600;544;;;123;2891;10274;8635;20487;12405;98;316;171;1652;3532;5457;6514;73;118
08222  MANNHEIM,STADT;141368;98545;41473;1176;;;275;7198;26517;20607;49076;32260;511;814;412;3369;8000;12013;16803;273;272
08225  NECKAR-ODENWALD-KREIS;84350;56277;27141;1010;;;94;3157;16197;14145;35115;14692;79;409;305;3098;6980;9881;6578;48;178
08226  RHEIN-NECKAR-KREIS;317371;220641;93785;2858;;;487;14151;57790;51005;124306;64635;491;1616;1071;8774;20793;30499;31269;317;692
08231  PFORZHEIM,STADT;55005;38491;15956;523;;;90;2232;10336;9293;21151;11173;83;187;101;1450;3839;5642;4760;48;69
08235  CALW;90728;59389;30443;833;;;144;3118;15533;15266;36422;18810;253;411;275;3049;7776;10712;8225;91;191
08236  ENZKREIS;116839;82234;33446;1179;;;146;4551;21815;19964;47301;21237;148;537;289;3520;8349;12060;8779;100;208
08237  FREUDENSTADT;67584;42619;24313;627;;;92;2254;11672;11341;28025;13372;102;307;234;2608;5906;8717;6599;53;125
RB ZUSAMMEN;1482560;1018833;449248;14323;;;2405;65431;276916;242880;571724;296208;3155;7737;4740;44992;104043;149067;139629;1646;3156
RB FREIBURG;;;;;;;;;;;;;;;;;;;;;
08311  FREIBURG I.BREISG.STADT;87093;56580;29314;1168;;;411;4681;17924;14610;30549;16946;519;674;400;3026;6544;9374;9171;276;350
08315  BREISGAU-HOCHSCHWARZWALD;140239;95162;43836;1231;;;263;7317;28902;25157;53735;22075;158;1142;698;5255;11312;15407;10293;113;548
08316  EMMENDINGEN;88497;61798;25847;872;;;145;4705;20090;15976;33680;12283;82;731;394;3163;7012;9184;5587;60;322
08317  ORTENAUKREIS;242025;167232;72916;1911;;;279;13174;52672;43400;91140;37295;251;1804;1227;9408;19210;24731;17129;169;725
08325  ROTTWEIL;83310;54167;28495;679;;;110;2822;14241;13960;35343;15527;117;472;282;3020;7028;10438;7318;76;205
08326  SCHWARZWALD-BAAR-KREIS;117787;80259;36497;1026;;;203;3962;19845;19247;49758;22994;140;677;370;3964;9098;12635;9933;101;243
08327  TUTTLINGEN;76641;49633;26412;587;;;85;2306;11477;12960;32793;16027;109;374;266;2584;6466;9397;7384;71;178
08335  KONSTANZ;143427;106098;35843;1549;;;289;6374;27794;24016;57791;24670;189;1015;614;4599;9277;11291;9297;131;435
08336  LOERRACH;123959;91505;31534;688;;;394;5955;23803;20953;49157;21766;175;634;511;3863;7891;10430;8189;107;265
08337  WALDSHUT;95810;69729;25498;479;;;178;3882;17538;17041;39053;16666;129;601;279;2964;6669;8567;6602;91;223
RB ZUSAMMEN;1198788;832163;356192;10190;;;2357;55178;234286;207320;472999;206249;1869;8124;5041;41846;90507;121454;90903;1195;3494
RB TUEBINGEN;;;;;;;;;;;;;;;;;;;;;
08415  REUTLINGEN;161117;106750;52623;1904;;;201;5687;29047;26509;65590;31469;275;697;475;5575;12766;18744;14369;174;313
08416  TUEBINGEN;111679;72139;38177;1503;;;167;4018;20808;18918;44184;21910;199;554;326;4054;9339;13032;10928;111;235
08417  ZOLLERNALBKREIS;114784;75648;38019;1129;;;152;3593;18954;19004;48654;22814;137;562;341;4073;9236;13742;10201;89;235
08421  ULM,STADT;60271;37919;21703;725;;;108;1735;8645;8970;24215;15664;216;179;106;1431;4233;7316;8336;132;88
08425  ALB-DONAU-KREIS;111993;73120;37847;1078;;;90;3495;19081;18843;48602;20117;200;508;281;3765;9502;14895;8962;121;211
08426  BIBERACH;112605;72638;38915;1052;;;156;3446;19889;20135;48397;19076;144;562;375;4234;10107;14907;8870;108;219
08435  BODENSEEKREIS;122118;83228;37773;1038;;;228;5158;23950;20520;46506;23160;323;887;599;4973;9607;11802;10041;203;378
08436  RAVENSBURG;157346;102231;53769;1466;;;175;5710;30287;27826;63641;26934;200;1099;728;7085;14153;18493;12466;138;482
08437  SIGMARINGEN;75588;48479;26216;853;;;137;2652;13663;13161;31734;13274;64;427;277;3076;6668;9743;6159;43;179
RB ZUSAMMEN;1027501;672152;345042;10748;;;1414;35494;184324;173886;421523;194418;1758;5475;3508;38266;85611;122674;90332;1119;2340
LAND INSGESAMT;5989716;4052161;1879454;56823;;;10852;238595;1102566;980646;2351806;1205162;13663;30300;18600;192700;444184;634297;561554;7996;12630
BAYERN;;;BAYERN;;;;;;;;;;;BAYERN;;;;;;;
RB OBERBAYERN;;;;;;;;;;;;;;;;;;;;;
09161  INGOLSTADT,STADT;87215;52132;34114;624;;;449;2656;11736;9658;24627;33997;299;2847;280;2524;5114;6673;17935;260;1218
09162  MUENCHEN,STADT;674394;414201;254025;4887;;;2263;26717;90768;88775;222913;218484;2635;8297;2146;15101;38934;64743;126586;1830;3352
09163  ROSENHEIM,STADT;31630;20564;10792;298;;;54;1065;5053;5165;12757;7018;48;112;123;1179;2667;3320;3358;37;46
09171  ALTOETTING;62740;42949;19197;522;;;128;2029;10452;10392;27003;11946;67;272;236;2091;4758;6690;5173;45;109
09172  BERCHTESGADENER LAND;58076;39251;18437;382;;;71;1868;9026;9139;25059;11828;71;328;268;2005;4689;6221;5008;46;117
09173  BAD TOELZ-WOLFRATSHAUSEN;72020;45308;25993;720;;;95;2453;11418;12287;29326;14936;113;491;357;2933;6384;8512;7406;94;202
09174  DACHAU;78584;52714;24997;886;;;102;2603;12758;13491;33440;14940;113;418;283;2448;6148;9018;6742;75;187
09175  EBERSBERG;72907;46822;25418;605;;;140;2286;10915;11817;30688;15848;123;399;258;2310;5845;9047;7595;91;186
09176  EICHSTAETT;72269;45788;25794;731;;;41;2656;13765;11360;29496;13748;40;306;319;3377;6819;8523;6486;29;112
09177  ERDING;76352;49195;26348;785;;;139;2428;12365;13168;32792;14500;106;249;286;2684;6541;9631;6934;65;108
09178  FREISING;95361;59076;35217;1041;;;156;3443;15677;16179;38421;19872;175;602;447;3524;8218;11962;10550;146;274
09179  FUERSTENFELDBRUCK;110741;75510;34112;1085;;;215;4129;18001;18402;46344;21881;105;648;433;3318;8185;11881;9768;67;303
09180  GARMISCH-PARTENKIRCHEN;47292;31936;14875;495;;;81;1857;7898;8145;19298;9153;69;342;315;2016;3834;4631;3805;47;170
09181  LANDSBERG AM LECH;69828;44167;24753;912;;;118;2464;11447;11645;28721;14150;81;495;272;2654;5858;8381;7247;61;194
09182 MIESBACH ;58301;36732;20976;587;;;114;1966;8439;9487;23932;13151;92;407;251;2109;5047;6727;6517;76;167
09183 MUEHLDORF A.INN ;63934;42976;20262;588;;;155;2294;11678;11127;26701;11225;64;341;277;2429;5255;7094;4948;48;152
09184 MUENCHEN ;221388;129842;89862;1330;;;542;6135;25147;29141;76446;80097;740;960;534;4918;14108;21995;47118;600;399
09185 NEUBURG-SCHROBENHAUSEN ;55857;36421;18849;612;;;65;2192;11160;9787;22545;9262;84;350;199;2287;4954;6735;4432;69;124
09186 PFAFFENHOFEN A.D.ILM ;71380;44649;25745;990;;;76;2595;12605;12124;29474;13372;76;406;305;2953;6417;9171;6636;50;154
09187 ROSENHEIM ;148598;96410;50814;1263;;;305;5101;24180;25065;62245;29030;182;1048;627;5755;13091;17308;13354;128;396
09188 STARNBERG ;79926;50825;28415;615;;;160;2708;10746;12418;31963;19902;178;495;248;2472;6141;9001;10089;157;206
09189 TRAUNSTEIN ;102431;67526;33970;891;;;147;3691;16730;17102;43269;19716;96;435;513;3954;8717;11606;8690;72;190
09190 WEILHEIM-SCHONGAU ;77472;50834;25789;889;;;90;2959;14166;13824;31307;13559;89;474;376;3300;6825;8660;6136;69;218
RB ZUSAMMEN ;2488696;1575828;888754;21738;;;5706;88295;376130;379698;948767;631615;5646;20722;9353;78341;184549;267530;332513;4162;8584
RB NIEDERBAYERN ;;;;;;;;;;;;;;;;;;;;;
09261 LANDSHUT,STADT ;32684;21397;10924;368;;;55;1106;5260;5353;13548;6931;55;146;122;996;2528;3731;3409;41;59
09262 PASSAU,STADT ;25459;16913;8340;172;;;66;807;4012;3809;10206;6263;32;124;90;737;1788;2550;3075;23;58
09263 STRAUBING,STADT ;24520;16668;7619;214;;;29;830;4093;3927;10072;5190;71;107;70;661;1748;2506;2533;43;36
09271 DEGGENDORF ;69330;45078;23243;1030;;;48;2094;11298;11258;30312;13580;60;314;216;2110;5442;8699;6567;47;117
09272 FREYUNG-GRAFENAU ;46564;29868;16318;369;;;34;1674;8659;7500;19886;8363;24;189;127;1583;4084;6210;4174;22;82
09273 KELHEIM ;69284;43241;24911;1189;;;49;2117;11522;11457;29875;13334;73;369;241;2370;6037;9198;6815;58;139
09274 LANDSHUT ;93325;58952;33129;1155;;;152;3249;16725;16310;38967;16756;109;541;364;3690;8204;11844;8656;76;213
09275 PASSAU ;111954;76632;34443;796;;;135;3955;21007;17732;48342;19559;94;532;307;3691;8719;12837;8562;73;181
09276 REGEN ;44933;29340;15150;411;;;40;1371;7085;6952;20141;8930;30;190;129;1374;3558;5855;4114;23;66
09277 ROTTAL-INN ;73519;48140;24653;642;;;104;2590;13935;12189;30906;12858;63;417;237;2785;5903;8709;6769;40;148
09278 STRAUBING-BOGEN ;60080;39660;19731;645;;;58;2036;10238;10094;26660;10224;46;296;234;2056;4845;7560;4843;43;101
09279 DINGOLFING-LANDAU ;56727;35978;20018;725;;;52;2112;9986;9746;22988;11029;49;384;243;1994;4738;6961;5852;34;145
RB ZUSAMMEN ;708379;461867;238479;7716;;;822;23941;123820;116327;301903;133017;706;3609;2380;24047;57594;86660;65369;523;1345
RB OBERPFALZ ;;;;;;;;;;;;;;;;;;;;;
09361 AMBERG,STADT ;23047;15939;6863;213;;;53;700;3777;3592;9838;4853;18;95;62;556;1497;2406;2263;15;47
09362 REGENSBURG,STADT ;70842;44329;25465;997;;;164;2147;10235;10233;27904;19187;118;380;235;2001;4826;7662;10464;81;152
09363 WEIDEN I.D.OPF.,STADT ;24230;16640;7359;256;;;30;713;3853;3594;9616;6105;43;82;55;600;1510;2314;2788;31;25
09371 AMBERG-SULZBACH ;63641;43105;19834;649;;;94;2070;11413;10214;27815;11217;48;299;224;2001;4675;7606;5116;40;115
09372 CHAM ;79031;53497;24519;1027;;;46;2465;14283;12791;34962;13601;33;384;211;2509;6089;9537;5972;22;131
09373 NEUMARKT I.D.OPF. ;76977;49914;26204;836;;;89;2270;12167;12019;33696;15553;89;421;215;2298;5751;9817;7823;68;150
09374 NEUSTADT A.D.WALDNAAB ;59094;40676;17854;586;;;50;1730;10266;9200;26486;10719;42;280;166;1788;4244;6884;4587;32;108
09375 REGENSBURG ;112591;73773;36926;1882;;;130;3140;16690;18302;50524;22565;85;499;339;3297;8952;13461;10551;68;187
09376 SCHWANDORF ;89085;58439;29115;1604;;;74;2690;14249;13886;39497;17421;53;460;254;2517;6535;11098;8428;43;166
09377 TIRSCHENREUTH ;45111;32295;12469;329;;;31;1389;7200;6373;20837;8844;32;180;109;1126;2852;4771;3496;25;55
RB ZUSAMMEN ;643649;428607;206608;8379;;;761;19314;104133;100204;281175;130065;561;3080;1870;18693;46931;75556;61488;425;1136
RB OBERFRANKEN ;;;;;;;;;;;;;;;;;;;;;
09461 BAMBERG,STADT ;36465;24205;11828;509;;;54;1516;6897;5730;13586;7965;76;263;156;1356;2615;3651;3870;42;96
09462 BAYREUTH,STADT ;36077;24576;11056;460;;;86;1292;5822;5300;14279;8798;55;194;101;937;2259;3523;4096;38;59
09463 COBURG,STADT ;23397;15591;7540;293;;;33;712;3515;3180;9096;6435;53;107;52;517;1297;2090;3492;38;27
09464 HOF,STADT ;23208;16981;6012;213;;;42;606;3229;3048;9990;6037;53;92;56;485;1269;1916;2207;33;32
09471 BAMBERG ;90607;62407;27213;1111;;;84;3388;18176;15088;37049;15691;60;513;305;3250;6977;9727;6656;47;180
09472 BAYREUTH ;65519;45188;19616;766;;;63;2097;11348;9928;28767;12539;41;340;182;2017;4554;7443;5217;28;119
09473 COBURG ;53145;39069;13438;668;;;53;1771;9474;7862;23049;10232;52;250;120;1403;3204;4757;3805;30;77
09474 FORCHHEIM ;70721;48424;21502;846;;;100;2611;13116;11743;29796;12371;53;416;251;2417;5382;7726;5469;44;150
09475 HOF ;59254;41971;16588;754;;;39;1635;8194;7486;26820;14328;63;292;120;1385;3435;5916;5553;38;103
09476 KRONACH ;42412;29727;12291;423;;;29;1384;6975;6112;19092;8255;55;225;133;1236;2948;4495;3338;38;69
09477 KULMBACH ;45860;31407;13877;605;;;72;1650;7905;6873;19172;9559;48;260;142;1392;3128;4873;4170;37;97
09478 LICHTENFELS ;40595;29002;11223;369;;;28;1451;7735;6261;17499;7124;48;182;119;1285;2733;4058;2896;37;62
09479 WUNSIEDEL I.FICHTELGEB. ;44355;31986;11942;466;;;49;1141;6180;6117;19750;10499;58;200;87;926;2569;4164;4059;43;59
RB ZUSAMMEN ;631615;440534;184126;7483;;;732;21254;108566;94728;267945;129833;715;3334;1824;18606;42370;64339;54828;493;1130
RB MITTELFRANKEN ;;;;;;;;;;;;;;;;;;;;;
09561 ANSBACH,STADT ;22442;14872;7276;272;;;31;737;4015;3674;8841;4841;30;87;54;733;1691;2278;2449;16;30
09562 ERLANGEN,STADT ;51268;34308;16477;470;;;95;2068;8816;8165;20105;11117;75;206;204;1561;3763;5209;5457;62;100
09563 FUERTH,STADT ;56230;39488;16234;524;;;98;2028;10037;8769;22846;11694;59;246;191;1615;3735;5292;5176;31;106
09564 NUERNBERG,STADT ;228167;154140;71993;1822;;;467;8991;39521;35929;87658;51999;355;1105;793;6581;15527;22143;25922;250;449
09565 SCHWABACH,STADT ;23112;16339;6569;171;;;46;1081;4024;3685;8998;4561;27;278;101;658;1588;2134;1939;19;73
09571 ANSBACH ;110441;73385;35760;1312;;;78;4373;22604;19541;44512;17667;86;715;436;4495;9312;12999;8073;64;265
09572 ERLANGEN-HOECHSTADT ;82701;55101;26754;808;;;126;3018;14462;13292;33807;16423;103;477;299;2585;6248;9049;8206;77;169
09573 FUERTH ;69307;49457;19285;546;;;92;2558;11847;11044;29593;13117;91;413;243;1920;4773;6789;5243;70;159
09574 NUERNBERGER LAND ;98904;67668;30310;874;;;148;3565;16104;15700;41581;20180;120;603;359;2816;6918;10537;9203;87;243
09575 NEUSTADT/AISCH-WINDSHEIM ;59345;38025;20610;664;;;79;2463;12038;10693;24134;9062;61;360;247;2603;5426;7684;4415;45;139
09576 ROTH ;77241;50934;25601;647;;;103;3046;13646;12680;31764;14826;72;486;312;2757;6241;9059;6913;53;172
09577 WEISSENBURG-GUNZENHAUSEN ;55290;37200;17544;604;;;49;2333;11362;9602;22109;9035;52;340;265;2265;4624;6038;4108;36;132
RB ZUSAMMEN ;934448;630917;294413;8714;;;1412;36261;168476;152774;375948;184522;1131;5316;3504;30589;69846;99211;87104;810;2037
RB UNTERFRANKEN ;;;;;;;;;;;;;;;;;;;;;
09661 ASCHAFFENBURG,STADT ;40511;26380;13614;506;;;121;1532;7278;6143;14250;10533;132;202;114;1101;2518;3903;5776;77;82
09662 SCHWEINFURT,STADT ;26304;17401;8513;397;;;55;1022;5282;4401;9592;5540;46;127;98;843;1900;2427;3097;29;62
09663 WUERZBURG,STADT ;59355;39279;19082;1071;;;113;2476;10862;9549;22069;12893;101;423;243;1870;4228;5883;6539;67;167
09671 ASCHAFFENBURG ;107603;73824;32511;1399;;;140;4201;19905;17834;43497;20501;127;538;291;3092;7382;11810;9576;102;165
09672 BAD KISSINGEN;63958;42531;20390;1171;;;61;2427;13583;11269;26233;9504;49;365;241;2486;5362;7744;4264;39;174
09673 RHOEN-GRABFELD;49604;31949;16840;810;;;66;1749;9824;8962;20692;7686;46;288;160;2038;4233;6333;3891;34;101
09674 HASSBERGE ;53190;34025;18340;978;;;36;1993;11206;9225;21718;8303;33;302;187;2295;4678;6774;4198;25;117
09675 KITZINGEN ;54592;36719;17054;858;;;92;2422;12598;9571;20612;8510;46;372;229;2241;4380;5794;4145;33;177
09676 MILTENBERG ;76911;52153;23850;884;;;125;3124;15748;13336;30734;12767;59;445;254;2678;5894;8719;6027;40;154
09677 MAIN-SPESSART ;78555;51698;25545;1416;;;81;2924;15922;13330;31261;13902;64;416;268;2910;6228;9277;6590;43;155
09678 SCHWEINFURT ;70329;49097;19929;1392;;;108;2816;15213;12369;28598;10347;59;372;283;2703;5302;7066;4304;43;155
09679 WUERZBURG ;96730;65708;29400;1708;;;148;3555;18836;16296;39114;17258;78;584;373;3510;7186;10197;7722;52;250
RB ZUSAMMEN ;777642;520764;245068;12590;;;1146;30241;156257;132285;308370;137744;840;4434;2741;27767;59291;85927;66129;584;1759
RB SCHWABEN ;;;;;;;;;;;;;;;;;;;;;
09761 AUGSBURG,STADT ;122527;84727;35892;2226;;;376;4590;20384;19302;47681;28355;277;622;344;2892;7715;11270;13056;180;276
09762 KAUFBEUREN,STADT ;21605;14728;6606;294;;;39;719;3515;3549;9209;4237;35;91;78;706;1633;2349;1725;22;40
09763 KEMPTEN(ALLGAEU),STADT ;34834;22641;11740;398;;;112;929;5380;5447;13785;8714;55;213;99;1059;2622;3669;4113;40;95
09764 MEMMINGEN,STADT ;23462;15453;7762;259;;;30;756;3848;3907;9439;5146;35;81;76;695;1846;2601;2446;25;32
