;Insgesamt;Benzin;Diesel;Gas (einschl. bivalent);Hybrid;Elektro;Sonstige;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;Sonstige;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;Sonstige
09563 FUERTH,STADT ;60.437;40.399;19.248;442;277;61;10;985;5.576;6.318;19.945;18.364;8.398;230;105;1.017;2.681;4.383;7.558;3.341;84
09564 NUERNBERG,STADT ;238.792;151.658;84.310;1.458;1.092;237;37;4.392;22.345;25.418;73.761;71.499;37.370;1.041;507;4.105;10.965;17.507;32.543;17.990;399
09565 SCHWABACH,STADT ;24.933;16.651;7.956;133;159;29;5;614;2.282;2.548;7.936;7.530;3.344;237;74;411;1.088;1.720;3.162;1.399;57
09571 ANSBACH ;117.943;72.832;43.668;1.113;230;74;26;2.094;12.820;14.171;41.481;34.443;11.175;608;262;2.731;6.774;11.678;16.941;4.952;202
09572 ERLANGEN-HOECHSTADT ;87.433;54.793;31.582;629;295;105;29;1.481;7.791;8.963;28.796;27.050;11.701;437;193;1.508;4.269;7.198;12.436;5.714;157
09573 FUERTH ;73.570;50.128;22.663;468;244;57;10;1.301;6.521;7.405;24.854;23.123;9.187;330;135;1.113;3.257;5.299;9.304;3.355;116
09574 NUERNBERGER LAND ;105.372;68.269;35.937;684;369;102;11;1.830;9.083;10.398;34.089;33.726;14.415;584;236;1.727;4.598;8.044;15.046;5.957;212
09575 NEUSTADT/AISCH-WINDSHEIM ;63.341;37.818;24.616;599;216;77;15;1.189;7.018;7.834;22.158;18.156;6.008;363;144;1.610;3.933;6.665;9.365;2.734;97
09576 ROTH ;82.368;51.217;30.261;535;283;58;14;1.458;7.819;8.671;27.161;26.063;9.867;417;197;1.638;4.271;7.113;12.376;4.418;157
09577 WEISSENBURG-GUNZENHAUSEN ;59.215;36.833;21.674;512;123;62;11;1.157;6.407;7.009;20.577;17.252;5.933;336;176;1.366;3.423;5.538;8.415;2.563;122
RB ZUSAMMEN ;991.404;629.509;349.924;7.209;3.632;949;181;17.873;94.999;106.885;325.899;301.056;128.276;4.863;2.193;18.702;48.990;81.207;138.336;57.586;1.698
RB UNTERFRANKEN ;;;;;;;;;;;;;;;;;;;;;
09661 ASCHAFFENBURG,STADT ;43.242;26.805;15.854;400;130;45;8;773;4.168;4.443;12.464;11.746;8.940;173;61;631;1.724;2.974;5.531;4.826;61
09662 SCHWEINFURT,STADT ;27.208;16.861;9.836;308;153;45;5;490;2.860;3.167;8.687;7.591;3.972;112;55;474;1.320;2.024;3.761;2.124;35
09663 WUERZBURG,STADT ;62.416;38.843;22.418;814;262;67;12;1.276;6.080;6.681;19.189;18.410;9.319;348;148;1.107;2.909;4.638;8.867;4.529;131
09671 ASCHAFFENBURG ;112.625;72.678;38.569;978;296;85;19;1.965;11.233;12.213;37.590;34.169;13.742;466;171;1.815;4.946;9.304;16.024;6.064;137
09672 BAD KISSINGEN;67.243;41.160;25.079;787;121;81;15;1.145;7.304;7.869;24.366;19.395;6.188;358;156;1.453;3.810;6.729;9.922;2.787;154
09673 RHOEN-GRABFELD;52.032;30.272;20.834;651;152;108;15;798;5.270;6.161;19.104;15.250;4.748;302;94;1.174;2.990;5.605;8.534;2.304;88
09674 HASSBERGE ;55.798;32.537;22.370;753;83;43;12;868;6.252;6.723;20.039;16.211;4.941;279;109;1.429;3.426;5.942;8.879;2.425;99
09675 KITZINGEN ;58.120;36.469;20.701;644;240;50;16;1.157;7.348;7.301;20.197;15.597;5.598;310;132;1.380;3.405;5.372;7.676;2.536;128
09676 MILTENBERG ;81.060;50.976;28.935;750;343;45;11;1.387;8.822;9.757;27.953;23.386;8.603;298;144;1.493;4.324;7.554;11.450;3.783;106
09677 MAIN-SPESSART ;82.150;50.683;30.137;1.008;247;53;22;1.365;8.685;9.624;28.385;24.029;8.845;327;179;1.707;4.484;7.871;11.794;3.902;119
09678 SCHWEINFURT ;75.222;48.643;25.259;1.014;186;89;31;1.339;8.360;9.216;27.617;21.116;6.481;356;186;1.651;4.084;6.736;9.890;2.501;135
09679 WUERZBURG ;102.011;65.222;34.975;1.327;364;100;23;1.683;10.266;11.384;35.241;30.371;11.344;514;231;1.983;5.044;8.694;14.028;4.670;198
RB ZUSAMMEN ;819.127;511.149;294.967;9.434;2.577;811;189;14.246;86.648;94.539;280.832;237.271;92.721;3.843;1.666;16.297;42.466;73.443;116.356;42.451;1.391
RB SCHWABEN ;;;;;;;;;;;;;;;;;;;;;
09761 AUGSBURG,STADT ;132.123;86.486;43.169;1.518;813;109;28;2.229;11.341;13.641;41.885;39.400;21.572;514;213;1.782;5.346;9.755;16.687;9.023;199
09762 KAUFBEUREN,STADT ;23.257;15.109;7.810;222;99;15;2;338;1.933;2.407;7.791;7.339;3.092;92;57;386;1.084;1.887;3.117;1.192;42
09763 KEMPTEN(ALLGAEU),STADT ;37.236;22.996;13.696;304;182;54;4;444;2.807;3.641;11.425;12.191;6.171;204;70;609;1.666;2.801;5.596;2.837;72
09764 MEMMINGEN,STADT ;24.824;15.385;9.153;198;58;26;4;347;2.076;2.672;8.286;7.650;3.420;93;41;409;1.236;2.157;3.613;1.640;30
09771 AICHACH-FRIEDBERG ;81.976;52.339;28.458;763;338;68;10;1.388;7.328;8.859;27.718;25.342;9.957;377;165;1.566;4.018;6.962;11.513;4.000;136
09772 AUGSBURG ;155.777;102.619;50.796;1.370;818;145;29;2.597;13.193;16.035;51.605;48.866;20.822;719;319;2.336;6.806;12.099;20.969;7.784;284
09773 DILLINGEN A.D.DONAU ;61.017;39.042;21.173;551;205;33;13;991;5.712;7.095;22.064;18.327;5.942;186;115;1.114;3.115;5.661;8.482;2.521;67
09774 GUENZBURG ;78.896;48.733;29.344;550;199;55;15;1.130;6.870;8.580;27.752;24.695;8.790;333;104;1.206;3.900;7.580;12.212;4.158;100
09775 NEU-ULM ;103.709;68.127;34.534;791;175;66;16;1.562;8.917;10.420;36.858;30.947;13.388;305;112;1.461;4.545;9.144;13.757;5.276;105
09776 LINDAU (BODENSEE) ;49.843;32.290;17.006;349;130;58;10;911;5.047;5.645;16.937;14.558;5.655;291;154;1.143;2.646;3.933;6.586;2.344;101
09777 OSTALLGAEU ;86.026;53.712;31.057;841;302;97;17;1.407;7.637;9.579;29.208;26.957;9.786;559;236;1.923;4.779;7.311;12.260;4.232;208
09778 UNTERALLGAEU ;91.791;57.503;33.230;703;258;78;19;1.509;8.742;10.295;33.222;27.452;9.087;382;202;1.822;4.837;8.889;13.209;4.023;136
09779 DONAU-RIES ;86.821;53.537;32.233;672;312;55;12;1.474;9.118;10.278;30.229;25.237;9.307;383;182;1.880;4.950;8.447;12.270;4.251;159
09780 OBERALLGAEU ;95.462;60.114;34.432;615;200;83;18;1.559;7.705;10.015;31.417;31.144;11.726;695;265;2.105;5.116;7.673;14.081;4.823;255
RB ZUSAMMEN ;1.108.758;707.992;386.091;9.447;4.089;942;197;17.886;98.426;119.162;376.397;340.105;138.715;5.133;2.235;19.742;54.044;94.299;154.352;58.104;1.894
LAND INSGESAMT ;7.695.182;4.762.904;2.832.199;61.189;29.191;8.175;1.524;128.876;676.200;786.608;2.492.371;2.352.153;1.118.878;43.376;15.662;138.051;368.915;638.817;1.121.292;525.458;15.022
BERLIN ;;;;;;;;;;;;;;;;;;;;;
11000 BERLIN ;1.195.149;856.846;309.048;16.749;10.451;1.668;387;26.144;131.596;133.527;388.045;329.256;167.136;2.990;1.613;15.021;41.650;68.574;117.145;61.532;1.128
LAND INSGESAMT ;1.195.149;856.846;309.048;16.749;10.451;1.668;387;26.144;131.596;133.527;388.045;329.256;167.136;2.990;1.613;15.021;41.650;68.574;117.145;61.532;1.128
