;Insgesamt;Benzin;Diesel;Gas (einschl. bivalent);Hybrid;Elektro;Sonstige;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;Sonstige;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;Sonstige
BADEN-WUERTTEMBERG;;;;;;;;;;;;;;;;;;;;;
RB STUTTGART;;;;;;;;;;;;;;;;;;;;;
08111  STUTTGART,STADT;298.172;182.451;111.148;1.893;1.788;814;78;5.161;25.747;26.962;79.422;83.244;71.586;950;191;3.968;11.644;20.293;40.400;34.048;215
08115  BOEBLINGEN;244.396;155.578;85.499;1.452;1.336;474;57;3.466;18.869;21.786;70.400;70.308;55.635;781;273;3.344;10.316;18.819;31.203;21.020;251
08116  ESSLINGEN;319.920;208.669;107.640;1.907;1.301;325;78;5.606;28.887;32.235;100.660;95.314;50.751;1.247;496;4.855;14.593;24.567;41.681;20.561;430
08117  GOEPPINGEN;158.197;101.819;54.352;1.299;574;110;43;2.503;14.471;16.376;51.329;49.480;21.718;579;217;2.571;7.641;13.082;21.763;8.677;226
08118  LUDWIGSBURG;319.997;213.243;102.776;2.228;1.256;413;81;5.276;30.952;33.288;103.442;95.509;46.700;873;227;4.549;13.829;24.422;40.374;18.801;220
08119  REMS-MURR-KREIS;254.529;169.366;82.234;1.888;731;248;62;4.926;26.768;27.503;82.279;71.955;36.665;914;332;4.498;11.876;20.131;30.711;14.030;302
08121  HEILBRONN,STADT;64.536;41.705;21.980;561;231;51;8;1.123;6.635;7.436;21.661;17.647;9.284;131;53;883;2.980;5.540;8.368;4.067;42
08125  HEILBRONN;228.414;140.774;85.050;1.694;630;225;41;4.136;23.543;24.556;71.867;61.277;39.323;1.311;296;3.879;11.086;18.386;28.943;21.719;509
08126  HOHENLOHEKREIS;78.335;42.548;34.819;706;187;64;11;1.498;8.620;8.907;25.182;21.021;11.998;332;148;1.690;4.455;7.711;12.065;8.568;109
08127  SCHWAEBISCH-HALL;122.081;72.513;47.840;1.296;303;104;25;2.265;13.933;14.775;41.436;34.810;12.832;614;267;3.042;7.379;12.450;18.247;6.069;222
08128  MAIN-TAUBER-KREIS;85.496;52.164;32.016;837;423;40;16;1.475;9.465;10.315;30.199;24.377;8.528;354;157;1.806;4.859;8.494;12.355;4.127;124
08135  HEIDENHEIM;79.467;51.025;27.389;796;197;49;11;1.213;7.412;8.644;27.953;23.937;9.346;251;98;1.247;3.800;7.395;10.745;3.935;88
08136  OSTALBKREIS;194.885;120.900;71.703;1.503;630;125;24;2.774;17.453;19.692;65.190;60.886;26.138;753;305;3.381;9.555;17.654;29.042;11.242;289
RB ZUSAMMEN;2.448.425;1.552.755;864.446;18.060;9.587;3.042;535;41.422;232.755;252.475;771.020;709.765;400.504;9.090;3.060;39.713;114.013;198.944;325.897;176.864;3.027
RB KARLSRUHE 08211  BADEN-BADEN,STADT;33.499;20.994;12.158;160;153;27;7;726;3.415;3.645;9.798;9.455;5.813;157;60;565;1.464;2.357;4.604;3.017;69
08212  KARLSRUHE,STADT;137.811;87.877;47.758;1.347;619;172;38;3.144;14.426;14.951;41.566;39.904;21.336;588;221;2.091;5.591;10.156;18.520;10.763;229
08215  KARLSRUHE;268.105;178.514;86.150;2.160;972;249;60;5.676;28.783;31.396;89.120;77.586;31.436;1.157;484;4.774;12.553;21.063;33.594;12.894;430
08216  RASTATT;145.065;96.385;47.130;1.022;388;115;25;3.320;17.069;17.341;47.008;37.997;20.061;657;308;3.036;7.550;11.681;16.700;7.391;273
08221  HEIDELBERG,STADT;59.202;37.394;21.074;414;246;53;21;1.588;6.274;6.237;17.592;17.065;9.035;251;96;1.047;2.409;4.297;8.339;4.701;93
08222  MANNHEIM,STADT;147.189;96.733;48.515;1.111;679;128;23;3.546;16.025;15.578;43.833;38.637;25.503;656;236;1.947;5.659;10.082;17.340;12.758;214
08225  NECKAR-ODENWALD-KREIS;89.593;56.006;32.535;748;256;33;15;1.545;9.267;10.079;30.622;26.740;10.294;323;168;1.751;4.838;8.272;13.020;4.266;133
08226  RHEIN-NECKAR-KREIS;339.367;222.313;112.986;2.450;1.270;276;72;7.038;34.164;35.988;108.162;100.774;47.914;1.455;624;5.177;13.851;24.290;45.981;22.126;569
08231  PFORZHEIM,STADT;58.997;39.077;19.141;487;222;64;6;1.065;5.807;6.783;19.283;16.933;8.301;173;58;784;2.669;5.065;7.193;3.281;48
08235  CALW;98.366;61.236;35.886;876;237;107;24;1.618;9.015;10.351;31.766;29.842;14.238;375;175;1.806;5.154;9.016;14.065;5.373;156
08236  ENZKREIS;125.673;84.028;40.067;1.069;351;134;24;2.361;12.461;14.311;41.641;37.391;15.404;497;172;2.067;5.857;10.081;15.775;5.802;163
08237  FREUDENSTADT;72.375;43.147;28.420;495;236;63;14;1.038;6.312;7.540;24.229;22.674;9.654;285;116;1.358;3.807;7.128;11.478;4.357;101
RB ZUSAMMEN;1.575.242;1.023.704;531.820;12.339;5.629;1.421;329;32.665;163.018;174.200;504.620;454.998;218.989;6.574;2.718;26.403;71.402;123.488;206.609;96.729;2.478
RB FREIBURG;;;;;;;;;;;;;;;;;;;;;
08311  FREIBURG I.BREISG.STADT;89.897;54.834;33.639;797;474;129;24;2.426;11.163;11.214;28.044;24.245;10.872;580;266;2.067;4.800;7.904;12.366;5.756;296
08315  BREISGAU-HOCHSCHWARZWALD;151.536;96.909;52.704;1.053;636;194;40;3.694;17.397;18.661;51.162;42.675;14.870;984;423;3.276;8.096;13.681;20.395;6.171;456
08316  EMMENDINGEN;95.877;63.187;31.488;748;347;92;15;2.322;12.221;12.242;33.430;25.504;8.440;578;239;2.039;5.096;8.596;11.637;3.515;236
08317  ORTENAUKREIS;258.956;168.638;87.855;1.597;631;183;52;6.331;31.910;33.303;87.796;69.311;26.195;1.372;708;5.931;14.323;22.641;31.931;11.429;547
08325  ROTTWEIL;88.943;54.790;33.266;578;248;49;12;1.413;7.599;9.212;30.437;27.987;10.948;427;161;1.539;4.537;8.471;13.473;4.785;177
08326  SCHWARZWALD-BAAR-KREIS;125.351;80.678;43.240;838;464;99;32;1.939;10.480;12.695;42.001;39.940;16.360;592;226;2.103;5.941;10.175;17.837;6.616;198
08327  TUTTLINGEN;83.265;50.901;31.529;528;230;57;20;1.190;6.061;8.198;27.015;27.632;12.088;343;186;1.374;3.999;7.351;13.181;5.242;132
08335  KONSTANZ;153.730;106.811;44.760;1.327;662;134;36;3.116;15.776;17.705;52.323;43.807;18.125;951;397;2.871;6.967;9.985;17.219;6.724;405
08336  LOERRACH;132.697;91.608;39.572;556;748;183;30;2.892;13.611;15.152;44.421;38.716;15.564;574;318;2.462;5.800;9.245;15.490;5.783;190
08337  WALDSHUT;102.665;69.418;32.288;431;399;97;32;1.790;9.377;11.814;34.800;31.601;11.691;549;172;1.786;4.630;7.464;13.352;4.610;182
RB ZUSAMMEN;1.282.917;837.774;430.341;8.453;4.839;1.217;293;27.113;135.595;150.196;431.429;371.418;145.153;6.950;3.096;25.448;64.189;105.513;166.881;60.631;2.819
RB TUEBINGEN;;;;;;;;;;;;;;;;;;;;;
08415  REUTLINGEN;172.232;108.481;61.530;1.498;526;162;35;2.692;15.544;17.841;56.868;53.766;22.868;575;221;2.933;8.373;15.433;24.666;9.459;239
08416  TUEBINGEN;119.609;73.433;44.331;1.313;397;104;31;1.953;11.384;12.885;39.865;36.145;15.502;474;190;2.264;6.108;11.008;17.538;6.857;189
08417  ZOLLERNALBKREIS;122.027;76.899;43.724;954;360;74;16;1.762;10.463;12.374;40.162;39.453;15.988;470;173;2.151;5.742;10.937;18.095;6.327;181
08421  ULM,STADT;64.133;37.939;25.392;511;197;81;13;887;4.762;5.807;20.096;20.016;11.614;192;60;793;2.561;5.630;10.052;6.170;65
08425  ALB-DONAU-KREIS;120.553;74.595;44.689;982;167;93;27;1.761;10.347;12.633;42.938;37.448;13.538;465;164;2.013;6.175;12.605;17.926;5.514;163
08426  BIBERACH;122.575;74.237;47.009;882;317;109;21;1.639;10.628;13.569;44.250;37.651;12.984;565;213;2.275;6.871;13.061;18.587;5.687;194
08435  BODENSEEKREIS;131.431;84.844;44.976;910;530;145;26;2.517;13.461;14.785;42.519;37.686;17.596;843;374;3.058;6.936;10.290;16.621;7.192;310
08436  RAVENSBURG;169.785;103.612;64.330;1.214;414;172;43;2.793;16.668;19.796;58.573;50.074;18.792;1.058;477;4.255;10.141;16.394;24.259;8.165;416
08437  SIGMARINGEN;81.392;49.125;31.125;706;377;47;12;1.229;7.667;9.073;28.287;24.917;9.061;372;162;1.735;4.523;8.254;12.216;4.003;155
RB ZUSAMMEN;1.103.737;683.165;407.106;8.970;3.285;987;224;17.233;100.924;118.763;373.558;337.156;137.943;5.014;2.034;21.477;57.430;103.612;159.960;59.374;1.912
LAND INSGESAMT;6.410.321;4.097.398;2.233.713;47.822;23.340;6.667;1.381;118.433;632.292;695.634;2.080.627;1.873.337;902.589;27.628;10.908;113.041;307.034;531.557;859.347;393.598;10.236
BAYERN;;;;;;;;;;;;;;;;;;;;;
RB OBERBAYERN;;;;;;;;;;;;;;;;;;;;;
09161  INGOLSTADT,STADT;96.240;55.888;38.486;528;1.245;67;26;1.517;6.900;6.765;21.132;20.862;33.791;3.724;174;1.556;3.543;5.565;9.764;16.273;1.514
09162  MUENCHEN,STADT;722.384;411.560;300.255;3.791;5.106;1.570;102;15.577;51.669;59.993;177.710;192.869;200.772;6.849;1.469;9.058;25.364;47.131;98.763;115.149;2.059
09163  ROSENHEIM,STADT;33.770;20.709;12.639;283;107;25;7;533;2.809;3.532;10.779;10.661;4.896;105;80;714;1.788;2.709;5.018;2.235;38
09171  ALTOETTING;66.849;42.825;23.195;423;329;66;11;968;5.613;7.106;22.912;21.361;7.897;288;148;1.241;3.332;5.504;9.675;3.107;103
09172  BERCHTESGADENER LAND;62.010;39.874;21.549;320;194;55;18;970;4.855;5.918;20.626;20.128;8.265;334;162;1.196;3.103;4.868;8.792;3.228;120
09173  BAD TOELZ-WOLFRATSHAUSEN;76.524;45.534;30.084;561;249;82;14;1.265;6.293;8.036;24.547;24.956;9.895;460;216;1.783;4.268;6.860;12.297;4.391;181
09174  DACHAU;86.641;54.876;30.653;711;312;72;17;1.418;7.193;9.260;29.306;26.851;11.130;400;195;1.452;4.235;7.448;12.679;4.413;139
09175  EBERSBERG;79.764;48.550;30.252;549;297;101;15;1.153;6.137;7.734;25.285;26.283;11.624;431;163;1.311;3.767;6.800;12.728;5.239;150
09176  EICHSTAETT;79.196;47.433;30.966;586;137;62;12;1.392;7.962;8.182;25.770;24.530;9.913;329;191;1.983;4.956;7.201;12.286;4.118;119
09177  ERDING;83.694;50.276;32.237;611;490;63;17;1.236;6.770;8.804;28.427;26.950;10.314;255;159;1.555;4.402;8.002;13.474;4.435;102
09178  FREISING;103.471;60.185;41.909;862;350;145;20;1.750;8.950;11.236;33.477;32.395;13.798;601;267;2.076;5.618;10.064;16.686;6.879;211
09179  FUERSTENFELDBRUCK;118.323;76.522;40.362;849;489;83;18;2.121;10.121;12.390;39.319;36.635;15.612;559;281;2.028;5.497;9.401;16.531;6.234;234
09180  GARMISCH-PARTENKIRCHEN;50.053;31.757;17.672;383;190;36;15;964;4.268;5.421;16.160;16.148;6.181;289;195;1.227;2.596;3.747;7.250;2.491;119
09181  LANDSBERG AM LECH;76.497;45.391;29.958;714;312;107;15;1.311;6.539;8.068;25.033;23.543;10.427;530;179;1.587;4.026;6.791;11.627;5.463;187
09182 MIESBACH ;62.853;37.491;24.683;383;206;73;17;1.069;4.748;6.006;18.890;21.070;9.600;371;148;1.224;3.163;5.083;10.257;4.602;120
09183 MUEHLDORF A.INN ;69.682;43.734;25.059;483;334;64;8;1.106;6.543;7.949;24.263;20.748;8.065;329;163;1.508;3.894;6.275;9.784;3.245;127
09184 MUENCHEN ;220.578;124.195;93.565;1.110;1.278;338;92;3.370;13.939;17.977;57.720;74.370;48.624;1.073;316;2.778;8.448;14.698;38.867;27.942;322
09185 NEUBURG-SCHROBENHAUSEN ;61.228;37.179;23.357;478;171;36;7;1.099;6.437;7.110;20.950;17.847;6.849;291;118;1.422;3.678;5.953;8.977;3.052;90
09186 PFAFFENHOFEN A.D.ILM ;78.489;45.970;31.425;800;214;69;11;1.345;7.491;8.679;26.058;24.140;9.429;417;188;1.854;4.523;7.764;12.585;4.301;137
09187 ROSENHEIM ;161.781;99.801;60.126;1.111;521;194;28;2.715;13.648;17.093;54.040;50.684;20.301;1.027;405;3.500;8.932;14.092;23.884;8.765;354
09188 STARNBERG ;84.093;50.932;32.147;480;345;176;13;1.605;6.068;7.774;24.323;27.959;13.882;566;173;1.387;3.865;6.310;13.785;6.328;182
09189 TRAUNSTEIN ;110.147;68.901;39.957;802;344;129;14;1.832;9.341;11.501;37.420;34.456;13.439;492;338;2.380;5.968;9.459;15.946;5.454;190
09190 WEILHEIM-SCHONGAU ;83.193;51.629;30.447;735;291;84;7;1.617;7.823;9.596;27.918;25.328;9.180;465;253;2.028;4.829;7.288;11.862;3.785;202
RB ZUSAMMEN ;2.667.460;1.591.212;1.040.983;17.553;13.511;3.697;504;47.933;212.117;256.130;792.065;800.774;493.884;20.185;5.981;46.848;123.795;209.013;393.517;251.129;7.000
RB NIEDERBAYERN ;;;;;;;;;;;;;;;;;;;;;
09261 LANDSHUT,STADT ;35.401;21.949;13.010;258;152;27;5;544;2.828;3.675;11.613;10.860;5.343;141;83;547;1.661;3.015;5.256;2.342;60
09262 PASSAU,STADT ;26.914;16.938;9.692;118;139;16;11;421;2.263;2.586;8.032;8.783;4.470;107;58;431;1.168;1.820;4.067;2.057;55
09263 STRAUBING,STADT ;26.366;16.906;9.211;173;51;21;4;398;2.221;2.702;8.734;7.774;4.175;98;35;375;1.165;2.061;3.645;1.867;31
09271 DEGGENDORF ;73.872;44.738;28.210;737;129;49;9;988;6.115;7.618;25.688;23.847;8.815;272;102;1.257;3.629;6.790;12.195;4.090;82
09272 FREYUNG-GRAFENAU ;49.804;29.802;19.625;290;65;17;5;795;4.816;5.051;17.073;15.763;5.821;150;76;912;2.713;4.971;8.149;2.722;52
09273 KELHEIM ;75.362;43.726;30.565;871;135;53;12;1.051;6.371;7.894;25.887;23.871;9.216;366;130;1.397;4.131;7.813;12.573;4.343;120
09274 LANDSHUT ;101.308;58.947;40.944;898;418;89;12;1.504;9.311;11.642;34.771;30.892;11.766;507;220;2.231;5.874;10.202;16.602;5.505;200
09275 PASSAU ;120.232;77.586;41.604;672;256;69;45;1.777;11.584;12.400;42.276;36.969;13.843;453;194;2.179;5.917;10.406;17.032;5.636;137
09276 REGEN ;47.490;28.752;18.123;331;119;159;6;640;3.750;4.250;16.007;16.365;5.877;234;88;756;2.234;4.343;8.042;2.564;59
09277 ROTTAL-INN ;78.343;48.297;29.182;554;210;78;22;1.240;7.891;8.975;27.712;22.532;8.832;387;135;1.694;4.366;7.322;11.308;4.138;127
09278 STRAUBING-BOGEN ;64.784;39.423;24.563;568;171;51;8;966;5.454;7.042;23.285;20.360;6.780;254;123;1.197;3.437;6.471;10.290;2.905;81
09279 DINGOLFING-LANDAU ;61.372;35.763;24.854;564;133;54;4;997;5.745;7.107;21.128;17.569;7.893;356;130;1.264;3.477;6.365;9.570;3.881;113
RB ZUSAMMEN ;761.248;462.827;289.583;6.034;1.978;683;143;11.321;68.349;80.942;262.206;235.585;92.831;3.325;1.374;14.240;39.772;71.579;118.729;42.050;1.117
RB OBERPFALZ ;;;;;;;;;;;;;;;;;;;;;
09361 AMBERG,STADT ;24.124;15.669;8.135;162;120;30;8;338;1.925;2.320;7.979;7.761;3.490;103;35;309;971;1.786;3.420;1.557;38
09362 REGENSBURG,STADT ;76.544;45.406;29.900;715;365;135;23;1.090;5.455;6.699;22.470;25.068;14.560;384;137;1.103;3.126;5.632;12.465;7.250;137
09363 WEIDEN I.D.OPF.,STADT ;25.218;16.186;8.778;166;66;14;8;346;2.131;2.374;7.966;8.234;3.843;77;40;351;972;1.743;3.813;1.809;21
09371 AMBERG-SULZBACH ;66.900;42.218;23.948;497;158;67;12;947;6.070;6.748;24.111;21.168;6.920;273;106;1.189;3.091;6.188;10.169;3.045;90
09372 CHAM ;84.059;52.580;30.462;845;111;49;12;1.228;7.549;8.498;30.171;26.738;8.830;359;133;1.461;4.193;8.043;12.878;3.599;104
09373 NEUMARKT I.D.OPF. ;83.449;50.460;32.022;653;229;74;11;1.113;6.388;7.927;28.290;27.749;10.716;413;139;1.301;3.891;7.460;14.076;4.959;125
09374 NEUSTADT A.D.WALDNAAB ;62.309;39.771;21.897;476;114;40;11;825;5.310;5.963;22.364;20.145;6.999;288;96;1.081;2.859;5.542;9.310;2.857;103
09375 REGENSBURG ;119.785;73.797;44.133;1.350;356;113;36;1.517;8.718;11.442;40.828;40.646;15.088;504;207;2.028;5.667;10.506;19.261;6.233;156
09376 SCHWANDORF ;94.578;57.082;36.100;1.107;225;46;18;1.280;7.666;8.950;32.896;31.141;11.446;414;150;1.475;4.352;8.813;15.693;5.404;137
09377 TIRSCHENREUTH ;46.985;31.227;15.398;269;56;27;8;637;3.789;3.966;16.707;15.909;5.518;157;61;644;1.816;3.660;6.921;2.212;50
RB ZUSAMMEN ;683.951;424.396;250.773;6.240;1.800;595;147;9.321;55.001;64.887;233.782;224.559;87.410;2.972;1.104;10.942;30.938;59.373;108.006;38.925;961
RB OBERFRANKEN ;;;;;;;;;;;;;;;;;;;;;
09461 BAMBERG,STADT ;38.811;24.293;13.981;359;129;38;11;799;4.193;4.254;11.736;11.491;5.644;213;102;852;1.941;2.827;5.463;2.686;68
09462 BAYREUTH,STADT ;38.216;24.495;13.301;250;146;22;2;627;3.143;3.511;11.808;12.184;6.428;149;69;534;1.514;2.570;5.411;3.118;56
09463 COBURG,STADT ;24.691;15.479;8.904;193;78;28;9;361;1.924;2.110;7.257;8.027;4.560;106;28;291;840;1.500;3.757;2.435;28
09464 HOF,STADT ;24.057;16.955;6.836;166;76;21;3;304;1.827;2.025;7.106;8.033;4.485;85;27;276;817;1.235;2.892;1.549;24
09471 BAMBERG ;96.636;61.779;33.760;811;174;93;19;1.583;10.055;10.789;34.027;29.293;9.585;455;191;2.045;5.004;8.513;13.650;4.140;153
09472 BAYREUTH ;68.756;44.415;23.627;517;147;39;11;1.021;6.185;6.520;24.082;22.314;7.805;327;109;1.209;3.107;5.937;9.986;3.124;109
09473 COBURG ;56.190;38.832;16.643;547;115;47;6;823;5.314;5.335;19.304;17.807;6.784;251;79;880;2.268;3.757;7.012;2.524;73
09474 FORCHHEIM ;74.671;48.109;25.700;560;209;73;20;1.220;7.252;8.129;26.472;22.670;7.774;420;149;1.445;3.829;6.508;10.320;3.259;134
09475 HOF ;61.438;41.523;19.194;550;115;39;17;832;4.689;4.635;18.944;21.908;9.641;282;84;802;2.092;3.900;8.710;3.472;88
09476 KRONACH ;43.915;29.141;14.363;295;79;18;19;622;3.893;3.850;14.962;14.572;5.482;189;60;720;1.860;3.275;6.240;2.132;49
09477 KULMBACH ;47.686;31.031;16.031;431;154;30;9;808;4.400;4.695;15.896;15.303;5.935;217;87;842;2.097;3.661;6.608;2.625;75
09478 LICHTENFELS ;42.793;28.640;13.761;300;44;34;14;710;4.317;4.383;15.390;12.908;4.538;184;59;807;1.965;3.396;5.626;1.825;53
09479 WUNSIEDEL I.FICHTELGEB. ;45.374;31.127;13.777;293;138;16;23;586;3.468;3.827;14.206;16.293;6.380;177;65;577;1.576;2.824;6.321;2.324;51
RB ZUSAMMEN ;663.234;435.819;219.878;5.272;1.604;498;163;10.296;60.660;64.063;221.190;212.803;85.041;3.055;1.109;11.280;28.910;49.903;91.996;35.213;961
RB MITTELFRANKEN ;;;;;;;;;;;;;;;;;;;;;
09561 ANSBACH,STADT ;24.243;14.992;8.857;257;106;28;3;364;2.332;2.639;7.964;7.214;3.409;85;31;494;1.204;1.981;3.428;1.670;25
09562 ERLANGEN,STADT ;53.757;33.919;19.152;379;238;59;10;1.008;5.005;5.511;17.177;16.636;7.469;195;133;982;2.527;4.081;7.762;3.493;70
