Stadt;Insgesamt;Benzin;Diesel;Gas (einschl. bivalent);Hybrid;Elektro;Sonstige;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;Sonstige2;Euro 1 2;Euro 2 2;Euro 3 2;Euro 4 2;Euro 5 2;Euro 6 2;Sonstige3
BADEN-WUERTTEMBERG;;;;;;;;;;;;;;;;;;;;;
RB STUTTGART;;;;;;;;;;;;;;;;;;;;;
08111  STUTTGART,STADT;283950;180823;99283;2307;;;1924;7943;39120;35527;94087;93176;8693;582;258;5391;15300;25701;49290;2841;220
08115  BOEBLINGEN;230385;148892;78978;1766;;;987;5272;28825;29410;82213;71853;9680;639;377;5013;14040;22977;34078;1981;265
08116  ESSLINGEN;303077;203689;96593;2322;;;780;8780;44322;43133;114740;81821;4586;1224;670;7426;19667;29559;37410;960;488
08117  GOEPPINGEN;150077;100117;48309;1633;;;342;4166;22811;22154;58244;39391;1276;617;350;4044;10377;15434;17324;372;255
08118  LUDWIGSBURG;302131;209389;89799;2633;;;696;8588;46457;44076;117269;78935;2943;694;343;6348;18308;29005;34291;903;287
08119  REMS-MURR-KREIS;241084;165209;73538;2209;;;446;7824;40042;35363;91287;59429;3375;887;440;6363;15532;23505;26257;784;365
08121  HEILBRONN,STADT;60869;41431;18680;757;;;149;1956;10379;9405;23165;14790;550;119;72;1304;3897;6062;7063;189;49
08125  HEILBRONN;210895;137822;70987;1946;;;326;6734;34392;30603;77658;56978;1588;1023;436;5586;13813;20599;29317;566;464
08126  HOHENLOHEKREIS;73314;42153;30324;788;;;103;2431;12735;11334;26036;19442;395;348;219;2453;5671;8399;13202;208;120
08127  SCHWAEBISCH-HALL;114532;71807;41178;1764;;;172;3831;20869;18650;43986;24916;517;615;385;4439;9483;13742;12513;243;239
08128  MAIN-TAUBER-KREIS;81576;52637;27857;1073;;;178;2475;14710;13334;32176;17574;305;352;221;2699;6275;9529;8794;134;127
08135  HEIDENHEIM;75266;50432;23812;1082;;;117;1962;11259;11383;30925;18451;413;278;152;1732;4982;8406;8166;189;104
08136  OSTALBKREIS;184180;119460;62702;2234;;;284;4566;27052;26313;74583;47832;1242;788;449;4987;12802;20987;22382;564;329
RB ZUSAMMEN;2311336;1523861;762040;22514;;;6504;66528;352973;330685;866369;624588;35563;8166;4372;57785;150147;233905;300087;9934;3312
RB KARLSRUHE ;;;;;;;;;;;;;;;;;;;;;
08211  BADEN-BADEN,STADT;32105;21121;10723;194;;;98;1233;4939;4729;11204;8863;475;193;107;836;1952;2877;4657;184;86
08212  KARLSRUHE,STADT;134780;88737;44226;1917;;;400;5042;21338;19515;47477;38035;1083;597;302;3004;7657;12601;19800;416;278
08215  KARLSRUHE;254621;176324;75539;2632;;;548;9389;42575;40360;97786;59246;1581;1240;693;6896;16460;24092;25970;596;518
08216  RASTATT;138046;95075;41731;1203;;;224;5495;24930;21816;50325;30175;3208;767;491;4308;9553;12957;13450;451;332
08221  HEIDELBERG,STADT;57141;37895;18623;611;;;156;2456;9157;7961;19960;15652;506;288;139;1426;3197;5177;8258;229;115
08222  MANNHEIM,STADT;142278;97665;43124;1241;;;357;5874;23412;19377;47815;38503;2405;705;334;2836;7244;11459;20078;618;241
08225  NECKAR-ODENWALD-KREIS;85337;55931;28417;1032;;;136;2543;14047;13170;34629;19561;409;373;250;2626;6406;9752;8999;145;167
08226  RHEIN-NECKAR-KREIS;322596;220371;99014;2958;;;666;11520;50782;46931;120882;84823;2724;1517;905;7585;18560;28546;41404;1018;657
08231  PFORZHEIM,STADT;55829;38463;16756;554;;;115;1803;8846;8654;21014;14320;468;165;84;1171;3450;5647;6166;128;61
08235  CALW;92099;59224;31868;945;;;165;2467;13443;13912;35728;23775;1440;397;234;2651;7001;10466;10957;244;191
08236  ENZKREIS;118543;82302;34987;1239;;;194;3785;18849;18487;46708;28160;776;482;247;2986;7597;11888;11705;240;192
08237  FREUDENSTADT;68278;42255;25315;639;;;143;1770;9894;10287;27528;17376;620;282;177;2199;5331;8542;8729;148;119
RB ZUSAMMEN;1501653;1015363;470323;15165;;;3202;53377;242212;225199;561056;378489;15695;7006;3963;38524;94408;144004;180173;4417;2957
RB FREIBURG;;;;;;;;;;;;;;;;;;;;;
08311  FREIBURG I.BREISG.STADT;87567;56007;30367;1246;;;352;3902;15907;13743;30248;21118;810;613;335;2657;5994;9031;11436;414;337
08315  BREISGAU-HOCHSCHWARZWALD;142402;94891;46129;1269;;;363;5944;25528;23574;53999;29945;599;1049;605;4597;10417;15386;14152;259;516
08316  EMMENDINGEN;89889;61700;27219;931;;;208;3764;17781;15168;34132;17102;312;634;336;2782;6603;9247;7698;146;293
08317  ORTENAUKREIS;245450;166627;76779;2012;;;355;10649;46774;41467;91739;49862;1022;1610;1039;8380;18180;24749;23036;417;667
08325  ROTTWEIL;84342;53941;29697;712;;;139;2288;11921;12741;34703;20952;484;435;238;2486;6412;10193;9872;192;190
08326  SCHWARZWALD-BAAR-KREIS;119083;79854;38111;1054;;;267;3175;16807;17588;48445;30633;635;622;330;3372;8298;12197;13294;235;241
08327  TUTTLINGEN;77850;49592;27570;645;;;126;1855;9671;11796;31728;21369;495;347;228;2185;5827;9006;9907;197;166
08335  KONSTANZ;145400;106040;37720;1636;;;375;5047;24098;22602;57309;33025;762;958;528;4092;8715;11104;12414;273;413
08336  LOERRACH;125767;91136;33615;704;;;467;4778;20640;19763;48759;28925;757;567;451;3434;7465;10375;11097;270;236
08337  WALDSHUT;97102;69382;27058;494;;;238;3052;14945;15695;38670;22710;565;551;246;2604;6100;8492;9104;214;200
RB ZUSAMMEN;1214852;829170;374265;10703;;;2890;44454;204072;194137;469732;275641;6441;7386;4336;36589;84011;119780;122010;2617;3259
RB TUEBINGEN;;;;;;;;;;;;;;;;;;;;;
08415  REUTLINGEN;163209;106281;55055;1963;;;278;4509;24657;24094;63826;42266;1453;614;382;4649;11450;18187;19406;505;276
08416  TUEBINGEN;113546;72030;40007;1598;;;235;3244;17657;17436;43679;28770;1124;509;279;3343;8430;12772;14520;273;240
08417  ZOLLERNALBKREIS;116038;75248;39573;1215;;;194;2839;16083;17309;47003;30490;699;517;284;3469;8314;13336;13629;236;213
08421  ULM,STADT;60974;37559;22737;749;;;131;1396;7380;7993;23200;19294;891;151;91;1160;3592;6905;10556;297;77
08425  ALB-DONAU-KREIS;113553;73045;39400;1149;;;121;2843;16157;17125;47989;26836;941;472;228;3138;8515;14677;12214;330;186
08426  BIBERACH;114461;72520;40802;1089;;;213;2733;16984;18442;48137;25953;696;503;319;3595;9203;14789;12261;345;191
08435  BODENSEEKREIS;124345;83179;39898;1128;;;310;4145;20692;19224;46371;29715;1676;841;507;4434;8938;11796;13183;524;353
08436  RAVENSBURG;159739;101736;56504;1567;;;243;4500;26019;25981;63419;36201;889;1054;620;6156;13236;18423;16979;421;469
08437  SIGMARINGEN;76699;48306;27430;880;;;183;2091;11777;12131;31380;17988;318;383;228;2594;6145;9591;8523;126;162
RB ZUSAMMEN;1042564;669904;361406;11338;;;1908;28300;157406;159735;415004;257513;8687;5044;2938;32538;77823;120476;121271;3057;2167
LAND INSGESAMT;6070405;4038298;1968034;59720;;;14504;192659;956663;909756;2312161;1536231;66386;27602;15609;165436;406389;618165;723541;20025;11695
BAYERN;;;;;;;BAYERN;;;;;;;BAYERN;;;;;;;
RB OBERBAYERN;;;;;;;;;;;;;;;;;;;;;
09161  INGOLSTADT,STADT;89990;52718;36218;690;;;497;2262;10259;8934;23987;37442;2578;3048;252;2213;4728;6507;20242;856;1306
09162  MUENCHEN,STADT;684713;409836;267568;5017;;;3247;22679;78341;80826;211288;248066;20067;7206;1916;12960;34613;59333;146147;8455;2845
09163  ROSENHEIM,STADT;32042;20474;11251;332;;;73;837;4363;4737;12317;9019;251;99;96;1050;2414;3243;4242;110;42
09171  ALTOETTING;63340;42604;20097;519;;;180;1626;8893;9537;26291;15792;350;265;221;1838;4379;6524;6806;138;103
09172  BERCHTESGADENER LAND;58824;39219;19164;394;;;112;1525;7686;8344;24139;15664;366;313;228;1751;4296;5887;6676;126;117
09173  BAD TOELZ-WOLFRATSHAUSEN;73011;45082;27189;706;;;128;1989;9887;11169;28587;19577;418;448;306;2588;5817;8283;9685;224;187
09174  DACHAU;80373;52977;26481;896;;;143;2160;10918;12479;32970;19895;690;382;247;2110;5676;8857;9108;219;168
09175  EBERSBERG;74202;46942;26553;633;;;161;1819;9335;10680;29794;20723;590;389;215;1971;5252;8660;9943;249;176
09176  EICHSTAETT;73556;45733;27103;755;;;59;2148;12061;10615;28973;18284;277;269;278;2971;6399;8357;8796;79;102
09177  ERDING;77571;48949;27757;785;;;198;1962;10566;11986;32115;19520;439;218;247;2316;5954;9435;9441;165;97
09178  FREISING;96911;58791;36977;1084;;;202;2744;13584;14868;37394;26032;705;562;394;3094;7478;11572;13763;341;244
09179  FUERSTENFELDBRUCK;111844;74875;35760;1149;;;263;3381;15341;16824;45011;28713;716;615;373;2934;7404;11453;12923;236;279
09180  GARMISCH-PARTENKIRCHEN;47851;31705;15619;498;;;120;1498;6729;7365;18744;12382;272;313;268;1788;3472;4537;5227;124;152
09181  LANDSBERG AM LECH;71107;44185;25963;927;;;164;1972;9870;10744;28153;18602;393;472;238;2305;5337;8108;9505;186;188
09182 MIESBACH ;59229;36729;21893;574;;;136;1606;7312;8561;22889;17187;407;408;199;1844;4521;6421;8471;185;171
09183 MUEHLDORF A.INN ;65006;42811;21439;596;;;205;1785;10065;10376;26530;15022;365;310;228;2157;4922;7069;6711;151;140
09184 MUENCHEN ;224805;128283;94586;1400;;;738;5210;21498;25950;71387;93673;3330;893;466;4198;12391;19768;55598;1615;367
09185 NEUBURG-SCHROBENHAUSEN ;57087;36466;20015;618;;;79;1785;9760;9227;22635;12511;336;324;157;2031;4720;6686;6093;163;115
09186 PFAFFENHOFEN A.D.ILM ;72741;44526;27202;1008;;;102;2110;11007;11280;29037;17707;483;376;258;2623;5974;8943;9026;170;148
09187 ROSENHEIM ;151348;96571;53311;1308;;;361;4126;20636;23079;61262;38559;882;986;541;5006;12081;16921;17854;380;373
09188 STARNBERG ;80673;50365;29588;609;;;205;2343;9210;11194;30138;24997;774;466;230;2118;5547;8359;12648;401;189
09189 TRAUNSTEIN ;103933;67356;35536;937;;;221;2941;14268;15702;42403;26190;573;414;456;3467;8018;11347;11596;234;191
09190 WEILHEIM-SCHONGAU ;78633;50673;27023;935;;;132;2423;12082;12792;31068;18310;409;457;344;2861;6314;8591;8311;199;207
RB ZUSAMMEN ;2528790;1567870;934293;22370;;;7726;72931;323671;347269;917112;773867;35671;19233;8158;68194;167707;254861;408812;15006;7907
RB NIEDERBAYERN ;;;;;;;;;;;;;;;;;;;;;
09261 LANDSHUT,STADT ;33381;21476;11542;348;;;72;867;4510;4894;13201;9163;288;148;109;837;2284;3607;4482;121;65
09262 PASSAU,STADT ;25565;16642;8680;175;;;96;651;3392;3497;9671;7827;205;114;73;621;1617;2408;3803;81;57
09263 STRAUBING,STADT ;24718;16575;7908;208;;;40;682;3580;3606;9759;6528;234;100;57;574;1593;2374;3131;124;31
09271 DEGGENDORF ;70001;44471;24540;992;;;66;1631;9582;10352;29445;17935;332;296;178;1833;4975;8372;8858;166;108
09272 FREYUNG-GRAFENAU ;47172;29688;17101;368;;;39;1350;7490;6955;19514;11257;159;165;119;1362;3781;5963;5702;77;61
09273 KELHEIM ;70388;42903;26357;1167;;;73;1704;9815;10644;29163;17773;359;359;208;2078;5601;8964;9110;204;138
09274 LANDSHUT ;94774;58437;35065;1131;;;213;2556;14410;15179;38456;22450;542;502;296;3300;7602;11664;11691;222;209
09275 PASSAU ;113546;76471;36191;777;;;160;3136;18021;16444;47641;26605;466;490;255;3202;7999;12511;11772;206;170
09276 REGEN ;45475;28987;16001;408;;;86;1074;5949;6245;19540;12021;194;184;112;1178;3203;5656;5644;108;68
09277 ROTTAL-INN ;74397;47843;25791;643;;;145;2050;12107;11463;30405;17027;355;391;217;2444;5558;8392;8841;131;141
09278 STRAUBING-BOGEN ;60995;39263;21008;646;;;92;1616;8581;9421;26348;13960;260;266;192;1766;4567;7473;6745;131;87
09279 DINGOLFING-LANDAU ;58305;35772;21809;701;;;70;1686;8704;9157;23004;14097;864;354;212;1815;4449;7036;7835;276;136
RB ZUSAMMEN ;718717;458528;251993;7564;;;1152;19003;106141;107857;296147;176643;4258;3369;2028;21010;53229;84420;87614;1847;1271
RB OBERPFALZ ;;;;;;;;;;;;;;;;;;;;;
09361 AMBERG,STADT ;23153;15640;7263;205;;;67;566;3206;3232;9429;6344;113;91;52;494;1382;2273;2950;50;47
09362 REGENSBURG,STADT ;70254;43901;25282;976;;;203;1748;8758;9257;26624;22192;704;325;206;1764;4313;7106;11434;291;130
09363 WEIDEN I.D.OPF.,STADT ;24502;16568;7691;257;;;37;591;3326;3245;9344;7518;159;88;54;534;1358;2173;3431;81;25
09371 AMBERG-SULZBACH ;64383;42701;20945;650;;;130;1654;9590;9360;27492;15193;223;278;179;1716;4271;7477;7025;99;113
09372 CHAM ;79968;52911;26039;1013;;;59;1934;12169;11794;34361;18585;250;351;178;2182;5665;9397;8348;105;114
09373 NEUMARKT I.D.OPF. ;78026;49408;27722;856;;;114;1799;10171;11003;32807;20716;382;388;185;1958;5284;9407;10519;166;132
09374 NEUSTADT A.D.WALDNAAB ;59691;40111;18982;598;;;70;1381;8630;8413;26027;14386;234;258;138;1591;3942;6766;6280;110;107
09375 REGENSBURG ;114071;73452;38729;1827;;;187;2528;14197;16553;48860;30062;569;462;286;2924;8103;12984;13933;249;180
09376 SCHWANDORF ;90078;57603;30961;1535;;;105;2133;12093;12713;38709;22948;360;432;223;2174;6030;10869;11284;150;165
09377 TIRSCHENREUTH ;45575;31949;13259;334;;;45;1074;6104;5806;20208;11760;207;178;85;951;2643;4600;4804;99;51
RB ZUSAMMEN ;649701;424244;216873;8251;;;1017;15408;88244;91376;273861;169704;3201;2851;1586;16288;42991;73052;80008;1400;1064
RB OBERFRANKEN ;;;;;;;;;;;;;;;;;;;;;
09461 BAMBERG,STADT ;36720;23932;12334;521;;;62;1262;6052;5367;13084;10020;241;251;129;1208;2444;3391;4924;111;86
09462 BAYREUTH,STADT ;36532;24385;11686;454;;;107;1031;4927;4869;13839;11092;250;181;87;794;2086;3323;5173;121;61
09463 COBURG,STADT ;23727;15471;7980;292;;;44;570;3081;2865;8665;7938;200;100;41;453;1162;1903;4271;89;32
09464 HOF,STADT ;23216;16843;6150;212;;;48;496;2775;2713;9332;7453;194;92;47;422;1089;1741;2727;80;30
09471 BAMBERG ;91813;61863;28903;1146;;;112;2659;15767;14192;36906;20823;337;465;265;2904;6582;9697;9072;160;165
09472 BAYREUTH ;66178;44815;20649;741;;;91;1673;9667;9087;28092;16637;253;324;161;1783;4193;7226;7029;106;107
09473 COBURG ;53659;38801;14228;650;;;65;1414;8130;7263;22480;13414;238;240;99;1257;2976;4617;5071;89;78
09474 FORCHHEIM ;71483;48104;22586;827;;;121;2084;11307;10880;29589;16306;302;388;219;2120;4966;7670;7288;139;131
09475 HOF ;59441;41534;17176;778;;;59;1314;7036;6651;25062;18354;312;280;109;1214;3071;5479;7032;141;96
09476 KRONACH ;42601;29433;12763;415;;;46;1073;6058;5610;18177;10963;222;205;109;1095;2679;4242;4466;91;55
09477 KULMBACH ;46217;31159;14448;639;;;91;1302;6834;6316;18629;12321;188;237;114;1216;2877;4648;5370;93;95
09478 LICHTENFELS ;40972;28720;11865;382;;;33;1207;6728;5874;17203;9315;186;162;102;1151;2607;3974;3858;88;55
09479 WUNSIEDEL I.FICHTELGEB. ;44162;31411;12324;440;;;70;921;5294;5498;18429;13191;222;186;79;824;2303;3839;5087;97;59
RB ZUSAMMEN ;636721;436471;193092;7497;;;949;17006;93656;87185;259487;167827;3145;3111;1561;16441;39035;61750;71368;1405;1050
RB MITTELFRANKEN ;;;;;;;;;;;;;;;;;;;;;
09561 ANSBACH,STADT ;22701;14771;7611;291;;;41;608;3453;3417;8785;6014;125;79;46;634;1560;2255;2999;66;27
09562 ERLANGEN,STADT ;51699;33938;17233;471;;;139;1690;7562;7489;19616;14107;329;187;183;1401;3454;5045;6801;150;83
09563 FUERTH,STADT ;57094;39561;16939;573;;;138;1650;8603;8277;22440;14953;376;215;176;1385;3486;5161;6397;151;96
09564 NUERNBERG,STADT ;230189;152606;75433;1811;;;597;7273;34503;33568;84496;64996;1663;1047;687;5895;14472;20962;31919;739;444
09565 SCHWABACH,STADT ;23575;16332;7018;167;;;69;892;3504;3445;8884;6015;125;272;90;589;1490;2085;2587;53;81
09571 ANSBACH ;111807;72811;37650;1325;;;118;3569;19562;18391;44490;23722;457;670;372;3936;8784;12911;11097;213;229
09572 ERLANGEN-HOECHSTADT ;83696;54668;28141;799;;;173;2400;12432;12192;33141;21382;582;441;255;2268;5775;8788;10489;287;166
09573 FUERTH ;69861;49024;20199;580;;;134;2024;10229;10086;28783;17314;380;371;201;1692;4424;6566;6934;167;136
09574 NUERNBERGER LAND ;99772;67138;31657;873;;;201;2908;13842;14303;39988;26500;588;575;320;2485;6284;10016;11911;279;229
09575 NEUSTADT/AISCH-WINDSHEIM ;59880;37561;21584;662;;;107;1928;10537;9983;23984;12361;239;333;202;2311;5029;7630;6114;121;123
09576 ROTH ;78327;50758;26775;680;;;161;2397;11866;11685;30951;19880;366;443;253;2420;5734;8714;9232;180;162
09577 WEISSENBURG-GUNZENHAUSEN ;56119;36809;18727;630;;;69;1838;9832;9035;22053;12316;247;326;234;2004;4355;6054;5775;108;128
RB ZUSAMMEN ;944720;625977;308967;8862;;;1947;29177;145925;141871;367611;239560;5477;4959;3019;27020;64847;96187;112255;2514;1904
RB UNTERFRANKEN ;;;;;;;;;;;;;;;;;;;;;
09661 ASCHAFFENBURG,STADT ;40385;25965;13907;529;;;97;1269;6351;5720;13811;12193;420;176;91;963;2331;3670;6513;221;74
09662 SCHWEINFURT,STADT ;26501;17198;8895;392;;;76;818;4574;4158;9513;6850;188;101;86;740;1781;2396;3700;91;48
09663 WUERZBURG,STADT ;60076;38991;20033;1098;;;154;2022;9434;8935;21565;16196;530;393;207;1626;3901;5615;8239;214;155
09671 ASCHAFFENBURG ;108456;73080;34067;1418;;;176;3372;17171;16436;42654;26699;622;474;253;2660;6754;11339;12521;297;157
09672 BAD KISSINGEN;64577;41953;21576;1159;;;80;1955;11730;10574;26246;12971;246;330;218;2177;5025;7705;6094;124;165
09673 RHOEN-GRABFELD;50016;31274;17906;811;;;87;1379;8415;8316;20757;10382;180;258;135;1785;3983;6315;5463;91;89
09674 HASSBERGE ;53777;33573;19339;1018;;;53;1553;9787;8682;21664;11242;157;278;154;2045;4390;6690;5811;82;106
09675 KITZINGEN ;55274;36416;17989;867;;;136;1932;11017;9096;20933;11243;254;323;190;1960;4142;5885;5513;93;150
09676 MILTENBERG ;77769;51566;25216;920;;;167;2492;13768;12478;30592;16979;334;400;231;2339;5502;8632;8152;133;150
09677 MAIN-SPESSART ;79276;51201;26757;1399;;;110;2343;13757;12546;31116;18059;338;357;230;2522;5839;9167;8646;143;140
09678 SCHWEINFURT ;71399;48841;21259;1383;;;128;2221;13267;11739;28869;14117;262;347;240;2402;5092;7174;6045;97;144
09679 WUERZBURG ;97618;65028;30916;1687;;;220;2802;16236;15338;38759;22413;501;510;331;3101;6815;10068;10111;163;214
RB ZUSAMMEN ;785124;515086;257860;12681;;;1484;24158;135507;124018;306479;179344;4032;3947;2366;24320;55555;84656;86808;1749;1592
RB SCHWABEN ;;;;;;;;;;;;;;;;;;;;;
09761 AUGSBURG,STADT ;125162;84961;38109;2248;;;530;3648;17572;17937;46439;36203;1495;548;280;2514;7111;10945;16291;564;245
09762 KAUFBEUREN,STADT ;21814;14708;6816;291;;;61;580;2944;3225;8910;5650;158;94;72;609;1459;2234;2289;61;44
09763 KEMPTEN(ALLGAEU),STADT ;35379;22658;12259;410;;;117;740;4589;4887;13277;11161;240;186;91;926;2298;3470;5258;87;89
