;Insgesamt;Benzin;Diesel;Gas (einschl. bivalent);Hybrid;Elektro;Sonstige;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;Sonstige;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;Sonstige
05124 WUPPERTAL,STADT ;169.174;117.071;48.524;;;;;;;;;;;;;;;;;;
05154 KLEVE ;187.126;109.043;70.188;;;;;;;;;;;;;;;;;;
05158 METTMANN ;290.941;196.110;88.882;;;;;;;;;;;;;;;;;;
05162 NEUSS ;267.366;179.722;81.811;;;;;;;;;;;;;;;;;;
05166 VIERSEN ;183.993;120.893;57.092;;;;;;;;;;;;;;;;;;
05170 WESEL ;279.944;188.922;82.141;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN ;2.803.377;1.883.558;848.618;;;;;;;;;;;;;;;;;;
RB KOELN ;;;;;;;;;;;;;;;;;;;;;
05314 BONN,STADT ;174.764;99.680;72.256;;;;;;;;;;;;;;;;;;
05315 KOELN,STADT ;480.332;308.304;161.866;;;;;;;;;;;;;;;;;;
05316 LEVERKUSEN,STADT ;88.690;60.824;25.991;;;;;;;;;;;;;;;;;;
05334 AACHEN, STAEDTEREGION ;287.299;187.577;91.873;;;;;;;;;;;;;;;;;;
05358 DUEREN ;157.706;104.337;49.927;;;;;;;;;;;;;;;;;;
05362 RHEIN-ERFT-KREIS ;272.996;186.603;81.221;;;;;;;;;;;;;;;;;;
05366 EUSKIRCHEN ;127.211;80.782;43.736;;;;;;;;;;;;;;;;;;
05370 HEINSBERG ;154.823;95.280;53.396;;;;;;;;;;;;;;;;;;
05374 OBERBERGISCHER KREIS ;173.064;113.575;56.364;;;;;;;;;;;;;;;;;;
05378 RHEIN.-BERGISCHER KREIS ;176.267;120.979;51.802;;;;;;;;;;;;;;;;;;
05382 RHEIN-SIEG-KREIS ;357.167;239.402;109.993;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN ;2.450.319;1.597.343;798.425;;;;;;;;;;;;;;;;;;
RB MUENSTER ;;;;;;;;;;;;;;;;;;;;;
05512 BOTTROP,STADT ;66.709;49.839;15.226;;;;;;;;;;;;;;;;;;
05513 GELSENKIRCHEN,STADT ;120.310;88.383;28.879;;;;;;;;;;;;;;;;;;
05515 MUENSTER,STADT ;143.295;88.939;51.462;;;;;;;;;;;;;;;;;;
05554 BORKEN ;216.709;124.476;85.428;;;;;;;;;;;;;;;;;;
05558 COESFELD ;135.244;83.512;48.354;;;;;;;;;;;;;;;;;;
05562 RECKLINGHAUSEN ;345.573;249.347;88.095;;;;;;;;;;;;;;;;;;
05566 STEINFURT ;263.751;163.458;94.765;;;;;;;;;;;;;;;;;;
05570 WARENDORF ;166.325;107.904;55.184;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN ;1.457.916;955.858;467.393;;;;;;;;;;;;;;;;;;
RB DETMOLD ;;;;;;;;;;;;;;;;;;;;;
05711 BIELEFELD,STADT ;165.841;108.362;54.127;;;;;;;;;;;;;;;;;;
05754 GUETERSLOH ;221.105;144.085;73.501;;;;;;;;;;;;;;;;;;
05758 HERFORD ;157.916;108.476;46.617;;;;;;;;;;;;;;;;;;
05762 HOEXTER ;86.928;56.114;29.137;;;;;;;;;;;;;;;;;;
05766 LIPPE ;211.061;140.734;66.245;;;;;;;;;;;;;;;;;;
05770 MINDEN-LUEBBECKE ;196.750;132.668;60.456;;;;;;;;;;;;;;;;;;
05774 PADERBORN ;176.361;110.685;61.825;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN ;1.215.962;801.124;391.908;;;;;;;;;;;;;;;;;;
RB ARNSBERG ;;;;;;;;;;;;;;;;;;;;;
05911 BOCHUM,STADT ;193.299;139.478;49.851;;;;;;;;;;;;;;;;;;
05913 DORTMUND,STADT ;282.290;196.743;80.198;;;;;;;;;;;;;;;;;;
05914 HAGEN,STADT ;95.817;68.064;26.145;;;;;;;;;;;;;;;;;;
05915 HAMM,STADT ;94.609;65.638;27.341;;;;;;;;;;;;;;;;;;
05916 HERNE,STADT ;75.676;56.394;17.535;;;;;;;;;;;;;;;;;;
05954 ENNEPE-RUHR-KREIS ;194.674;138.555;52.393;;;;;;;;;;;;;;;;;;
05958 HOCHSAUERLANDKREIS ;162.126;103.042;56.667;;;;;;;;;;;;;;;;;;
05962 MAERKISCHER KREIS ;247.482;169.786;73.417;;;;;;;;;;;;;;;;;;
05966 OLPE ;86.863;56.288;29.500;;;;;;;;;;;;;;;;;;
05970 SIEGEN-WITTGENSTEIN ;171.487;115.422;53.946;;;;;;;;;;;;;;;;;;
05974 SOEST ;184.369;120.722;60.263;;;;;;;;;;;;;;;;;;
05978 UNNA ;234.058;163.593;65.881;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN ;2.022.750;1.393.725;593.137;;;;;;;;;;;;;;;;;;
LAND INSGESAMT ;9.950.324;6.631.608;3.099.481;;;;;;;;;;;;;;;;;;
RHEINLAND-PFALZ ;;;;;;;;;;;;;;;;;;;;;
RB KOBLENZ ;;;;;;;;;;;;;;;;;;;;;
07111 KOBLENZ,STADT ;61.194;38.691;21.682;;;;;;;;;;;;;;;;;;
07131 AHRWEILER ;82.451;54.471;26.500;;;;;;;;;;;;;;;;;;
07132 ALTENKIRCHEN(WESTWLD.) ;81.263;54.221;25.799;;;;;;;;;;;;;;;;;;
07133 BAD KREUZNACH ;96.928;64.481;30.990;;;;;;;;;;;;;;;;;;
07134 BIRKENFELD ;51.248;34.893;15.741;;;;;;;;;;;;;;;;;;
07135 COCHEM-ZELL ;40.142;23.845;15.727;;;;;;;;;;;;;;;;;;
07137 MAYEN-KOBLENZ ;134.479;89.505;43.213;;;;;;;;;;;;;;;;;;
07138 NEUWIED ;115.562;75.457;37.926;;;;;;;;;;;;;;;;;;
07140 RHEIN-HUNSRUECK-KREIS ;67.769;40.018;26.781;;;;;;;;;;;;;;;;;;
07141 RHEIN-LAHN-KREIS ;78.106;52.104;24.814;;;;;;;;;;;;;;;;;;
07143 WESTERWALDKREIS ;131.925;83.641;46.375;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN ;941.067;611.327;315.548;;;;;;;;;;;;;;;;;;
RB TRIER ;;;;;;;;;;;;;;;;;;;;;
07211 TRIER-SAARBURG ;147.033;89.922;55.746;;;;;;;;;;;;;;;;;;
07231 BERNKASTEL-WITTLICH ;72.723;43.919;28.074;;;;;;;;;;;;;;;;;;
07232 EIFELKREIS BITBURG-PRUEM ;63.582;34.229;28.643;;;;;;;;;;;;;;;;;;
07233 VULKANEIFEL ;39.930;23.280;16.126;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN ;323.268;191.350;128.589;;;;;;;;;;;;;;;;;;
RB RHEINHESSEN-PFALZ ;;;;;;;;;;;;;;;;;;;;;
07311 FRANKENTHAL(PFALZ),STADT ;26.322;17.985;7.898;;;;;;;;;;;;;;;;;;
07312 KAISERSLAUTERN,STADT ;48.347;33.407;14.085;;;;;;;;;;;;;;;;;;
07313 LANDAU I.D.PFALZ,STADT ;26.521;18.004;8.144;;;;;;;;;;;;;;;;;;
07314 LUDWIGSHAFEN A.RH.,STADT ;81.019;55.304;24.396;;;;;;;;;;;;;;;;;;
07315 MAINZ,STADT ;98.096;63.212;33.389;;;;;;;;;;;;;;;;;;
07316 NEUSTADT A.D.WSTR.,STADT ;32.124;21.651;10.078;;;;;;;;;;;;;;;;;;
07317 PIRMASENS,STADT ;22.489;15.726;6.437;;;;;;;;;;;;;;;;;;
07318 SPEYER,STADT ;28.970;19.367;9.170;;;;;;;;;;;;;;;;;;
07319 WORMS,STADT ;44.766;30.852;13.148;;;;;;;;;;;;;;;;;;
07320 ZWEIBRUECKEN,STADT ;20.735;14.107;6.292;;;;;;;;;;;;;;;;;;
07331 ALZEY-WORMS ;82.389;52.872;28.385;;;;;;;;;;;;;;;;;;
07332 BAD DUERKHEIM ;88.215;59.122;27.824;;;;;;;;;;;;;;;;;;
07333 DONNERSBERGKREIS ;48.673;30.886;17.051;;;;;;;;;;;;;;;;;;
07334 GERMERSHEIM ;80.593;52.819;26.693;;;;;;;;;;;;;;;;;;
07335 KAISERSLAUTERN ;66.726;45.233;20.535;;;;;;;;;;;;;;;;;;
07336 KUSEL ;46.603;31.504;14.513;;;;;;;;;;;;;;;;;;
07337 SUEDLICHE WEINSTRASSE ;74.550;49.547;24.068;;;;;;;;;;;;;;;;;;
07338 RHEIN-PFALZ-KREIS ;99.250;69.638;28.203;;;;;;;;;;;;;;;;;;
07339 MAINZ-BINGEN ;136.504;87.362;47.049;;;;;;;;;;;;;;;;;;
07340 SUEDWESTPFALZ ;65.733;43.679;21.226;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN ;1.218.625;812.277;388.584;;;;;;;;;;;;;;;;;;
LAND INSGESAMT ;2.482.960;1.614.954;832.721;;;;;;;;;;;;;;;;;;
SAARLAND ;;;;;;;;;;;;;;;;;;;;;
10041 SAARBRUECKEN,STADTVERB. ;188.467;128.011;58.029;;;;;;;;;;;;;;;;;;
10042 MERZIG-WADERN ;69.648;43.082;25.815;;;;;;;;;;;;;;;;;;
10043 NEUNKIRCHEN ;84.810;59.297;24.360;;;;;;;;;;;;;;;;;;
10044 SAARLOUIS ;130.310;89.529;39.536;;;;;;;;;;;;;;;;;;
10045 SAAR-PFALZ-KREIS ;96.186;64.946;29.979;;;;;;;;;;;;;;;;;;
10046 SANKT WENDEL ;60.192;40.051;19.408;;;;;;;;;;;;;;;;;;
LAND INSGESAMT ;629.613;424.916;197.127;;;;;;;;;;;;;;;;;;
SACHSEN ;;;;;;;;;;;;;;;;;;;;;
RB CHEMNITZ ;;;;;;;;;;;;;;;;;;;;;
14511 CHEMNITZ, STADT ;124586;89437;33267;;;;;;;;;;;;;;;;;;
14521 ERZGEBIRGSKREIS ;201.611;146.601;52.895;;;;;;;;;;;;;;;;;;
14522 MITTELSACHSEN ;179.062;127.057;49.454;;;;;;;;;;;;;;;;;;
14523 VOGTLANDKREIS ;136.117;98.737;35.814;;;;;;;;;;;;;;;;;;
14524 ZWICKAU ;184.259;135.614;46.230;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN ;825.635;597.446;217.660;;;;;;;;;;;;;;;;;;
RB DRESDEN ;;;;;;;;;;;;;;;;;;;;;
14612 DRESDEN, STADT ;224.893;156.505;64.084;;;;;;;;;;;;;;;;;;
14625 BAUTZEN ;179.078;128.958;47.499;;;;;;;;;;;;;;;;;;
14626 GOERLITZ ;142.310;108.135;32.355;;;;;;;;;;;;;;;;;;
14627 MEISSEN ;135.635;95.900;37.697;;;;;;;;;;;;;;;;;;
14628 SAECHS.SCHWEIZ-OSTERZGEB. ;140.432;101.511;36.815;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN ;822.348;591.009;218.450;;;;;;;;;;;;;;;;;;
RB LEIPZIG ;;;;;;;;;;;;;;;;;;;;;
14713 LEIPZIG, STADT ;223.734;161.872;57.244;;;;;;;;;;;;;;;;;;
14729 LEIPZIG ;150.746;105.861;42.448;;;;;;;;;;;;;;;;;;
14730 NORDSACHSEN ;113.398;80.217;31.711;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN ;487.878;347.950;131.403;;;;;;;;;;;;;;;;;;
LAND INSGESAMT ;2.135.861;1.536.405;567.513;;;;;;;;;;;;;;;;;;
SACHSEN-ANHALT ;;;;;;;;;;;;;;;;;;;;;
15001 DESSAU-ROßLAU,STADT ;42.078;31.280;10.082;;;;;;;;;;;;;;;;;;
15002 HALLE (SAALE),STADT ;93.461;69.929;21.887;;;;;;;;;;;;;;;;;;
15003 MAGDEBURG, STADT ;109.775;79.659;28.516;;;;;;;;;;;;;;;;;;
15081 ALTMARKKREIS SALZWEDEL ;50.403;32.357;17.371;;;;;;;;;;;;;;;;;;
15082 ANHALT-BITTERFELD ;92.299;68.079;23.210;;;;;;;;;;;;;;;;;;
15083 BOERDE ;104.677;71.549;31.816;;;;;;;;;;;;;;;;;;
15084 BURGENLANDKREIS ;101.263;73.545;26.204;;;;;;;;;;;;;;;;;;
15085 HARZ ;121.968;83.999;36.162;;;;;;;;;;;;;;;;;;
15086 JERICHOWER LAND ;53.981;37.128;16.175;;;;;;;;;;;;;;;;;;
15087 MANSFELD-SUEDHARZ ;79.765;56.626;22.267;;;;;;;;;;;;;;;;;;
15088 SAALEKREIS ;112.732;80.481;30.531;;;;;;;;;;;;;;;;;;
15089 SALZLANDKREIS ;105.022;76.343;27.099;;;;;;;;;;;;;;;;;;
15090 STENDAL ;63.097;41.769;20.543;;;;;;;;;;;;;;;;;;
15091 WITTENBERG ;74.681;54.521;19.022;;;;;;;;;;;;;;;;;;
LAND INSGESAMT ;1.205.202;857.265;330.885;;;;;;;;;;;;;;;;;;
SCHLESWIG-HOLSTEIN ;;;;;;;;;;;;;;;;;;;;;
01001 FLENSBURG,STADT ;43.075;26.386;16.028;;;;;;;;;;;;;;;;;;
01002 KIEL,STADT ;109.052;71.250;36.159;;;;;;;;;;;;;;;;;;
01003 LUEBECK,STADT ;97.316;66.011;29.824;;;;;;;;;;;;;;;;;;
01004 NEUMUENSTER,STADT ;41.347;26.907;13.756;;;;;;;;;;;;;;;;;;
01051 DITHMARSCHEN ;79.193;48.185;29.997;;;;;;;;;;;;;;;;;;
01053 HERZOGTUM LAUENBURG ;114.079;73.632;38.554;;;;;;;;;;;;;;;;;;
01054 NORDFRIESLAND ;100.054;60.138;38.403;;;;;;;;;;;;;;;;;;
01055 OSTHOLSTEIN ;122.574;82.058;38.951;;;;;;;;;;;;;;;;;;
01056 PINNEBERG ;173.344;117.967;52.868;;;;;;;;;;;;;;;;;;
01057 PLOEN ;78.264;50.583;26.732;;;;;;;;;;;;;;;;;;
01058 RENDSBURG-ECKERNFOERDE ;168.477;101.773;64.345;;;;;;;;;;;;;;;;;;
01059 SCHLESWIG-FLENSBURG ;123.328;70.565;51.050;;;;;;;;;;;;;;;;;;
01060 SEGEBERG ;162.312;104.553;55.248;;;;;;;;;;;;;;;;;;
01061 STEINBURG ;79.170;50.184;27.897;;;;;;;;;;;;;;;;;;
01062 STORMARN ;147.752;96.028;49.455;;;;;;;;;;;;;;;;;;
LAND INSGESAMT ;1.639.337;1.046.220;569.267;;;;;;;;;;;;;;;;;;
THUERINGEN ;;;;;;;;;;;;;;;;;;;;;
16051 ERFURT, STADT ;96.588;66.297;28.778;;;;;;;;;;;;;;;;;;
16052 GERA, STADT ;45.499;32.657;12.168;;;;;;;;;;;;;;;;;;
16053 JENA, STADT ;44.532;29.995;13.763;;;;;;;;;;;;;;;;;;
16054 SUHL, STADT ;19.323;13.212;5.805;;;;;;;;;;;;;;;;;;
16055 WEIMAR, STADT ;28.804;19.772;8.589;;;;;;;;;;;;;;;;;;
16056 EISENACH, STADT ;21.717;15.477;5.913;;;;;;;;;;;;;;;;;;
16061 EICHSFELD ;59.723;38.868;19.984;;;;;;;;;;;;;;;;;;
16062 NORDHAUSEN ;47.018;33.279;13.100;;;;;;;;;;;;;;;;;;
16063 WARTBURGKREIS ;75.233;51.445;22.768;;;;;;;;;;;;;;;;;;
16064 UNSTRUT-HAINICH-KREIS ;56.237;38.797;16.636;;;;;;;;;;;;;;;;;;
16065 KYFFHAEUSERKREIS ;44.293;31.429;12.382;;;;;;;;;;;;;;;;;;
16066 SCHMALKALDEN-MEININGEN ;73.918;48.986;23.990;;;;;;;;;;;;;;;;;;
16067 GOTHA ;75.253;52.593;21.706;;;;;;;;;;;;;;;;;;
16068 SOEMMERDA ;40.059;27.574;12.024;;;;;;;;;;;;;;;;;;
16069 HILDBURGHAUSEN ;39.210;25.457;13.323;;;;;;;;;;;;;;;;;;
16070 ILM-KREIS ;59.153;40.078;18.219;;;;;;;;;;;;;;;;;;
16071 WEIMARER-LAND ;47.755;32.591;14.517;;;;;;;;;;;;;;;;;;
16072 SONNEBERG ;33.329;24.056;8.872;;;;;;;;;;;;;;;;;;
16073 SAALFELD-RUDOLSTADT ;61.331;42.609;17.965;;;;;;;;;;;;;;;;;;
16074 SAALE-HOLZLANDKREIS ;48.817;33.267;14.758;;;;;;;;;;;;;;;;;;
16075 SAALE-ORLA-KREIS ;50.205;33.908;15.699;;;;;;;;;;;;;;;;;;
16076 GREIZ ;60.286;41.863;17.583;;;;;;;;;;;;;;;;;;
16077 ALTENBURGER LAND ;51.151;38.093;12.428;;;;;;;;;;;;;;;;;;
LAND INSGESAMT ;1.179.434;812.303;350.970;;;;;;;;;;;;;;;;;;
Sonstige;;;;;;;;;;;;;;;;;;;;;
INSGESAMT ;19.391;7.874;11.120;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;
INSGESAMT ;46474594;30451268;15225296;;;;;;;;;;;;;;;;;;
